countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,823141,30701,45227,2738,82799,10852,695115,14016,4187392,5.5,10.1
Spain,204178,3968,21282,430,82514,1927,100382,7705,930230,10.4,40.4
Italy,183957,2729,24648,534,51600,2723,107709,2471,1450150,13.4,28.1
France,158050,2667,20796,531,39181,1772,98073,5433,463662,13.2,24.8
Germany,148291,1226,5033,171,95200,3700,48058,2889,1728357,3.4,64.2
United Kingdom,130131,4316,17376,828,629,194,112126,1559,535342,13.4,0.5
Turkey,95591,4611,2259,119,14918,1488,78414,1865,713409,2.4,15.6
Iran,84802,1297,5297,88,60965,1692,18540,3357,365723,6.2,71.9
China,83789,36,4636,0,77756,52,1397,82,0,5.5,92.8
Russia,52763,5642,456,51,3873,427,48434,700,2142604,0.9,7.3
Brazil,43079,2336,2741,154,22991,861,17347,8318,291922,6.4,53.4
Belgium,40956,973,5998,170,9002,107,25956,1079,167110,14.6,22.0
Canada,39409,1806,1891,165,13143,557,24375,557,565931,4.8,33.4
Netherlands,34298,729,3928,165,63,-248,30307,1087,171415,11.5,0.2
Switzerland,28063,119,1478,49,19400,800,7185,386,227554,5.3,69.1
Portugal,21379,516,762,27,917,307,19700,213,271962,3.6,4.3
India,20080,1541,645,53,3975,702,15460,0,447812,3.2,19.8
Peru,17837,1512,484,39,6982,14,10371,380,155724,2.7,39.1
Ireland,16040,388,730,43,9233,9156,6077,315,111584,4.6,57.6
Sweden,15322,545,1765,185,550,0,13007,515,94500,11.5,3.6
Austria,14873,78,491,21,10971,340,3411,196,189018,3.3,73.8
Israel,13942,229,184,7,4507,458,9251,139,240303,1.3,32.3
Saudi Arabia,11631,1147,109,6,1640,150,9882,81,500000,0.9,14.1
Japan,11135,338,263,27,1239,80,9633,217,116725,2.4,11.1
Chile,10832,325,147,8,4969,293,5716,392,122357,1.4,45.9
South Korea,10683,9,237,1,8213,99,2233,55,571014,2.2,76.9
Ecuador,10398,270,520,13,1207,57,8671,137,33389,5.0,11.6
Poland,9856,263,401,21,1297,164,8158,160,224355,4.1,13.2
Pakistan,9565,1147,201,25,2073,103,7291,46,111806,2.1,21.7
Romania,9242,306,498,20,2153,136,6591,245,101552,5.4,23.3
Singapore,9125,1111,11,0,839,38,8275,23,94796,0.1,9.2
Mexico,8772,511,712,26,2627,0,5433,378,49570,8.1,29.9
Denmark,7880,180,370,6,4878,390,2632,81,100543,4.7,61.9
United Arab Emirates,7755,490,46,3,1443,83,6266,1,790000,0.6,18.6
Norway,7191,35,182,1,32,0,6977,58,145279,2.5,0.4
Indonesia,7135,375,616,26,842,95,5677,0,50370,8.6,11.8
Czechia,7033,133,201,7,1753,194,5079,75,178617,2.9,24.9
Serbia,6890,260,130,5,977,107,5783,101,45355,1.9,14.2
Belarus,6723,459,55,4,577,63,6091,92,108545,0.8,8.6
Australia,6645,20,71,0,4685,427,1889,49,439000,1.1,70.5
Philippines,6599,140,437,9,654,41,5508,1,64845,6.6,9.9
Qatar,6533,518,9,0,614,59,5910,37,66725,0.1,9.4
Ukraine,6125,415,161,10,367,8,5597,45,61997,2.6,6.0
Malaysia,5482,57,92,3,3349,54,2041,43,108216,1.7,61.1
Dominican Republic,5044,80,245,10,463,47,4336,126,16973,4.9,9.2
Panama,4658,191,136,10,204,39,4318,98,20996,2.9,4.4
Colombia,4149,172,196,7,804,0,3149,98,65169,4.7,19.4
Finland,4014,146,141,43,2000,0,1873,63,61800,3.5,49.8
Luxembourg,3618,60,78,3,670,33,2870,32,34962,2.2,18.5
Egypt,3490,157,264,14,870,49,2356,0,55000,7.6,24.9
South Africa,3465,165,58,0,1055,0,2352,36,126937,1.7,30.4
Bangladesh,3382,434,110,9,87,2,3185,1,29578,3.3,2.6
Morocco,3209,163,145,2,393,43,2671,1,18100,4.5,12.2
Argentina,3031,0,147,5,840,103,2044,123,36611,4.8,27.7
Thailand,2811,19,48,1,2108,109,655,61,142589,1.7,75.0
Algeria,2811,93,392,8,1152,53,1267,40,6500,13.9,41.0
Moldova,2614,66,72,2,505,48,2037,212,11763,2.8,19.3
Greece,2401,156,121,5,577,308,1703,59,55666,5.0,24.0
Hungary,2098,114,213,14,287,20,1598,82,50052,10.2,13.7
Kuwait,2080,85,11,2,412,45,1657,46,0,0.5,19.8
Kazakhstan,1995,143,19,0,489,42,1487,22,126727,1.0,24.5
Bahrain,1973,66,7,0,784,15,1182,2,94380,0.4,39.7
Croatia,1908,27,48,1,801,30,1059,18,26610,2.5,42.0
Iceland,1778,5,10,0,1417,55,351,5,43831,0.6,79.7
Uzbekistan,1678,51,6,1,357,96,1315,8,150000,0.4,21.3
Iraq,1602,28,83,1,1096,53,423,0,60837,5.2,68.4
Estonia,1552,17,43,3,169,4,1340,9,42213,2.8,10.9
Oman,1508,98,8,1,238,0,1262,3,0,0.5,15.8
Azerbaijan,1480,44,20,1,865,74,595,16,102764,1.4,58.4
New Zealand,1445,5,13,1,1006,32,426,3,89508,0.9,69.6
Armenia,1401,62,24,2,609,29,768,30,13929,1.7,43.5
Lithuania,1350,24,38,1,298,56,1014,17,70753,2.8,22.1
Slovenia,1344,9,77,0,197,4,1070,25,42976,5.7,14.7
Bosnia and Herzegovina,1342,33,51,2,437,56,854,4,19195,3.8,32.6
North Macedonia,1231,6,55,1,224,24,952,9,12340,4.5,18.2
Slovakia,1199,26,14,1,258,7,927,7,49428,1.2,21.5
Cameroon,1163,0,43,1,329,24,791,33,0,3.7,28.3
Cuba,1137,50,38,2,309,24,790,18,30416,3.3,27.2
