countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1527951,599,90980,7,346389,1437,1090582,16355,11875580,6.0,22.7
Russia,290678,8926,2722,91,70209,2836,217747,2300,7147014,0.9,24.2
Spain,277719,0,27650,0,195945,0,54124,1152,3037840,10.0,70.6
United Kingdom,244249,0,34679,0,458,0,209112,1559,2580769,14.2,0.2
Brazil,241080,0,16122,4,94122,0,130836,8318,735224,6.7,39.0
Italy,225435,0,31908,0,125176,0,68351,762,3004960,14.2,55.5
France,179569,0,28108,0,61213,0,90248,2087,1384633,15.7,34.1
Germany,176651,0,8049,0,155041,1030,13561,1166,3147771,4.6,87.8
Turkey,149435,0,4140,0,109962,0,35333,914,1624994,2.8,73.6
Iran,120198,0,6988,0,94464,0,18746,2705,686935,5.8,78.6
India,96169,471,3029,4,36824,29,56316,0,2302792,3.1,38.3
Peru,92273,0,2648,0,28621,0,61004,850,650613,2.9,31.0
China,82954,7,4634,1,78238,11,82,8,0,5.6,94.3
Canada,77606,3,5892,0,38550,0,33164,502,1300729,7.6,49.7
Belgium,55559,279,9080,28,14657,27,31822,342,696840,16.3,26.4
Saudi Arabia,54752,0,312,0,25722,0,28718,202,586405,0.6,47.0
Mexico,49219,2075,5177,132,33329,1481,10713,378,172294,10.5,67.7
Netherlands,43995,0,5680,0,0,0,38315,349,287943,12.9,0.0
Chile,43781,0,450,0,19213,0,24118,769,363496,1.0,43.9
Pakistan,42125,1974,903,30,11922,581,29300,111,387335,2.1,28.3
Ecuador,33182,0,2736,0,3433,0,27013,189,95047,8.2,10.3
Qatar,32604,0,15,0,4370,0,28219,165,157570,0.0,13.4
Switzerland,30587,0,1881,0,27500,0,1206,69,343359,6.1,89.9
Sweden,30143,0,3679,0,4971,0,21493,287,177500,12.2,16.5
Belarus,29650,0,165,0,9932,0,19553,92,350515,0.6,33.5
Portugal,29036,0,1218,0,4636,0,23182,108,618066,4.2,16.0
Singapore,28343,305,22,0,9340,0,18981,16,246254,0.1,33.0
Ireland,24112,0,1543,0,19470,0,3099,54,258808,6.4,80.7
Bangladesh,23870,1602,349,21,4585,212,18936,1,185086,1.5,19.2
United Arab Emirates,23358,0,220,0,8512,0,14626,1,1600923,0.9,36.4
Poland,18746,217,929,4,7628,177,10189,160,620249,5.0,40.7
Ukraine,18616,325,535,21,5276,160,12805,240,232899,2.9,28.3
Indonesia,18010,496,1191,43,4324,195,12495,0,187965,6.6,24.0
Romania,16871,0,1107,0,9890,0,5874,205,310407,6.6,58.6
Israel,16621,4,272,0,13014,72,3335,57,505702,1.6,78.3
Japan,16285,0,744,0,11153,0,4388,230,244452,4.6,68.5
Austria,16269,27,629,0,14614,51,1026,45,366069,3.9,89.8
Colombia,15574,0,574,0,3751,0,11249,136,190114,3.7,24.1
South Africa,15515,0,264,0,7006,0,8245,119,460873,1.7,45.2
Kuwait,14850,0,112,0,4093,0,10645,168,244476,0.8,27.6
Philippines,12718,205,831,7,2729,94,9158,79,215060,6.5,21.5
Dominican Republic,12314,0,428,0,5847,0,6039,127,50108,3.5,47.5
Egypt,12229,0,630,0,3172,0,8427,41,135000,5.2,25.9
South Korea,11065,15,263,1,9904,16,898,55,753211,2.4,89.5
Denmark,10968,41,547,0,9227,0,1194,27,463016,5.0,84.1
Serbia,10610,0,230,0,4713,0,5667,18,181272,2.2,44.4
Panama,9606,157,275,6,6081,1,3250,72,50348,2.9,63.3
Czechia,8480,5,298,0,5468,6,2714,36,356515,3.5,64.5
Norway,8249,0,232,0,32,0,7985,20,216350,2.8,0.4
Argentina,8068,0,373,0,2569,0,5126,154,103220,4.6,31.8
Afghanistan,7072,408,173,4,801,23,6098,19,23497,2.4,11.3
Australia,7054,9,99,1,6392,25,563,12,1059801,1.4,90.6
Algeria,7019,0,548,0,3507,0,2964,22,6500,7.8,50.0
Bahrain,6956,0,12,0,2910,0,4034,8,236828,0.2,41.8
Malaysia,6941,47,113,0,5615,44,1213,13,443263,1.6,80.9
Morocco,6870,0,192,0,3660,0,3018,1,89957,2.8,53.3
Kazakhstan,6440,283,34,0,3256,0,3150,31,540708,0.5,50.6
Finland,6380,33,298,0,5000,0,1082,30,146800,4.7,78.4
Moldova,6060,0,211,0,2344,0,3505,251,20447,3.5,38.7
Nigeria,5959,0,182,0,1594,0,4183,7,33970,3.1,26.7
Ghana,5735,0,29,0,1754,0,3952,5,173096,0.5,30.6
Oman,5379,193,23,1,1496,31,3860,31,61000,0.4,27.8
Armenia,4823,351,61,1,2019,94,2743,10,41850,1.3,41.9
Bolivia,4088,262,169,4,493,20,3426,3,14803,4.1,12.1
Luxembourg,3945,0,107,0,3702,0,136,14,62153,2.7,93.8
Hungary,3535,26,462,11,1400,4,1673,46,137243,13.1,39.6
Iraq,3404,0,123,0,2218,0,1063,0,149701,3.6,65.2
Azerbaijan,3274,0,39,0,2015,0,1220,37,232077,1.2,61.5
Cameroon,3105,0,140,0,1567,0,1398,28,0,4.5,50.5
Thailand,3031,3,56,0,2857,1,118,61,286008,1.8,94.3
Greece,2834,0,163,0,1374,0,1297,22,128525,5.8,48.5
Uzbekistan,2762,9,12,0,2247,0,503,8,460000,0.4,81.4
Guinea,2658,0,16,0,1133,0,1509,18,10304,0.6,42.6
Honduras,2646,81,142,4,319,41,2185,14,5653,5.4,12.1
Sudan,2591,302,105,8,247,25,2239,0,0,4.1,9.5
Senegal,2480,0,25,0,973,0,1482,6,24599,1.0,39.2
Bosnia and Herzegovina,2290,0,133,0,1436,0,721,4,49832,5.8,62.7
Bulgaria,2235,24,110,2,612,14,1513,45,65936,4.9,27.4
Croatia,2226,0,95,0,1936,0,195,10,53877,4.3,87.0
Ivory Coast,2109,0,27,0,1004,0,1078,0,18303,1.3,47.6
Guatemala,1912,149,35,2,138,0,1739,5,20820,1.8,7.2
Cuba,1872,0,79,0,1495,0,298,10,81917,4.2,79.9
Iceland,1802,0,10,0,1786,0,6,0,56875,0.6,99.1
North Macedonia,1792,0,101,0,1293,0,398,21,21436,5.6,72.2
Estonia,1784,10,64,1,938,0,782,4,69520,3.6,52.6
Lithuania,1547,6,59,3,997,0,491,17,231104,3.8,64.4
Tajikistan,1524,0,39,0,0,0,1485,0,0,2.6,0.0
New Zealand,1499,0,21,0,1433,0,45,0,230718,1.4,95.6
Slovakia,1495,1,28,0,1185,22,282,3,143433,1.9,79.3
Slovenia,1466,0,104,0,273,0,1089,5,69363,7.1,18.6
Congo (Kinshasa),1455,0,61,0,270,0,1124,0,0,4.2,18.6
Somalia,1421,0,56,0,152,0,1213,2,0,3.9,10.7
El Salvador,1413,75,30,3,474,12,909,21,57883,2.1,33.5
Djibouti,1401,0,4,0,972,0,425,0,17532,0.3,69.4
