countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1686436,1073,99300,14,451702,107,1135434,17135,14749756,5.9,26.8
Brazil,365213,1595,22746,30,149911,0,192556,8318,735224,6.2,41.0
Russia,353427,8946,3633,92,118798,5499,230996,2300,8945384,1.0,33.6
Spain,282852,0,28752,0,196958,0,57142,854,3556567,10.2,69.6
United Kingdom,259559,0,36793,0,0,0,222766,1559,3458905,14.2,0.0
Italy,229858,0,32785,0,140479,0,56594,553,3447012,14.3,61.1
France,182584,0,28367,0,64617,0,89600,1655,1384633,15.5,35.4
Germany,180328,0,8371,0,161200,900,10757,889,3595059,4.6,89.4
Turkey,156827,0,4340,0,118694,0,33793,769,1832262,2.8,75.7
India,139911,1375,4039,15,57976,284,77896,8944,3033591,2.9,41.4
Iran,135701,0,7417,0,105801,0,22483,2615,800519,5.5,78.0
Peru,119959,0,3456,0,49795,0,66708,920,820967,2.9,41.5
Canada,84699,0,6458,1,43985,0,34256,502,1459288,7.6,51.9
China,82985,11,4634,0,78268,7,83,7,0,5.6,94.3
Saudi Arabia,72560,0,390,0,43520,0,28650,372,703534,0.5,60.0
Chile,69102,0,718,0,28148,0,40236,1090,471758,1.0,40.7
Mexico,68620,2764,7394,215,47424,2505,13802,378,219164,10.8,69.1
Belgium,57342,250,9312,32,15297,25,32733,251,788110,16.2,26.7
Pakistan,56349,1748,1167,34,17482,284,37700,111,483656,2.1,31.0
Netherlands,45236,0,5822,0,0,0,39414,223,313755,12.9,0.0
Qatar,43714,0,23,0,9170,0,34521,188,188143,0.1,21.0
Ecuador,36756,0,3108,0,3560,0,30088,208,106079,8.5,9.7
Belarus,36198,0,199,0,14155,0,21844,92,450627,0.5,39.1
Bangladesh,35585,1975,501,21,7334,433,27750,1,253034,1.4,20.6
Sweden,33459,0,3998,0,4971,0,24490,249,209900,11.9,14.9
Singapore,31960,344,23,0,14876,0,17061,8,294414,0.1,46.5
Switzerland,30736,0,1906,0,28100,0,730,50,370464,6.2,91.4
Portugal,30623,0,1316,0,17549,0,11758,78,689705,4.3,57.3
United Arab Emirates,29485,0,245,0,15056,0,14184,1,1600923,0.8,51.1
Ireland,24639,0,1608,0,21060,0,1971,54,295626,6.5,85.5
Indonesia,22750,479,1391,19,5642,240,15717,0,256946,6.1,24.8
South Africa,22583,0,429,0,11100,0,11054,128,583855,1.9,49.2
Poland,21440,114,996,0,9276,82,11168,160,767441,4.6,43.3
Kuwait,21302,0,156,0,6117,0,15029,177,271089,0.7,28.7
Ukraine,21245,259,623,6,7234,126,13388,256,291868,2.9,34.1
Colombia,21175,0,727,0,5016,0,15432,136,252742,3.4,23.7
Romania,18070,0,1193,8,11399,0,5478,188,368482,6.6,63.1
