countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1188421,1133,68602,34,178594,331,941225,16139,7196740,5.8,15.0
Spain,247122,0,25264,0,148558,0,73300,2386,1932455,10.2,60.1
Italy,210717,0,28884,0,81654,0,100179,1501,2153772,13.7,38.8
United Kingdom,187723,1,28516,0,860,0,158347,1559,1206405,15.2,0.5
France,168693,0,24895,0,50784,0,93014,3819,1100228,14.8,30.1
Germany,165664,0,6866,0,132700,2100,26098,1979,2547052,4.1,80.1
Russia,145268,10581,1356,76,18095,1456,125817,2300,4300000,0.9,12.5
Turkey,126045,0,3397,0,63151,0,59497,1424,1135367,2.7,50.1
Brazil,101826,679,7051,26,42991,0,51784,8318,339552,6.9,42.2
Iran,97424,0,6203,0,78422,0,12799,2690,496273,6.4,80.5
China,83749,5,4634,0,78482,100,633,33,0,5.5,93.7
Canada,60447,1,3794,0,24908,0,31745,557,897444,6.3,41.2
Belgium,50267,361,7924,80,12378,69,29965,655,440700,15.8,24.6
Peru,45928,0,1286,0,13550,0,31092,679,375096,2.8,29.5
India,42670,165,1395,4,11782,7,29493,0,1107233,3.3,27.6
Netherlands,40671,0,5058,0,81,0,35532,688,225899,12.4,0.2
Switzerland,29905,0,1762,0,24500,0,3643,141,280220,5.9,81.9
Ecuador,29538,0,1564,0,3300,0,24674,149,78659,5.3,11.2
Saudi Arabia,27011,0,184,0,4134,0,22693,139,352555,0.7,15.3
Portugal,25282,0,1043,0,1689,0,22550,144,426836,4.1,6.7
Mexico,23471,1383,2154,93,13447,0,7870,378,93791,9.2,57.3
Sweden,22317,0,2679,0,1005,0,18633,403,119500,12.0,4.5
Ireland,21506,0,1303,0,13386,0,6817,98,169377,6.1,62.2
Pakistan,20186,102,462,5,5590,476,14134,111,212511,2.3,27.7
Chile,19663,0,260,0,10041,0,9362,408,206218,1.3,51.1
Singapore,18778,573,18,0,1408,0,17352,22,143919,0.1,7.5
Belarus,17489,784,103,4,3259,63,14127,92,211369,0.6,18.6
Israel,16237,29,234,2,9858,109,6145,103,397046,1.4,60.7
Austria,15597,0,598,0,13228,0,1771,114,279071,3.8,84.8
Qatar,15551,0,12,0,1664,0,13875,72,104435,0.1,10.7
Japan,14877,306,487,13,3981,776,10409,321,183251,3.3,26.8
United Arab Emirates,14163,0,126,0,2763,0,11274,1,1200000,0.9,19.5
Poland,13937,244,683,5,4095,150,9159,160,375948,4.9,29.4
Romania,13163,0,803,13,4869,0,7491,255,195508,6.1,37.0
Ukraine,12331,418,303,15,1619,71,10409,160,134592,2.5,13.1
Indonesia,11587,395,864,19,1954,78,8769,0,116861,7.5,16.9
South Korea,10801,8,252,2,9217,34,1332,55,633921,2.3,85.3
Bangladesh,10143,688,182,5,1209,146,8752,1,87694,1.8,11.9
Denmark,9857,147,484,0,7172,0,2201,62,244791,4.9,72.8
Philippines,9485,262,623,16,1315,101,7547,31,126164,6.6,13.9
Serbia,9464,0,193,0,1551,0,7720,54,101911,2.0,16.4
Dominican Republic,7954,0,333,0,1606,0,6015,144,30102,4.2,20.2
Norway,7847,0,213,2,32,0,7602,37,172586,2.7,0.4
Czechia,7781,0,249,1,3592,5,3940,58,261548,3.2,46.2
Colombia,7668,0,340,0,1722,0,5606,122,118801,4.4,22.5
Panama,7197,107,200,3,641,0,6356,91,34459,2.8,8.9
Australia,6822,21,96,1,5849,32,877,29,633107,1.4,85.7
South Africa,6783,0,131,0,2549,0,4103,36,245747,1.9,37.6
Egypt,6465,0,429,0,1562,0,4474,0,90000,6.6,24.2
Malaysia,6353,55,105,0,4484,71,1764,28,195833,1.7,70.6
Finland,5327,73,230,0,3000,0,2097,49,103445,4.3,56.3
Kuwait,4983,0,38,0,1776,0,3169,72,196397,0.8,35.6
Morocco,4903,0,174,0,1438,0,3291,1,42112,3.5,29.3
Argentina,4783,102,246,5,1354,0,3183,157,65813,5.1,28.3
Algeria,4474,0,463,0,1936,0,2075,22,6500,10.3,43.3
Moldova,4121,0,128,3,1423,41,2570,237,20447,3.1,34.5
Kazakhstan,3988,68,27,0,1084,0,2877,40,306861,0.7,27.2
Luxembourg,3824,0,96,0,3379,0,349,22,48118,2.5,88.4
Bahrain,3383,0,8,0,1718,0,1657,1,144155,0.2,50.8
Hungary,3035,37,351,11,630,1,2054,55,83958,11.6,20.8
Thailand,2987,18,54,0,2740,1,193,61,227860,1.8,91.7
Afghanistan,2704,0,85,0,345,0,2274,7,11068,3.1,12.8
Oman,2637,69,12,0,816,66,1809,17,40459,0.5,30.9
Greece,2626,0,144,0,1374,0,1108,37,79332,5.5,52.3
Nigeria,2558,0,87,0,400,0,2071,4,17566,3.4,15.6
Armenia,2507,121,39,4,1071,36,1397,10,24942,1.6,42.7
Iraq,2296,0,97,0,1490,0,709,0,103262,4.2,64.9
Ghana,2169,0,18,0,229,0,1922,4,117049,0.8,10.6
Uzbekistan,2160,11,10,0,1327,8,823,8,325000,0.5,61.4
