countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,587173,6565,23647,37,36948,730,526578,12772,2943955,4.0,6.3
Spain,172541,2442,18056,300,67504,2777,86981,7371,600000,10.5,39.1
Italy,159516,0,20465,0,35435,0,103616,3260,1046910,12.8,22.2
France,136779,0,14967,0,27718,0,94094,6821,333807,10.9,20.3
Germany,130072,0,3194,0,68200,3900,58678,4288,1317887,2.5,52.4
United Kingdom,89539,1,11346,0,308,9,77885,1559,367667,12.7,0.3
China,83284,90,3345,0,78129,109,1810,116,0,4.0,93.8
Iran,73303,0,4585,0,45983,0,22735,3877,275427,6.3,62.7
Turkey,61049,0,1296,0,3957,0,55796,1786,410556,2.1,6.5
Belgium,31119,530,4157,254,6868,161,20094,1223,102151,13.4,22.1
Netherlands,26695,2,2832,0,287,0,23576,1358,115992,10.6,1.1
Switzerland,25688,0,1138,0,13700,0,10850,386,193800,4.4,53.3
Canada,25680,0,780,0,7756,0,17144,557,437475,3.0,30.2
Brazil,23723,293,1355,27,2979,2806,19389,296,62985,5.7,12.6
Russia,21102,2774,170,22,1694,224,19238,8,1400000,0.8,8.0
Portugal,16934,0,535,0,277,0,16122,188,182707,3.2,1.6
Austria,14106,65,384,16,7633,290,6089,243,151796,2.7,54.1
Israel,11868,282,117,1,2000,145,9751,181,117339,1.0,16.9
Sweden,10948,0,919,0,381,0,9648,859,54700,8.4,3.5
Ireland,10647,0,365,0,25,0,10257,194,72000,3.4,0.2
South Korea,10564,27,222,5,7534,87,2808,55,527438,2.1,71.3
India,10541,88,358,0,1205,24,8978,0,206212,3.4,11.4
Peru,9784,0,216,0,2642,0,6926,143,87116,2.2,27.0
Japan,7645,27,143,0,799,0,6703,135,78702,1.9,10.5
Ecuador,7529,0,355,0,597,0,6577,121,24553,4.7,7.9
Chile,7525,0,82,0,2367,0,5076,387,85035,1.1,31.5
Poland,7049,115,251,6,618,131,6180,160,143630,3.6,8.8
Denmark,6680,178,285,0,2398,6,3997,100,73919,4.3,35.9
Romania,6633,0,332,1,914,0,5387,231,67204,5.0,13.8
Norway,6605,2,134,0,32,0,6439,59,127305,2.0,0.5
Australia,6466,107,61,0,3598,104,2807,80,366493,0.9,55.6
Czechia,6059,0,147,4,527,8,5385,92,131542,2.4,8.7
Pakistan,5716,220,96,3,1378,283,4242,46,69928,1.7,24.1
Philippines,5223,291,335,20,295,53,4593,1,38103,6.4,5.6
Mexico,5014,353,332,36,1964,121,2718,207,37395,6.6,39.2
Malaysia,4987,170,82,5,2478,202,2427,60,81730,1.6,49.7
Saudi Arabia,4934,0,65,0,805,0,4064,59,115585,1.3,16.3
Indonesia,4839,282,459,60,426,46,3954,0,27953,9.5,8.8
United Arab Emirates,4521,0,25,0,852,0,3644,1,648195,0.6,18.8
Serbia,4054,0,85,0,400,0,3569,138,20958,2.1,9.9
Panama,3472,0,94,0,61,0,3317,106,15567,2.7,1.8
Ukraine,3372,270,98,5,119,22,3155,45,35153,2.9,3.5
Luxembourg,3292,0,69,0,500,0,2723,30,29315,2.1,15.2
Belarus,3281,362,33,4,203,0,3045,57,71875,1.0,6.2
Qatar,3231,0,7,0,334,0,2890,37,50828,0.2,10.3
Dominican Republic,3167,0,177,0,152,0,2838,147,9275,5.6,4.8
Finland,3161,97,59,0,300,0,2802,74,46000,1.9,9.5
Singapore,2918,0,9,0,586,0,2323,29,72680,0.3,20.1
Colombia,2852,0,112,0,319,0,2421,92,41765,3.9,11.2
Thailand,2613,34,41,1,1405,117,1167,61,100498,1.6,53.8
Argentina,2277,0,98,0,515,0,1664,83,19758,4.3,22.6
South Africa,2272,0,27,0,410,0,1835,7,83663,1.2,18.0
Egypt,2190,0,164,0,589,0,1437,0,25000,7.5,26.9
Greece,2145,0,99,0,269,0,1777,73,43417,4.6,12.5
Algeria,1983,0,313,0,601,0,1069,60,3359,15.8,30.3
Morocco,1838,75,126,0,210,7,1502,1,9609,6.9,11.4
Moldova,1712,0,36,1,134,27,1542,80,6271,2.1,7.8
Iceland,1711,0,8,0,933,0,770,10,35253,0.5,54.5
Croatia,1650,0,25,0,400,0,1225,34,17790,1.5,24.2
Hungary,1512,54,122,13,122,2,1268,58,35825,8.1,8.1
Iraq,1378,0,78,0,717,0,583,0,37791,5.7,52.0
Estonia,1373,41,31,3,115,13,1227,11,32263,2.3,8.4
New Zealand,1366,17,9,4,628,82,729,4,64399,0.7,46.0
Bahrain,1361,0,7,1,591,0,763,3,67327,0.5,43.4
Kuwait,1355,55,3,1,176,26,1176,26,0,0.2,13.0
Slovenia,1212,0,55,0,152,0,1005,34,35405,4.5,12.5
Kazakhstan,1179,88,14,2,142,4,1023,21,76904,1.2,12.0
Azerbaijan,1148,0,12,0,289,0,847,25,66677,1.0,25.2
Bosnia and Herzegovina,1080,43,39,0,218,12,823,4,11612,3.6,20.2
Lithuania,1070,8,24,0,101,0,945,14,42690,2.2,9.4
Armenia,1067,28,16,2,265,54,786,30,8316,1.5,24.8
Uzbekistan,1054,56,4,0,89,4,961,8,70000,0.4,8.4
Hong Kong,1013,3,4,0,434,37,575,13,96709,0.4,42.8
Bangladesh,1012,209,46,7,42,0,924,1,13128,4.5,4.2
North Macedonia,854,0,38,0,44,0,772,15,8552,4.4,5.2
