countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1346771,25917,80028,1451,237022,13860,1029721,16817,8916353,5.9,17.6
Spain,262783,2666,26478,179,173157,4749,63148,1741,2467761,10.1,65.9
Italy,218268,1083,30395,194,103031,4008,84842,1034,2514234,13.9,47.2
United Kingdom,216398,3896,31658,347,924,5,183816,1559,1728443,14.6,0.4
Russia,198676,10817,1827,104,31916,5308,164933,2300,5221964,0.9,16.1
France,176658,579,26310,80,56038,256,94310,2812,1384633,14.9,31.7
Germany,171324,736,7549,39,143300,1600,20475,1650,2755770,4.4,83.6
Brazil,155939,10047,10627,635,61685,6335,83627,8318,339552,6.8,39.6
Turkey,137115,1546,3739,50,89480,3084,43896,1168,1334411,2.7,65.3
Iran,106220,1529,6589,48,85064,1227,14567,2696,573220,6.2,80.1
China,83761,0,4634,0,78849,63,278,15,0,5.5,94.1
Canada,68861,1292,4822,129,31249,843,32790,502,1068000,7.0,45.4
Peru,65015,3168,1814,100,20246,1234,42955,748,494250,2.8,31.1
India,62808,3115,2101,116,19301,1414,41406,0,1523213,3.3,30.7
Belgium,52596,585,8581,60,13411,210,30604,502,540643,16.3,25.5
Netherlands,42382,289,5422,63,0,0,36960,541,249655,12.8,0.0
Saudi Arabia,37136,1704,239,10,10144,1024,26753,140,433500,0.6,27.3
Mexico,31522,1906,3160,199,20314,2533,8048,378,123446,10.0,64.4
Switzerland,30251,44,1830,7,26400,300,2021,101,306223,6.0,87.3
Ecuador,29071,-1227,1717,13,3433,0,23921,181,83657,5.9,11.8
Pakistan,28736,2301,636,37,7809,279,20291,111,270025,2.2,27.2
Portugal,27406,138,1126,12,2499,77,23781,120,517660,4.1,9.1
Chile,27219,1247,304,10,12667,507,14248,544,267904,1.1,46.5
Sweden,25921,656,3220,45,4971,0,17730,425,148500,12.4,19.2
Ireland,22760,219,1446,17,17110,0,4204,72,214761,6.4,75.2
Singapore,22460,753,20,0,2296,256,20144,23,175604,0.1,10.2
Belarus,22052,951,126,5,6050,566,15876,92,251771,0.6,27.4
Qatar,21331,1130,13,1,2449,79,18869,72,124554,0.1,11.5
United Arab Emirates,17417,624,185,11,4295,458,12937,1,1200000,1.1,24.7
Israel,16454,18,247,2,11376,147,4831,78,451028,1.5,69.1
Austria,15833,59,615,1,13928,92,1290,79,311690,3.9,88.0
Poland,15651,285,785,9,5437,253,9429,160,460686,5.0,34.7
Japan,15575,0,590,0,5146,0,9839,300,202013,3.8,33.0
Romania,15131,320,939,16,6912,489,7280,245,248056,6.2,45.7
Ukraine,14710,515,376,15,2909,203,11425,190,167107,2.6,19.8
Bangladesh,13770,636,214,8,2414,313,11142,1,116919,1.6,17.5
Indonesia,13645,533,959,16,2607,113,10079,0,150887,7.0,19.1
South Korea,10840,18,256,0,9568,84,1016,55,660030,2.4,88.3
Philippines,10610,147,704,8,1842,108,8064,31,157730,6.6,17.4
Denmark,10506,101,526,4,8280,166,1700,39,308984,5.0,78.8
Colombia,10495,444,445,17,2569,145,7481,130,139739,4.2,24.5
Serbia,10032,89,213,4,2732,279,7087,43,134533,2.1,27.2
Dominican Republic,9882,506,385,5,2584,298,6913,134,40591,3.9,26.1
South Africa,9420,525,186,8,3983,830,5251,77,324079,2.0,42.3
Egypt,8964,488,514,11,2002,57,6448,41,90000,5.7,22.3
Norway,8099,29,219,1,32,0,7848,24,195921,2.7,0.4
Czechia,8095,18,276,3,4446,33,3373,47,298649,3.4,54.9
Panama,8070,202,231,6,886,0,6953,85,40356,2.9,11.0
Kuwait,7623,415,49,2,2622,156,4952,95,196397,0.6,34.4
Australia,6929,15,97,0,6135,56,697,19,795456,1.4,88.5
Malaysia,6589,54,108,1,4929,65,1552,18,245102,1.6,74.8
Morocco,5910,199,186,0,2461,137,3263,1,63059,3.1,41.6
Finland,5880,142,265,5,4000,0,1615,45,119100,4.5,68.0
Argentina,5766,155,300,7,1728,69,3738,148,80729,5.2,30.0
Algeria,5558,189,494,6,2546,79,2518,22,6500,8.9,45.8
Kazakhstan,4975,141,31,0,1776,145,3168,31,385104,0.6,35.7
Moldova,4867,139,161,11,1925,99,2781,237,20447,3.3,39.6
Bahrain,4774,330,8,0,2055,27,2711,2,178353,0.2,43.0
Ghana,4263,251,22,4,378,55,3863,5,155201,0.5,8.9
Nigeria,4151,239,128,11,745,66,3278,4,23835,3.1,17.9
Afghanistan,4033,255,115,6,502,30,3416,7,15560,2.9,12.4
Luxembourg,3877,6,101,1,3550,24,226,15,54463,2.6,91.6
Oman,3224,112,17,1,1068,43,2139,17,50000,0.5,33.1
Hungary,3213,35,405,13,904,39,1904,74,103258,12.6,28.1
Armenia,3175,146,44,1,1267,49,1864,10,30397,1.4,39.9
Thailand,3004,4,56,1,2787,3,161,61,227860,1.9,92.8
Greece,2710,19,151,1,1374,0,1185,28,97384,5.6,50.7
Iraq,2679,76,107,3,1702,41,870,0,124920,4.0,63.5
Azerbaijan,2422,143,31,3,1620,44,771,29,188950,1.3,66.9
Uzbekistan,2349,24,10,0,1846,71,493,8,325000,0.4,78.6
Cameroon,2274,7,108,0,1232,230,934,12,0,4.7,54.2
Bolivia,2266,185,106,4,237,18,1923,3,7651,4.7,10.5
Croatia,2176,15,87,1,1726,37,363,13,44218,4.0,79.3
Bosnia and Herzegovina,2090,20,102,4,1059,99,929,4,39989,4.9,50.7
Guinea,2042,33,11,0,698,35,1333,0,0,0.5,34.2
Bulgaria,1921,49,90,4,422,21,1409,56,56105,4.7,22.0
Iceland,1801,0,10,0,1773,8,18,0,53260,0.6,98.4
Honduras,1771,86,107,2,192,38,1472,10,5653,6.0,10.8
Cuba,1754,13,74,0,1140,62,540,8,63560,4.2,65.0
Estonia,1733,8,60,4,747,43,926,5,62720,3.5,43.1
Ivory Coast,1667,65,21,1,769,15,877,0,12312,1.3,46.1
Senegal,1634,83,17,4,643,32,974,6,18969,1.0,39.4
North Macedonia,1622,36,91,1,1112,13,419,21,18821,5.6,68.6
New Zealand,1492,2,21,0,1368,21,103,2,183039,1.4,91.7
Slovakia,1455,0,26,0,919,14,510,5,118371,1.8,63.2
Slovenia,1454,4,101,1,255,3,1098,10,62203,6.9,17.5
Lithuania,1444,8,49,0,828,63,567,17,180332,3.4,57.3
Djibouti,1189,54,3,0,834,10,352,0,15056,0.3,70.1
Sudan,1164,53,64,5,119,17,981,0,0,5.5,10.2
Hong Kong,1045,0,4,0,967,7,74,1,168291,0.4,92.5
Tunisia,1030,4,45,1,638,38,347,24,27420,4.4,61.9
Somalia,997,69,48,4,110,4,839,2,0,4.8,11.0
Mayotte,988,134,11,1,492,140,485,7,4000,1.1,49.8
Congo (Kinshasa),937,40,39,3,130,11,768,0,0,4.2,13.9
Kyrgyzstan,931,25,12,0,658,8,261,13,59490,1.3,70.7
Latvia,930,2,18,0,464,0,448,2,75571,1.9,49.9
Guatemala,900,68,24,1,101,11,775,5,7200,2.7,11.2
Cyprus,892,1,15,0,401,1,476,10,74746,1.7,45.0
Kosovo,861,0,27,0,562,0,272,0,0,3.1,65.3
Albania,856,6,31,0,627,7,198,7,10268,3.6,73.2
Sri Lanka,847,12,9,0,260,20,578,1,33899,1.1,30.7
Niger,815,20,45,1,617,17,153,0,5515,5.5,75.7
Lebanon,809,13,26,0,234,11,549,4,49990,3.2,28.9
Maldives,790,46,3,0,29,9,758,2,11775,0.4,3.7
El Salvador,784,42,17,1,276,19,491,4,39079,2.2,35.2
Costa Rica,780,7,6,0,480,19,294,6,16517,0.8,61.5
Andorra,754,2,48,1,545,8,161,14,1673,6.4,72.3
Burkina Faso,748,4,48,0,569,3,131,0,0,6.4,76.1
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Uruguay,702,8,18,0,513,7,171,8,27461,2.6,73.1
Mali,692,24,37,2,298,13,357,0,2172,5.3,43.1
Paraguay,689,126,10,0,155,3,524,9,13846,1.5,22.5
Gabon,661,157,8,0,110,0,543,1,724,1.2,16.6
Kenya,649,28,30,1,207,5,412,1,31041,4.6,31.9
Guinea-Bissau,641,47,3,1,25,0,613,0,1500,0.5,3.9
San Marino,637,14,41,0,126,12,470,3,2956,6.4,19.8
Georgia,626,3,10,0,297,9,319,6,27846,1.6,47.4
Tajikistan,612,90,20,8,0,0,592,0,0,3.3,0.0
Channel Islands,545,0,41,1,447,2,57,0,5342,7.5,82.0
Jordan,522,14,9,0,387,2,126,5,111285,1.7,74.1
Tanzania,509,0,21,0,183,0,305,7,0,4.1,36.0
Malta,490,1,5,0,427,8,58,0,40493,1.0,87.1
Jamaica,490,2,9,0,62,4,419,0,6633,1.8,12.7
Taiwan,440,0,6,0,361,6,73,0,66861,1.4,82.0
Equatorial Guinea,439,0,4,0,13,0,422,0,854,0.9,3.0
Réunion,431,4,0,0,354,0,77,5,17200,0.0,82.1
Venezuela,388,0,10,0,190,0,188,1,507119,2.6,49.0
West Bank and Gaza,375,0,2,0,228,0,145,0,0,0.5,60.8
Palestine,375,0,2,0,228,0,145,0,34511,0.5,60.8
Mauritius,332,0,10,0,320,0,2,3,69773,3.0,96.4
Isle of Man,329,0,23,0,271,0,35,19,3625,7.0,82.4
Montenegro,324,0,8,0,274,7,42,2,7816,2.5,84.6
Chad,322,62,31,3,53,3,238,0,0,9.6,16.5
Sierra Leone,291,34,18,1,58,4,215,0,0,6.2,19.9
Vietnam,288,0,0,0,241,0,47,8,261004,0.0,83.7
Benin,284,42,2,0,62,0,220,0,19474,0.7,21.8
Rwanda,280,7,0,0,140,4,140,0,41385,0.0,50.0
Congo (Brazzaville),274,0,10,0,33,0,231,0,0,3.6,12.0
Zambia,252,85,7,3,112,1,133,1,10270,2.8,44.4
Cabo Verde,236,6,2,0,56,12,178,0,791,0.8,23.7
Ethiopia,210,16,5,1,97,2,108,1,32689,2.4,46.2
Sao Tome and Principe,208,0,5,0,4,0,199,0,175,2.4,1.9
Liberia,199,0,20,0,79,0,100,0,0,10.1,39.7
Madagascar,193,0,0,0,101,0,92,1,3968,0.0,52.3
Faroe Islands,187,0,0,0,187,0,0,0,8403,0.0,100.0
Martinique,186,0,14,0,83,0,89,3,0,7.5,44.6
Myanmar,178,1,6,0,68,1,104,0,10848,3.4,38.2
Burma,178,1,6,0,68,1,104,0,0,3.4,38.2
Eswatini,163,4,2,0,14,2,147,0,714,1.2,8.6
Guadeloupe,154,0,13,0,104,0,37,4,0,8.4,67.5
Togo,153,8,10,0,87,2,56,0,10094,6.5,56.9
Haiti,151,5,12,0,17,0,122,0,1160,7.9,11.3
Gibraltar,146,0,0,0,142,0,4,0,3366,0.0,97.3
CAR,143,0,0,0,10,0,133,0,3498,0.0,7.0
Central African Republic,143,0,0,0,10,0,133,0,0,0.0,7.0
Brunei,141,0,1,0,132,0,8,2,15482,0.7,93.6
French Guiana,141,0,1,0,119,6,21,0,0,0.7,84.4
Cambodia,122,0,0,0,120,0,2,1,13173,0.0,98.4
South Sudan,120,0,0,0,2,0,118,0,1247,0.0,1.7
Bermuda,118,0,7,0,64,3,47,4,3854,5.9,54.2
Uganda,116,15,0,0,55,0,61,0,56767,0.0,47.4
Trinidad and Tobago,116,0,8,0,104,1,4,0,2271,6.9,89.7
Nepal,109,7,0,0,31,0,78,0,72239,0.0,28.4
Aruba,101,0,3,0,89,0,9,4,1860,3.0,88.1
