countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1160840,1410,67448,57,173725,13057,919667,16475,6931132,5.8,15.0
Spain,245567,0,25100,0,146233,0,74234,2386,1528833,10.2,59.5
Italy,209328,0,28710,0,79914,0,100704,1539,2108837,13.7,38.2
United Kingdom,183381,0,28201,0,860,0,154320,1559,1129907,15.4,0.5
France,168396,0,24760,0,50562,0,93074,3827,1100228,14.7,30.0
Germany,164967,0,6812,0,130600,1600,27555,2105,2547052,4.1,79.2
Russia,134687,10633,1280,58,16639,1626,116768,2300,4100000,1.0,12.4
Turkey,124375,0,3336,0,58259,0,62780,1445,1111366,2.7,46.8
Brazil,97100,541,6761,11,40937,0,49402,8318,339552,7.0,42.2
Iran,96448,0,6156,0,77350,0,12942,2787,484541,6.4,80.2
China,83744,0,4634,0,78382,0,728,34,0,5.5,93.6
Canada,57870,1,3683,0,23801,0,30386,557,832222,6.4,41.1
Belgium,49906,389,7844,79,12309,98,29753,674,266752,15.7,24.7
Peru,42534,0,1200,0,12434,0,28900,671,355604,2.8,29.2
Netherlands,40336,0,4989,0,81,0,35266,708,225899,12.4,0.2
India,39980,281,1323,0,10819,0,27838,0,1046450,3.3,27.1
Switzerland,29817,0,1762,0,24200,0,3855,141,276000,5.9,81.2
Ecuador,27464,0,1371,0,2132,0,23961,149,73929,5.0,7.8
Saudi Arabia,25459,0,176,0,3765,0,21518,139,339775,0.7,14.8
Portugal,25190,0,1023,0,1671,0,22496,150,426836,4.1,6.6
Mexico,22088,1349,2061,89,13447,1070,6580,378,91188,9.3,60.9
Sweden,22082,0,2669,0,1005,0,18408,531,119500,12.1,4.6
Ireland,21176,0,1286,0,13386,0,6504,99,169377,6.1,63.2
Pakistan,19103,81,440,3,4817,64,13846,111,203025,2.3,25.2
Chile,18435,0,247,0,9572,0,8616,425,199400,1.3,51.9
Singapore,18205,657,17,0,1347,0,16841,24,143919,0.1,7.4
Israel,16193,8,230,1,9634,41,6329,103,397046,1.4,59.5
Belarus,15828,0,97,0,3117,0,12614,92,195430,0.6,19.7
Austria,15597,39,598,2,13228,48,1771,114,274355,3.8,84.8
Qatar,14872,0,12,0,1534,0,13326,72,101728,0.1,10.3
Japan,14571,266,474,19,3205,230,10892,324,181527,3.3,22.0
United Arab Emirates,13599,0,119,0,2664,0,10816,1,1200000,0.9,19.6
Poland,13375,0,664,0,3762,0,8949,160,366013,5.0,28.1
Romania,12732,0,780,9,4547,0,7405,265,190540,6.1,35.7
Ukraine,11913,502,288,9,1548,50,10077,158,129723,2.4,13.0
Indonesia,11192,349,845,14,1876,211,8471,0,112965,7.6,16.8
South Korea,10793,13,250,0,9183,60,1360,55,630973,2.3,85.1
Denmark,9594,0,475,0,7074,1,2045,60,221912,5.0,73.7
Serbia,9362,0,189,0,1426,0,7747,57,96637,2.0,15.2
Philippines,9223,295,607,4,1214,90,7402,31,115287,6.6,13.2
Bangladesh,8790,0,175,0,177,0,8438,1,76066,2.0,2.0
Norway,7809,0,211,0,32,0,7566,37,172586,2.7,0.4
Czechia,7755,0,245,0,3471,10,4039,62,257678,3.2,44.8
Dominican Republic,7578,0,326,0,1481,0,5771,144,30102,4.3,19.5
Colombia,7285,0,324,0,1666,0,5295,118,114602,4.4,22.9
Panama,7090,370,197,5,641,19,6252,85,31895,2.8,9.0
Australia,6799,16,95,1,5814,25,890,29,630681,1.4,85.5
South Africa,6336,0,123,0,2549,0,3664,36,230686,1.9,40.2
Malaysia,6298,122,105,2,4413,87,1780,27,184213,1.7,70.1
Egypt,6193,0,415,0,1522,0,4256,0,90000,6.7,24.6
Finland,5176,0,220,0,3000,0,1956,52,101800,4.3,58.0
Morocco,4729,0,173,0,1256,0,3300,1,39367,3.7,26.6
Argentina,4681,149,237,8,1320,0,3124,157,63866,5.1,28.2
Kuwait,4619,0,33,0,1703,0,2883,69,179000,0.7,36.9
Algeria,4295,0,459,0,1872,0,1964,22,6500,10.7,43.6
Moldova,4052,0,124,0,1334,0,2594,237,11763,3.1,32.9
Kazakhstan,3857,0,25,0,995,10,2837,41,282862,0.6,25.8
Luxembourg,3812,0,92,0,3318,0,402,23,47460,2.4,87.0
Bahrain,3284,0,8,0,1568,0,1708,1,139354,0.2,47.7
Hungary,2998,56,340,5,629,4,2029,51,82010,11.3,21.0
Thailand,2969,3,54,0,2739,7,176,61,178083,1.8,92.3
Afghanistan,2704,235,85,13,345,14,2274,7,11068,3.1,12.8
Greece,2620,0,143,0,1374,0,1103,37,78207,5.5,52.4
Oman,2568,85,12,0,750,0,1806,17,40459,0.5,29.2
Nigeria,2388,0,85,0,385,34,1918,2,16588,3.6,16.1
Armenia,2386,113,35,2,1035,25,1316,10,24177,1.5,43.4
Iraq,2219,0,95,0,1473,0,651,0,98253,4.3,66.4
Ghana,2169,0,18,0,229,0,1922,4,117049,0.8,10.6
Uzbekistan,2127,9,9,0,1271,0,847,8,242536,0.4,59.8
Croatia,2088,0,77,0,1463,0,548,17,37557,3.7,70.1
Cameroon,2077,0,64,0,953,0,1060,12,0,3.1,45.9
Azerbaijan,1894,0,25,0,1411,0,458,17,152597,1.3,74.5
Bosnia and Herzegovina,1839,0,72,0,779,0,988,4,32783,3.9,42.4
Iceland,1798,0,10,0,1706,0,82,0,50002,0.6,94.9
Estonia,1700,1,55,2,259,3,1386,7,55206,3.2,15.2
Cuba,1611,0,66,0,765,0,780,10,51506,4.1,47.5
Bulgaria,1611,17,72,0,308,21,1231,40,47636,4.5,19.1
Guinea,1586,0,7,0,405,0,1174,0,0,0.4,25.5
North Macedonia,1506,0,82,0,852,0,572,21,16997,5.4,56.6
New Zealand,1487,2,20,0,1266,3,201,0,150223,1.3,85.1
Bolivia,1470,241,71,5,159,25,1240,3,5791,4.8,10.8
Slovenia,1439,0,96,2,241,2,1102,21,55520,6.7,16.7
Lithuania,1410,4,46,0,635,3,729,17,141678,3.3,45.0
Slovakia,1408,1,24,0,619,11,765,7,96220,1.7,44.0
