Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
USA,"400,540","4,325","12,908",118,"21,711",37,"365,921","9,169 (3%)","365,921",3%,"2,082,431","17,358"
USA,"141,942","5,267","14,045",704,"43,208","2,771","84,689","7,069 (8%)","84,689",10%,"355,000",0
USA,"135,586","3,039","17,127",604,"24,392","1,555","94,067","3,792 (4%)","94,067",13%,"755,445","33,713"
USA,"109,069","11,059","10,328","1,417","19,337","2,087","79,404","7,131 (9%)","79,404",9%,"224,254",0
USA,"107,663","4,289","2,016",206,"36,081","7,381","69,566","4,895 (7%)","69,566",2%,"918,460",0
USA,"82,764",65,"3,337",2,"77,518",127,"1,909",189 (10%),"1,909",4%,0,0
USA,"62,589","2,089","3,872",133,"27,039","2,803","31,678","3,987 (13%)","31,678",6%,"211,136","25,136"
USA,"55,924","3,667","6,170",786,325,38,"49,429","1,559 (3%)","49,429",11%,"266,694","13,736"
USA,"34,109","3,892",725,76,"1,582",256,"31,802","1,474 (5%)","31,802",2%,"228,868","26,023"
USA,"22,253",596,821,56,"8,704",648,"12,728",391 (3%),"12,728",4%,"167,429","4,929"
USA,"22,194","1,380","2,035",403,"4,157",171,"16,002","1,260 (8%)","16,002",9%,"80,512","10,512"
USA,"19,694",783,"2,107",234,265,12,"17,322","1,424 (8%)","17,322",11%,"86,589",0
USA,"17,897","1,230",381,43,"4,028",412,"13,488",426 (3%),"13,488",2%,"346,507","15,606"
USA,"14,049",15,688,2,127,0,"13,234",296 (2%),"13,234",5%,"54,824",0
USA,"12,675",36,243,0,"4,046",0,"8,386",243 (3%),"8,386",2%,"115,235",0
USA,"12,442",712,345,34,184,44,"11,913",271 (2%),"11,913",3%,"121,256","11,256"
USA,"10,384",53,200,8,"6,776",82,"3,408",55 (2%),"3,408",2%,"477,304",0
USA,"9,404",156,71,6,801,31,"8,532",147 (2%),"8,532",1%,"117,339",0
USA,"7,693",487,591,114,205,0,"6,897",640 (9%),"6,897",8%,"54,700","17,800"
USA,"7,497","1,154",58,11,494,88,"6,945",8 (0%),"6,945",1%,"795,000","37,000"
USA,"6,086",221,89,13,32,0,"5,965",78 (1%),"5,965",1%,"113,896","2,597"
USA,"6,010",22,50,1,"2,547",0,"3,413",89 (3%),"3,413",1%,"318,064","7,364"
USA,"5,709",345,210,36,25,0,"5,474",165 (3%),"5,474",4%,"42,484","12,271"
USA,"5,356",45,160,10,468,47,"4,728",0 (0%),"4,728",3%,"140,293",0
USA,"5,255",391,203,16,"1,611",126,"3,441",127 (4%),"3,441",4%,"58,419","5,483"
USA,"5,116",301,43,6,898,170,"4,175",337 (8%),"4,175",1%,"57,122","2,258"
USA,"5,033",16,91,3,181,9,"4,761",103 (2%),"4,761",2%,"98,681","7,434"
USA,"4,848",435,129,22,191,29,"4,528",50 (1%),"4,528",3%,"92,215","6,748"
USA,"4,417",360,197,21,460,54,"3,760",274 (7%),"3,760",4%,"43,578","2,591"
USA,"4,257",351,93,1,622,30,"3,542",80 (2%),"3,542",2%,"55,311",0
USA,"4,072",37,58,1,467,38,"3,547",25 (1%),"3,547",1%,"42,159","2,976"
USA,"3,995",248,220,29,140,40,"3,635",156 (4%),"3,635",6%,"14,406","1,367"
USA,"3,963",170,63,1,"1,321",80,"2,579",92 (4%),"2,579",2%,"55,566",0
USA,"3,764",104,177,14,84,11,"3,503",1 (0%),"3,503",5%,"22,958",0
USA,"2,970",127,44,3,500,0,"2,426",35 (1%),"2,426",1%,"25,702","1,411"
USA,"2,954",393,107,15,"1,301",304,"1,546",109 (7%),"1,546",4%,"21,555","1,141"
USA,"2,795",190,41,3,615,64,"2,139",41 (2%),"2,139",1%,0,0
USA,"2,785",346,141,16,633,0,"2,011",89 (4%),"2,011",5%,"25,410","4,935"
USA,"2,738",247,221,12,204,12,"2,313",0 (0%),"2,313",8%,"14,354","2,894"
USA,"2,447",247,61,3,118,0,"2,268",109 (5%),"2,268",2%,"9,626","1,074"
USA,"2,369",111,30,3,888,0,"1,451",61 (4%),"1,451",1%,"71,860",0
USA,"2,359",283,12,1,186,19,"2,161",1 (0%),"2,161",1%,"220,000",0
USA,"2,308",132,34,7,300,0,"1,974",81 (4%),"1,974",1%,"34,900","2,100"
USA,"2,249",149,59,4,16,2,"2,174",91 (4%),"2,174",3%,"10,297",0
USA,"2,057",225,6,2,150,19,"1,901",37 (2%),"1,901",0%,"41,818","3,710"
USA,"1,956",128,98,12,36,3,"1,822",147 (8%),"1,822",5%,"4,542",0
USA,"1,832",77,81,2,269,0,"1,482",90 (6%),"1,482",4%,"28,584","2,391"
USA,"1,780",201,50,4,100,12,"1,630",76 (5%),"1,630",3%,"30,445","2,760"
USA,"1,749",63,13,1,95,0,"1,641",7 (0%),"1,641",1%,"58,098",0
USA,"1,715",161,60,12,338,13,"1,317",96 (7%),"1,317",4%,"11,778","1,069"
USA,"1,668",206,52,7,35,7,"1,581",16 (1%),"1,581",3%,"7,205",820
USA,"1,586",24,6,0,559,99,"1,021",11 (1%),"1,021",0%,"28,991","1,111"
USA,"1,481",106,6,0,377,33,"1,098",29 (3%),"1,098",0%,"65,000",0
USA,"1,468",45,193,20,113,23,"1,162",46 (4%),"1,162",13%,"3,359",0
USA,"1,450",128,94,9,276,17,"1,080",0 (0%),"1,080",6%,"25,000",0
USA,"1,282",60,18,2,167,37,"1,097",35 (3%),"1,097",1%,"12,322",858
USA,"1,210",50,1,0,282,41,927,4 (0%),927,0%,"46,875","4,049"
USA,"1,184",64,90,10,93,12,"1,001",1 (0%),"1,001",8%,"5,437",333
USA,"1,149",41,21,2,69,7,"1,059",12 (1%),"1,059",2%,"23,546","1,680"
USA,"1,122",91,65,1,373,29,684,0 (0%),684,6%,"26,331","26,331"
USA,"1,059",38,36,6,102,0,921,30 (3%),921,3%,"29,455","1,202"
USA,"1,056",91,22,3,40,3,994,80 (8%),994,2%,"5,108","5,108"
USA,936,21,4,0,236,20,696,12 (2%),696,0%,"96,709",0
USA,912,32,15,0,8,0,889,11 (1%),889,2%,"30,108","2,301"
USA,895,78,58,11,94,23,743,17 (2%),743,6%,"25,748","2,002"
USA,861,161,13,0,54,1,794,31 (4%),794,2%,"43,000","3,000"
USA,853,20,8,0,87,25,758,30 (4%),758,1%,"5,140",211
USA,811,55,5,1,458,0,348,4 (1%),348,1%,"47,684",0
USA,764,90,33,4,68,21,663,4 (1%),663,4%,"6,911",977
USA,743,78,1,0,105,2,637,23 (4%),637,0%,0,0
USA,717,76,8,1,44,0,665,23 (3%),665,1%,"53,300","8,300"
USA,712,0,11,0,619,0,82,10 (12%),82,2%,0,0
USA,704,7,6,0,51,0,647,21 (3%),647,1%,"56,775","2,008"
USA,685,27,9,0,60,43,616,0 (0%),616,1%,0,0
USA,623,27,23,1,25,20,575,39 (7%),575,4%,"8,274",549
USA,599,29,26,3,30,0,543,15 (3%),543,4%,"5,879",588
USA,581,4,23,0,42,0,516,21 (4%),516,4%,"15,899",0
USA,581,47,2,0,13,5,566,3 (1%),566,0%,"17,639","1,448"
USA,548,6,2,1,16,0,530,5 (1%),530,0%,"22,575","1,122"
USA,548,7,19,0,62,2,467,29 (6%),467,3%,"10,221",568
USA,545,20,22,1,39,8,484,17 (4%),484,4%,"1,673","1,673"
USA,534,14,2,0,30,0,502,8 (2%),502,0%,0,0
USA,494,29,9,0,47,2,438,13 (3%),438,2%,"13,017","1,353"
USA,483,16,2,0,24,6,457,14 (3%),457,0%,"5,525",162
USA,424,9,7,1,150,27,267,14 (5%),267,2%,"5,727",342
USA,423,56,14,3,18,0,391,0 (0%),391,3%,0,0
USA,419,48,2,0,72,5,345,3 (1%),345,0%,0,0
USA,396,46,11,2,27,9,358,15 (4%),358,3%,"7,054","1,820"
USA,384,20,19,1,127,19,238,0 (0%),238,5%,0,0
USA,383,6,22,1,131,15,230,7 (3%),230,6%,"2,753",182
USA,379,3,5,0,67,6,307,0 (0%),307,1%,"40,702",0
USA,358,9,0,0,40,0,318,4 (1%),318,0%,0,0
USA,353,4,6,0,138,12,209,5 (2%),209,2%,"17,000",0
USA,349,26,3,0,41,0,305,0 (0%),305,1%,0,0
USA,335,12,7,0,34,7,294,0 (0%),294,2%,"1,157",0
USA,312,7,22,0,6,0,284,10 (4%),284,7%,0,0
USA,293,52,0,0,5,0,288,4 (1%),288,0%,"10,923",0
USA,287,73,5,0,31,0,251,2 (1%),251,2%,0,0
USA,279,2,34,2,40,5,205,14 (7%),205,12%,586,0
USA,278,25,11,1,26,0,241,0 (0%),241,4%,"4,199",118
USA,270,42,4,0,33,0,233,5 (2%),233,1%,"9,618",0
USA,268,24,7,0,8,1,253,3 (1%),253,3%,"4,913",0
USA,261,7,1,0,42,18,218,0 (0%),218,0%,"15,140","2,402"
USA,254,16,6,1,44,9,204,2 (1%),204,2%,"5,000",0
USA,251,2,0,0,126,3,125,8 (6%),125,0%,"106,399",0
USA,241,8,2,0,4,3,235,7 (3%),235,1%,"2,014",292
USA,237,11,2,0,105,13,130,1 (1%),130,1%,0,0
USA,210,16,15,1,2,0,193,3 (2%),193,7%,591,0
USA,208,12,3,0,46,0,159,6 (4%),159,1%,"2,762",0
USA,185,7,6,1,42,4,137,5 (4%),137,3%,"3,248",0
USA,184,1,0,0,120,13,64,2 (3%),64,0%,"5,035",101
USA,184,14,5,1,30,6,149,0 (0%),149,3%,0,0
USA,180,19,18,0,9,4,153,0 (0%),153,10%,0,0
USA,172,14,6,0,7,3,159,2 (1%),159,3%,"4,973",696
USA,171,7,2,0,22,7,147,3 (2%),147,1%,"1,100",621
USA,166,1,7,0,65,0,94,6 (6%),94,4%,"1,779",0
USA,164,41,17,5,33,0,114,1 (1%),114,10%,"4,289",679
USA,152,1,4,0,50,0,98,20 (20%),98,3%,0,0
USA,150,11,1,0,73,18,76,6 (8%),76,1%,"1,669",31
USA,144,16,0,0,5,0,139,0 (0%),139,0%,0,0
USA,139,0,7,0,31,0,101,14 (14%),101,5%,0,0
USA,135,0,1,0,85,3,49,3 (6%),49,1%,"8,845",584
USA,119,4,5,0,15,0,99,1 (1%),99,4%,"2,039",0
USA,117,2,0,0,63,5,54,1 (2%),54,0%,"5,768",0
USA,113,4,0,0,60,8,53,0 (0%),53,0%,"1,440",53
USA,107,2,8,0,1,0,98,0 (0%),98,7%,878,45
USA,105,0,0,0,7,3,98,0 (0%),98,0%,806,806
USA,93,15,5,1,9,4,79,2 (3%),79,5%,0,0
USA,90,0,0,0,9,0,81,0 (0%),81,0%,"2,229","2,229"
USA,88,6,0,0,7,5,81,6 (7%),81,0%,0,0
USA,80,3,3,0,17,0,60,3 (5%),60,4%,"1,134",0
USA,79,2,1,0,4,0,74,4 (5%),74,1%,0,0
USA,78,1,1,0,55,0,22,0 (0%),22,1%,900,0
USA,77,5,0,0,34,0,43,1 (2%),43,0%,0,0
USA,74,3,0,0,14,12,60,0 (0%),60,0%,954,44
USA,65,7,3,0,23,0,39,0 (0%),39,5%,"1,617",150
USA,63,3,3,1,6,0,54,4 (7%),54,5%,557,0
USA,63,4,3,0,9,1,51,0 (0%),51,5%,540,0
USA,56,9,5,0,12,3,39,0 (0%),39,9%,0,0
USA,52,8,2,0,4,0,46,1 (2%),46,4%,"2,271",428
USA,45,0,5,0,2,0,38,0 (0%),38,11%,0,0
USA,45,6,1,0,6,5,38,0 (0%),38,2%,479,114
USA,44,0,0,0,10,0,34,1 (3%),34,0%,0,0
USA,40,3,6,0,1,0,33,2 (6%),33,15%,112,7
USA,39,0,1,0,7,2,31,0 (0%),31,3%,619,0
USA,39,0,2,0,17,0,20,0 (0%),20,5%,306,8
USA,36,3,6,0,5,0,25,1 (4%),25,17%,0,0
USA,33,2,5,1,8,0,20,4 (20%),20,15%,132,17
USA,32,0,2,0,7,0,23,6 (26%),23,6%,0,0
USA,30,6,1,0,1,0,28,0 (0%),28,3%,0,0
USA,26,0,1,0,5,0,20,0 (0%),20,4%,0,0
USA,25,1,1,0,0,0,24,0 (0%),24,4%,257,10
USA,24,0,1,0,5,2,18,0 (0%),18,4%,0,0
USA,22,0,1,0,0,0,21,0 (0%),21,5%,"1,246",0
USA,20,1,1,0,1,0,18,0 (0%),18,5%,326,14
USA,19,4,1,1,0,0,18,1 (6%),18,5%,40,0
USA,19,0,0,0,13,0,6,0 (0%),6,0%,0,0
USA,19,0,2,0,3,1,14,0 (0%),14,11%,0,0
USA,18,0,0,0,1,0,17,0 (0%),17,0%,"2,320",185
USA,17,1,2,0,2,0,13,0 (0%),13,12%,0,0
USA,16,0,0,0,3,0,13,0 (0%),13,0%,362,0
USA,16,1,0,0,4,0,12,0 (0%),12,0%,0,0
USA,16,0,0,0,3,0,13,0 (0%),13,0%,854,0
USA,15,0,0,0,1,0,14,0 (0%),14,0%,293,0
USA,14,0,0,0,1,0,13,0 (0%),13,0%,0,0
USA,14,2,2,0,2,0,10,0 (0%),10,14%,0,0
USA,14,0,3,0,3,0,8,0 (0%),8,21%,0,0
USA,13,0,1,0,7,2,5,0 (0%),5,8%,0,0
USA,11,1,2,1,0,0,9,0 (0%),9,18%,371,55
USA,11,0,0,0,10,6,1,0 (0%),1,0%,752,34
USA,10,0,0,0,4,0,6,0 (0%),6,0%,0,0
USA,10,1,0,0,2,2,8,0 (0%),8,0%,0,0
USA,10,0,0,0,1,0,9,0 (0%),9,0%,424,61
USA,10,0,1,0,0,0,9,0 (0%),9,10%,0,0
USA,9,0,2,0,0,0,7,0 (0%),7,22%,0,0
USA,9,0,0,0,1,0,8,0 (0%),8,0%,"1,890",234
USA,8,1,0,0,1,0,7,0 (0%),7,0%,56,56
USA,8,0,1,0,0,0,7,0 (0%),7,13%,61,0
USA,8,1,0,0,1,0,7,0 (0%),7,0%,0,0
USA,8,3,1,1,0,0,7,1 (14%),7,13%,0,0
