countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,849092,-2885,47681,133,84050,72,717361,14016,4326648,5.6,9.9
Spain,213024,4635,22157,440,89250,3335,101617,7705,930230,10.4,41.9
Italy,187327,0,25085,0,54543,0,107699,2384,1513251,13.4,29.1
France,159877,0,21340,0,40657,0,97880,5218,463662,13.3,25.4
Germany,150729,81,5315,0,103300,3900,42114,2908,2072669,3.5,68.5
United Kingdom,134597,0,18149,0,670,0,115778,1559,559935,13.5,0.5
Turkey,98674,0,2376,0,16477,0,79821,1814,750944,2.4,16.7
Iran,85996,0,5391,0,63113,0,17492,3311,377396,6.3,73.4
China,83812,8,4636,0,77866,50,1310,63,0,5.5,92.9
Russia,62773,4774,555,42,4891,471,57327,2300,2401616,0.9,7.8
Brazil,46182,425,2924,18,25318,0,17940,8318,291922,6.3,54.8
Belgium,42797,908,6490,228,9800,367,26507,993,171400,15.2,22.9
Canada,41608,0,2080,3,13986,0,25542,557,612192,5.0,33.6
Netherlands,35015,2,4068,1,90,0,30857,1050,171415,11.6,0.3
Switzerland,28268,0,1509,0,19900,0,6859,386,227554,5.3,70.4
Portugal,21982,0,785,0,1143,0,20054,207,284741,3.6,5.2
India,21797,427,681,0,4376,6,16740,0,500542,3.1,20.1
Peru,19250,0,530,0,7027,0,11693,396,170400,2.8,36.5
Ireland,16671,0,769,0,9233,0,6669,147,111584,4.6,55.4
Sweden,16004,0,1937,0,550,0,13517,515,94500,12.1,3.4
Austria,15002,77,522,12,11694,366,2786,169,205835,3.5,77.9
Israel,14592,94,191,2,5334,119,9067,136,240303,1.3,36.6
Saudi Arabia,12772,0,114,0,1812,0,10846,82,200000,0.9,14.2
Japan,11950,438,299,18,1424,68,10227,241,130587,2.5,11.9
Chile,11296,0,160,0,5386,0,5750,399,128722,1.4,47.7
Singapore,11178,1037,12,0,896,0,10270,27,94796,0.1,8.0
Ecuador,10850,0,537,0,1262,0,9051,141,34840,4.9,11.6
South Korea,10702,8,240,2,8411,134,2051,55,583971,2.2,78.6
Mexico,10544,1043,970,113,2627,0,6947,378,49570,9.2,24.9
Pakistan,10513,437,224,12,2337,181,7952,60,124549,2.1,22.2
Poland,10346,177,435,9,1740,227,8171,160,238799,4.2,16.8
Romania,9710,0,527,3,2406,0,6777,288,106357,5.4,24.8
Denmark,8260,163,384,0,5265,0,2611,80,116621,4.6,63.7
United Arab Emirates,8238,0,52,0,1546,0,6640,1,790000,0.6,18.8
Indonesia,7775,357,647,12,960,47,6168,0,55732,8.3,12.3
Norway,7338,0,189,2,32,0,7117,54,148656,2.6,0.4
Belarus,7281,0,58,0,769,0,6454,92,114955,0.8,10.6
Ukraine,7170,578,187,13,504,80,6479,45,72296,2.6,7.0
Qatar,7141,0,10,0,689,0,6442,37,70012,0.1,9.6
Czechia,7136,4,210,2,2002,13,4924,76,195725,2.9,28.1
Serbia,7114,0,134,0,1025,0,5955,101,48636,1.9,14.4
Philippines,6981,271,462,16,722,29,5797,1,72346,6.6,10.3
Australia,6661,12,75,1,5045,125,1541,45,466659,1.1,75.7
Malaysia,5603,71,95,2,3542,90,1966,42,113755,1.7,63.2
Dominican Republic,5300,0,260,0,581,0,4459,135,18261,4.9,11.0
Panama,4992,171,144,3,255,24,4593,97,22702,2.9,5.1
Colombia,4356,0,206,0,870,0,3280,98,71500,4.7,20.0
Finland,4284,155,149,0,2000,0,2135,63,70993,3.5,46.7
Bangladesh,4186,414,127,7,108,16,3951,1,32630,3.0,2.6
Egypt,3659,0,276,0,935,0,2448,0,55000,7.5,25.6
Luxembourg,3654,0,80,0,711,0,2863,32,36087,2.2,19.5
South Africa,3635,0,65,0,1055,0,2515,36,133774,1.8,29.0
Morocco,3446,0,149,0,417,0,2880,1,19885,4.3,12.1
Argentina,3288,144,159,7,872,0,2257,123,39228,4.8,26.5
Algeria,2910,0,402,0,1204,0,1304,40,6500,13.8,41.4
Thailand,2839,13,50,1,2430,78,359,61,142589,1.8,85.6
Moldova,2778,0,76,1,661,101,2041,212,11763,2.7,23.8
Greece,2408,0,121,0,577,0,1710,55,56944,5.0,24.0
Kuwait,2399,151,14,1,498,55,1887,55,0,0.6,20.8
Hungary,2284,116,239,14,390,95,1655,61,55390,10.5,17.1
Kazakhstan,2207,72,20,1,536,21,1651,29,153492,0.9,24.3
Bahrain,2027,0,7,0,1026,0,994,2,97796,0.3,50.6
Croatia,1950,0,48,0,869,0,1033,19,27614,2.5,44.6
