countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1385262,18468,81759,1002,260624,4970,1042879,16481,9711947,5.9,18.8
Spain,268143,3480,26744,123,177846,1407,63553,1650,2467761,10.0,66.3
United Kingdom,224202,3880,32137,211,932,7,191133,1559,1921770,14.3,0.4
Russia,221344,11656,2009,94,39801,5495,179534,2300,5636763,0.9,18.0
Italy,219814,744,30739,179,106587,1401,82488,999,2606652,14.0,48.5
France,177423,453,26643,263,56724,507,94056,2712,1384633,15.0,32.0
Germany,172576,697,7661,92,145617,1217,19298,1576,2755770,4.4,84.4
Brazil,168331,5632,11519,396,67384,2427,89428,8318,339552,6.8,40.0
Turkey,139771,1114,3841,55,95780,3089,40150,1126,1403320,2.7,68.5
Iran,109286,1683,6685,45,87422,1279,15179,2703,601324,6.1,80.0
China,83795,16,4634,0,78962,26,199,9,0,5.5,94.2
Canada,71207,1173,5114,124,32994,898,33099,502,1135984,7.2,46.3
India,70768,3607,2294,82,22549,1580,45925,0,1673688,3.2,31.9
Peru,68822,1515,1961,72,22406,1057,44455,785,512869,2.8,32.6
Belgium,53449,368,8707,51,13697,55,31045,478,584707,16.3,25.6
Netherlands,42788,161,5456,16,0,0,37332,498,265156,12.8,0.0
Saudi Arabia,41014,1966,255,9,12737,1280,28022,149,467369,0.6,31.1
Mexico,35022,1562,3465,112,23100,1276,8457,378,130956,9.9,66.0
Pakistan,30941,607,667,8,8212,149,22062,111,294894,2.2,26.5
Switzerland,30344,39,1845,12,26800,200,1699,89,312813,6.1,88.3
Chile,30063,1197,323,11,13605,493,16135,574,294057,1.1,45.3
Ecuador,29509,-50,2145,18,3433,0,23931,181,84287,7.3,11.6
Portugal,27679,98,1144,9,2549,0,23986,112,517660,4.1,9.2
Sweden,26670,348,3256,31,4971,0,18443,360,148500,12.2,18.6
Belarus,23906,933,135,4,6531,125,17240,92,274060,0.6,27.3
Singapore,23822,486,21,1,3225,504,20576,24,175604,0.1,13.5
Qatar,23623,1103,14,0,2840,87,20769,72,131044,0.1,12.0
Ireland,23135,139,1467,9,17110,0,4558,72,214761,6.3,74.0
United Arab Emirates,18878,680,201,3,5381,577,13296,1,1200000,1.1,28.5
Israel,16506,29,258,6,11843,413,4405,66,466552,1.6,71.7
Poland,16326,330,811,11,5816,118,9699,160,491216,5.0,35.6
Austria,15882,11,620,2,14061,70,1201,68,319484,3.9,88.5
Japan,15777,114,624,17,8127,2221,7026,287,214256,4.0,51.5
Bangladesh,15691,1034,239,11,2902,252,12550,1,129865,1.5,18.5
Ukraine,15648,416,408,17,3288,228,11952,207,181552,2.6,21.0
Romania,15588,226,982,21,7245,194,7361,255,262219,6.3,46.5
Indonesia,14265,233,991,18,2881,183,10393,0,161351,6.9,20.2
Colombia,11613,550,479,16,2825,120,8309,130,151396,4.1,24.3
Philippines,11086,292,726,7,1999,75,8361,31,173144,6.5,18.0
South Korea,10909,35,256,0,9632,22,1021,55,668492,2.3,88.3
Denmark,10700,84,533,4,8515,111,1652,43,326560,5.0,79.6
South Africa,10652,637,206,12,4357,184,6089,77,356067,1.9,40.9
Dominican Republic,10634,287,393,5,2870,107,7371,134,42615,3.7,27.0
Serbia,10176,62,218,3,3290,284,6668,29,145604,2.1,32.3
Egypt,9746,346,533,8,2172,97,7041,41,90000,5.5,22.3
Kuwait,9286,598,65,7,2907,178,6314,131,196397,0.7,31.3
