countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1571018,548,93542,19,361227,74,1116249,17249,12647099,6.0,23.0
Russia,308705,8764,2972,135,85392,9262,220341,2300,7500000,1.0,27.7
Spain,278803,0,27778,0,196958,0,54067,1152,3037840,10.0,70.6
Brazil,271885,0,17983,0,106794,0,147108,8318,735224,6.6,39.3
United Kingdom,249373,-335,35385,-24,479,-300,213509,1559,2772552,14.2,0.2
Italy,226699,0,32169,0,129401,0,65129,716,3104524,14.2,57.1
France,180809,0,28022,0,62563,0,90224,1894,1384633,15.5,34.6
Germany,177842,15,8193,0,156900,1200,12749,1115,3147771,4.6,88.2
Turkey,151615,0,4199,0,112895,0,34521,882,1675517,2.8,74.5
Iran,124603,0,7119,0,97173,0,20311,2698,716176,5.7,78.0
India,106886,411,3303,1,42309,0,61274,0,2512388,3.1,39.6
Peru,99483,0,2914,0,36524,0,60045,883,679582,2.9,36.7
China,82965,5,4634,0,78244,3,87,9,0,5.6,94.3
Canada,79771,5,6017,0,40050,0,33704,502,1339971,7.5,50.2
Saudi Arabia,59854,0,329,0,31634,0,27891,251,618084,0.5,52.9
Belgium,55983,192,9150,42,14847,160,31986,313,720228,16.3,26.5
Mexico,54346,2713,5666,334,37325,1937,11355,378,185755,10.4,68.7
Chile,49579,0,509,0,21507,0,27563,876,397200,1.0,43.4
Pakistan,45898,1932,985,46,13101,612,31812,111,414254,2.1,28.5
Netherlands,44249,0,5715,0,0,0,38534,293,302395,12.9,0.0
Qatar,35606,0,15,0,5634,0,29957,172,166182,0.0,15.8
Ecuador,34151,0,2839,0,3457,0,27855,221,98171,8.3,10.1
Belarus,31508,0,175,0,10620,0,20713,92,375076,0.6,33.7
Sweden,30799,0,3743,0,4971,0,22085,287,209900,12.2,16.1
Switzerland,30618,0,1891,0,27700,0,1027,57,350099,6.2,90.5
Portugal,29432,0,1247,0,6431,0,21754,101,662375,4.2,21.9
Singapore,29364,570,22,0,10365,0,18977,10,246254,0.1,35.3
Bangladesh,26738,1617,386,16,5207,214,21145,1,203852,1.4,19.5
United Arab Emirates,25063,0,227,0,10791,0,14045,1,1600923,0.9,43.1
Ireland,24251,0,1561,0,19470,0,3220,54,295626,6.4,80.3
Poland,19569,301,953,5,8183,280,10433,160,653224,4.9,41.8
Ukraine,19230,354,564,16,5955,323,12711,245,248529,2.9,31.0
Indonesia,19189,693,1242,21,4575,108,13372,0,202936,6.5,23.8
South Africa,17200,0,312,0,7960,0,8928,119,488609,1.8,46.3
Romania,17191,0,1141,4,10166,0,5884,195,322074,6.6,59.1
Colombia,16935,0,613,0,4050,0,12272,136,201808,3.6,23.9
Kuwait,16764,0,121,0,4681,0,11962,179,252696,0.7,27.9
Israel,16659,0,278,0,13435,0,2946,50,512452,1.7,80.6
Japan,16367,62,768,19,11564,0,4035,213,255675,4.7,70.7
Austria,16321,0,632,0,14678,0,1011,39,379592,3.9,89.9
Egypt,13484,0,659,0,3742,0,9083,41,135000,4.9,27.8
Dominican Republic,13223,0,441,0,6613,0,6169,136,50108,3.3,50.0
Philippines,13221,279,842,5,2932,89,9447,81,244800,6.4,22.2
Denmark,11117,73,551,0,9416,0,1150,25,490782,5.0,84.7
South Korea,11110,32,263,0,10066,128,781,15,776433,2.4,90.6
Serbia,10733,0,234,0,4904,0,5595,15,190683,2.2,45.7
Panama,9867,0,281,0,6194,0,3392,72,51815,2.8,62.8
Argentina,8809,0,393,0,2872,0,5544,154,108634,4.5,32.6
Czechia,8683,36,303,1,5731,5,2649,36,372341,3.5,66.0
Norway,8267,0,233,0,32,0,8002,16,219984,2.8,0.4
Afghanistan,7653,0,178,0,850,0,6625,19,24697,2.3,11.1
Bahrain,7532,0,12,0,2952,0,4568,9,249411,0.2,39.2
Algeria,7377,0,561,0,3746,0,3070,22,0,7.6,50.8
Australia,7079,11,100,0,6442,29,537,9,1108311,1.4,91.0
Morocco,7023,0,193,0,3901,0,2929,1,100367,2.7,55.5
Malaysia,7009,31,114,0,5706,60,1189,11,471318,1.6,81.4
Kazakhstan,6969,218,35,0,3598,0,3336,31,571547,0.5,51.6
Nigeria,6401,0,192,0,1734,0,4475,7,36899,3.0,27.1
Finland,6399,0,301,0,5000,0,1098,25,152300,4.7,78.1
Moldova,6340,0,221,0,2508,0,3611,251,20447,3.5,39.6
Ghana,6096,0,31,0,1773,0,4292,8,184343,0.5,29.1
Oman,6043,372,27,0,1661,87,4355,31,61000,0.4,27.5
Armenia,5271,230,67,3,2419,255,2785,10,44071,1.3,45.9
Bolivia,4481,218,189,15,533,30,3759,3,14803,4.2,11.9
Luxembourg,3958,0,109,0,3718,0,131,10,63011,2.8,93.9
Iraq,3611,0,131,0,2366,0,1114,0,149701,3.6,65.5
Hungary,3598,42,470,3,1454,42,1674,29,142729,13.1,40.4
Cameroon,3529,0,140,0,1567,0,1822,28,0,4.0,44.4
Azerbaijan,3518,0,41,0,2198,0,1279,37,240220,1.2,62.5
Thailand,3034,1,56,0,2888,31,90,61,286008,1.8,95.2
Honduras,2955,157,147,1,349,9,2459,13,10775,5.0,11.8
Uzbekistan,2880,25,13,0,2338,0,529,6,460000,0.5,81.2
Guinea,2863,0,18,0,1525,0,1320,18,10304,0.6,53.3
Greece,2840,0,165,0,1374,0,1301,22,136001,5.8,48.4
Sudan,2728,0,111,0,286,0,2331,0,281,4.1,10.5
Senegal,2617,0,30,0,1133,0,1454,6,24599,1.1,43.3
Bosnia and Herzegovina,2321,0,134,0,1522,0,665,4,53988,5.8,65.6
Bulgaria,2292,33,116,4,684,38,1492,33,68243,5.1,29.8
Croatia,2232,0,96,0,1967,0,169,10,55800,4.3,88.1
Ivory Coast,2153,0,28,0,1050,0,1075,0,19174,1.3,48.8
Guatemala,2133,132,43,5,155,16,1935,5,20820,2.0,7.3
Tajikistan,1936,0,41,0,641,0,1254,0,0,2.1,33.1
Cuba,1887,0,79,0,1538,0,270,8,85556,4.2,81.5
North Macedonia,1839,0,106,0,1351,0,382,21,22255,5.8,73.5
Iceland,1802,0,10,0,1789,0,3,0,57187,0.6,99.3
