countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1094721,31370,63840,2222,151818,4704,879063,15226,6370285,5.8,13.9
Spain,239639,2740,24543,268,137984,5055,77112,2676,1455306,10.2,57.6
Italy,205463,1872,27967,285,75945,4693,101551,1694,1979217,13.6,37.0
United Kingdom,172360,6037,26838,676,825,2,144697,1559,901905,15.6,0.5
France,167178,758,24376,289,49476,1248,93326,4019,724574,14.6,29.6
Germany,163009,1812,6623,218,123500,3100,32886,2415,2547052,4.1,75.8
Turkey,120204,2615,3174,93,48886,4846,68144,1514,1033617,2.6,40.7
Russia,106498,7099,1073,101,11619,1333,93806,2300,3490000,1.0,10.9
Iran,94640,983,6028,71,75103,1312,13509,2976,463295,6.4,79.4
Brazil,85380,6019,5901,390,35935,1803,43544,8318,339552,6.9,42.1
China,83805,4,4637,0,78364,37,804,41,0,5.5,93.5
Canada,54374,1599,3303,152,21423,1096,29648,557,788283,6.1,39.4
Belgium,48519,660,7594,93,11576,293,29349,769,237963,15.7,23.9
Netherlands,39416,514,4797,84,79,6,34540,783,219744,12.2,0.2
Peru,36976,3045,1051,108,10405,368,25520,651,318252,2.8,28.1
India,34862,1800,1154,75,9068,631,24640,0,830201,3.3,26.0
Switzerland,29586,179,1737,21,23400,800,4449,167,266200,5.9,79.1
Portugal,25045,540,989,16,1519,49,22537,172,395771,3.9,6.1
Ecuador,24934,259,900,17,1558,1,22476,146,69054,3.6,6.2
Saudi Arabia,22753,1351,162,5,3163,210,19428,123,200000,0.7,13.9
Sweden,21092,790,2586,124,1005,0,17501,531,119500,12.3,4.8
Ireland,20612,359,1232,42,13386,0,5994,123,153954,6.0,64.9
Mexico,17799,1047,1732,163,11423,0,4644,378,81912,9.7,64.2
Pakistan,16473,948,361,18,4105,680,12007,111,174160,2.2,24.9
Singapore,16169,528,15,1,1244,56,14910,22,143919,0.1,7.7
Chile,16023,1138,227,11,8580,523,7216,392,180517,1.4,53.5
Israel,15946,112,222,7,8561,328,7163,105,364467,1.4,53.7
Austria,15452,50,584,4,12907,128,1961,128,256399,3.8,83.5
Belarus,14027,846,89,5,2386,314,11552,92,176625,0.6,17.0
Japan,13965,229,425,31,2368,469,11172,306,164255,3.0,17.0
Qatar,13409,845,10,0,1372,129,12027,72,94500,0.1,10.2
Poland,12877,237,644,20,3236,211,8997,160,338027,5.0,25.1
United Arab Emirates,12481,552,105,7,2429,100,9947,1,1122000,0.8,19.5
Romania,12240,262,717,24,4017,448,7506,221,175374,5.9,32.8
South Korea,10765,4,247,1,9059,137,1459,55,619881,2.3,84.2
Ukraine,10406,540,261,11,1238,135,8907,138,111859,2.5,11.9
Indonesia,10118,347,792,8,1522,131,7804,0,94599,7.8,15.0
Denmark,9345,150,452,9,6730,183,2163,62,193165,4.8,72.0
Serbia,9009,285,179,6,1343,51,7487,71,85645,2.0,14.9
Philippines,8488,276,568,10,1043,20,6877,31,104146,6.7,12.3
Norway,7738,28,210,3,32,0,7496,37,172586,2.7,0.4
Czechia,7682,103,236,9,3314,206,4132,68,242088,3.1,43.1
Bangladesh,7667,564,168,5,160,10,7339,1,64666,2.2,2.1
Dominican Republic,6972,320,301,8,1301,73,5370,144,25368,4.3,18.7
Australia,6753,7,93,2,5715,36,945,34,563641,1.4,84.6
Colombia,6507,300,293,15,1439,28,4775,118,104657,4.5,22.1
Panama,6378,178,178,2,527,43,5673,92,29837,2.8,8.3
Malaysia,6002,57,102,2,4171,84,1729,40,160296,1.7,69.5
South Africa,5647,297,103,0,2073,0,3471,36,207530,1.8,36.7
Egypt,5537,269,392,12,1381,46,3764,0,90000,7.1,24.9
Finland,4995,89,211,5,3000,200,1784,48,93900,4.2,60.1
Argentina,4428,143,218,4,1256,64,2954,157,56058,4.9,28.4
Morocco,4423,102,170,2,984,56,3269,1,34841,3.8,22.2
Kuwait,4024,284,26,2,1539,150,2459,66,179000,0.6,38.2
Algeria,4006,158,450,6,1779,77,1777,22,6500,11.2,44.4
Moldova,3897,126,116,9,1182,68,2599,237,11763,3.0,30.3
Luxembourg,3784,15,90,1,3213,79,481,23,42643,2.4,84.9
Kazakhstan,3402,264,25,0,866,47,2511,41,249527,0.7,25.5
Bahrain,3040,119,8,0,1500,45,1532,1,129694,0.3,49.3
Thailand,2954,7,54,0,2684,19,216,61,178083,1.8,90.9
Hungary,2775,48,312,12,581,45,1882,54,72951,11.2,20.9
Greece,2591,15,140,1,1374,797,1077,38,75170,5.4,53.0
Oman,2348,74,11,1,495,131,1842,17,40459,0.5,21.1
Afghanistan,2171,232,64,4,260,8,1847,7,10022,2.9,12.0
Iraq,2085,82,93,1,1375,29,617,0,92061,4.5,65.9
Croatia,2076,14,69,2,1348,60,659,20,36221,3.3,64.9
Ghana,2074,403,17,1,212,24,1845,4,113497,0.8,10.2
Armenia,2066,134,32,2,929,29,1105,10,21125,1.5,45.0
Uzbekistan,2039,37,9,0,1133,37,897,8,242536,0.4,55.6
Nigeria,1932,204,58,7,319,12,1555,2,12828,3.0,16.5
Cameroon,1832,26,61,0,934,0,837,12,0,3.3,51.0
Azerbaijan,1804,38,24,1,1325,58,455,17,143079,1.3,73.4
Iceland,1797,0,10,0,1670,14,117,0,48413,0.6,92.9
Bosnia and Herzegovina,1757,80,69,4,727,17,961,4,30793,3.9,41.4
Estonia,1689,23,52,2,249,13,1388,9,52741,3.1,14.7
Bulgaria,1506,59,66,2,266,23,1174,40,45208,4.4,17.7
Cuba,1501,34,61,3,681,64,759,10,47347,4.1,45.4
Guinea,1495,144,7,0,329,16,1159,0,0,0.5,22.0
New Zealand,1476,2,19,0,1241,12,216,1,134570,1.3,84.1
North Macedonia,1465,23,77,4,738,111,650,13,16050,5.3,50.4
Slovenia,1429,11,91,2,233,3,1105,22,52948,6.4,16.3
Slovakia,1396,5,23,1,524,40,849,8,85922,1.6,37.5
Lithuania,1385,10,45,0,589,26,751,17,125555,3.2,42.5
Ivory Coast,1275,37,14,0,574,17,687,0,9657,1.1,45.0
Bolivia,1110,57,59,4,117,7,934,3,5791,5.3,10.5
Djibouti,1089,12,2,0,642,43,445,0,13422,0.2,59.0
Hong Kong,1038,0,4,0,846,16,188,4,154989,0.4,81.5
Tunisia,994,14,41,1,305,11,648,24,22957,4.1,30.7
Senegal,933,51,9,0,334,19,590,1,466,1.0,35.8
Latvia,858,9,15,0,348,0,495,3,57886,1.7,40.6
Cyprus,850,7,15,0,296,148,539,15,58109,1.8,34.8
Kosovo,799,289,22,10,249,156,528,0,0,2.8,31.2
Albania,773,7,31,1,470,15,272,4,8253,4.0,60.8
Honduras,771,33,71,5,79,6,621,10,3643,9.2,10.2
Kyrgyzstan,746,17,8,0,462,25,276,12,51472,1.1,61.9
Andorra,745,2,42,0,468,45,235,17,1673,5.6,62.8
Lebanon,725,4,24,0,150,0,551,44,34499,3.3,20.7
Niger,719,10,32,1,452,49,235,0,5194,4.5,62.9
Costa Rica,719,6,6,0,338,15,375,8,13240,0.8,47.0
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Sri Lanka,663,14,7,0,154,18,502,1,21157,1.1,23.2
Burkina Faso,645,4,43,0,506,8,96,0,0,6.7,78.4
Uruguay,643,18,17,2,417,23,209,10,19747,2.6,64.9
Somalia,601,19,28,0,31,11,542,2,0,4.7,5.2
Guatemala,585,28,16,0,65,3,504,5,7200,2.7,11.1
San Marino,569,6,41,0,78,9,450,6,2305,7.2,13.7
Georgia,539,22,6,0,184,6,349,6,14718,1.1,34.1
Mayotte,539,79,4,0,235,0,300,4,3000,0.7,43.6
Channel Islands,537,0,40,2,386,0,111,0,5342,7.4,71.9
Congo (Kinshasa),500,9,31,1,65,6,404,0,0,6.2,13.0
Mali,490,8,26,1,135,6,329,0,2172,5.3,27.6
Tanzania,480,0,16,0,167,0,297,7,0,3.3,34.8
Maldives,468,190,1,0,17,0,450,2,8008,0.2,3.6
Malta,465,2,4,0,351,12,110,1,32989,0.9,75.5
Jordan,453,2,8,0,362,6,83,5,63737,1.8,79.9
Sudan,442,67,31,3,39,7,372,0,0,7.0,8.8
Taiwan,429,0,6,0,322,11,101,0,62844,1.4,75.1
Réunion,420,2,0,0,300,0,120,2,0,0.0,71.4
Kenya,396,12,17,2,144,15,235,2,20268,4.3,36.4
Jamaica,396,0,7,0,29,0,360,3,3993,1.8,7.3
El Salvador,395,18,9,0,119,13,267,3,24057,2.3,30.1
West Bank and Gaza,344,0,2,0,76,5,266,0,0,0.6,22.1
Palestine,344,0,2,0,76,5,266,0,27000,0.6,22.1
Venezuela,333,4,16,6,142,0,175,2,458737,4.8,42.6
Mauritius,332,-2,10,0,310,4,12,3,16028,3.0,93.4
Montenegro,322,0,7,0,214,11,101,2,6864,2.2,66.5
Isle of Man,315,2,21,0,260,2,34,21,3117,6.7,82.5
Equatorial Guinea,315,0,1,0,9,0,305,0,854,0.3,2.9
Gabon,276,38,3,0,67,14,206,1,724,1.1,24.3
Vietnam,270,0,0,0,219,-3,51,8,261004,0.0,81.1
Paraguay,249,10,9,0,111,9,129,1,9454,3.6,44.6
Rwanda,243,18,0,0,104,6,139,0,9604,0.0,42.8
Congo (Brazzaville),220,13,9,1,19,0,192,0,0,4.1,8.6
Guinea-Bissau,205,0,1,0,19,0,185,0,1500,0.5,9.3
