countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1644635,24650,97635,1355,397291,15174,1149709,17100,13865035,5.9,24.2
Brazil,330890,20803,21048,1001,135430,9470,174412,8318,735224,6.4,40.9
Russia,326448,8894,3249,150,99825,7144,223374,2300,8126626,1.0,30.6
Spain,281904,1787,28628,688,196958,0,56318,1152,3037840,10.2,69.9
United Kingdom,254195,3287,36393,351,0,0,217802,1559,3231921,14.3,0.0
Italy,228658,652,32616,130,136720,2160,59322,595,3318778,14.3,59.8
France,182219,393,28289,74,64209,351,89721,1701,1384633,15.5,35.2
Germany,179713,692,8352,43,159000,1000,12361,965,3595059,4.6,88.5
Turkey,154500,952,4276,27,116111,1121,34113,800,1767495,2.8,75.2
Iran,131652,2311,7300,51,102276,1712,22076,2659,763913,5.5,77.7
India,124794,6568,3726,142,51824,3271,69244,0,2719434,3.0,41.5
Peru,111698,2929,3244,96,44848,1261,63606,886,750526,2.9,40.2
China,82971,4,4634,0,78255,6,82,8,0,5.6,94.3
Canada,82558,1178,6338,92,42481,766,33739,502,1405208,7.7,51.5
Saudi Arabia,67719,2642,364,13,39003,2963,28352,302,667057,0.5,57.6
Chile,61857,4276,630,41,25342,1350,35885,986,442093,1.0,41.0
Mexico,59567,2973,6510,420,40657,1781,12400,378,201838,10.9,68.3
Belgium,56511,276,9212,26,15123,135,32176,268,757328,16.3,26.8
Pakistan,50694,2603,1067,50,15201,1046,34426,111,445987,2.1,30.0
Netherlands,44888,188,5788,13,0,0,39100,252,313755,12.9,0.0
Qatar,40481,1830,19,2,7893,605,32569,175,180642,0.0,19.5
Ecuador,35828,522,3056,117,3557,0,29215,191,104330,8.5,9.9
Belarus,34303,932,190,5,12833,776,21280,92,419004,0.6,37.4
Sweden,32809,637,3925,54,4971,0,23913,265,209900,12.0,15.2
Switzerland,30707,13,1903,5,27900,0,904,51,364321,6.2,90.9
Singapore,30426,614,23,0,12995,878,17408,8,294414,0.1,42.7
Bangladesh,30205,1694,432,24,6190,588,23583,1,223841,1.4,20.5
Portugal,30200,288,1289,12,7590,1138,21321,84,689705,4.3,25.1
United Arab Emirates,27892,994,241,4,13798,1043,13853,1,1600923,0.9,49.5
Ireland,24506,115,1592,9,21060,0,1854,54,295626,6.5,85.9
Indonesia,20796,634,1326,48,5057,219,14413,0,229334,6.4,24.3
Poland,20619,476,982,10,8731,279,10906,160,719571,4.8,42.3
Ukraine,20148,442,588,9,6585,358,12975,256,267185,2.9,32.7
South Africa,20125,988,397,28,10104,1154,9624,119,543032,2.0,50.2
Kuwait,19564,955,138,9,5515,310,13911,180,264959,0.7,28.2
Colombia,19131,801,682,30,4575,144,13874,136,214536,3.6,23.9
Romania,17712,127,1166,10,10777,196,5769,200,352647,6.6,60.8
Israel,16690,7,279,0,13915,191,2496,47,531124,1.7,83.4
Austria,16436,32,635,2,15005,54,796,31,390488,3.9,91.3
Japan,16424,39,777,6,12672,386,2975,195,261572,4.7,77.2
Egypt,15786,783,707,11,4374,157,10705,41,135000,4.5,27.7
Dominican Republic,13989,332,456,8,7572,206,5961,113,61330,3.3,54.1
Philippines,13597,163,857,11,3092,92,9648,81,278041,6.3,22.7
Denmark,11230,48,561,0,9764,121,905,23,514765,5.0,86.9
South Korea,11142,20,264,0,10162,27,716,15,802418,2.4,91.2
Serbia,11024,105,237,0,5541,171,5246,12,209797,2.1,50.3
Argentina,10649,718,433,17,3062,30,7154,171,121278,4.1,28.8
Panama,10267,151,295,4,6275,30,3697,72,55018,2.9,61.1
Afghanistan,9216,540,205,12,996,58,8015,19,27889,2.2,10.8
Czechia,8813,59,312,6,6025,99,2476,29,387127,3.5,68.4
Bahrain,8414,240,12,0,4096,223,4306,7,269179,0.1,48.7
Norway,8332,23,235,0,7727,7695,370,13,229769,2.8,92.7
Algeria,7918,190,582,7,4256,194,3080,22,0,7.4,53.8
Kazakhstan,7597,363,35,0,4096,319,3466,31,612997,0.5,53.9
Morocco,7332,121,197,1,4377,97,2758,1,123402,2.7,59.7
Nigeria,7261,245,221,10,2007,100,5033,7,41907,3.0,27.6
Malaysia,7137,78,115,1,5859,63,1163,9,491729,1.6,82.1
Australia,7095,14,101,1,6479,7,515,7,1170682,1.4,91.3
Moldova,6847,143,237,4,3369,416,3241,251,40565,3.5,49.2
Oman,6794,424,34,3,1821,0,4939,31,72000,0.5,26.8
Finland,6537,44,306,0,4800,0,1431,21,163000,4.7,73.4
Ghana,6486,217,31,0,1951,53,4504,12,192194,0.5,30.1
Armenia,5928,322,74,4,2874,293,2980,10,47654,1.2,48.5
Bolivia,5187,268,215,16,561,8,4411,3,14803,4.1,10.8
Cameroon,4400,112,159,3,1822,14,2419,28,0,3.6,41.4
Luxembourg,3981,1,109,0,3748,7,124,5,65724,2.7,94.1
Iraq,3964,87,147,7,2532,49,1285,0,175830,3.7,63.9
Azerbaijan,3855,106,46,2,2399,59,1410,42,252496,1.2,62.2
Hungary,3678,37,476,3,1587,78,1615,23,155801,12.9,43.1
Sudan,3378,240,137,16,372,63,2869,0,394,4.1,11.0
Honduras,3204,104,156,5,397,42,2651,13,11820,4.9,12.4
Guinea,3067,0,19,1,1575,0,1473,24,13726,0.6,51.4
