countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,763579,25714,40524,1562,70938,3285,652117,13566,3861382,5.3,9.3
Spain,198674,4258,20453,-186,77357,2560,100864,7371,930230,10.3,38.9
Italy,178972,3047,23660,433,47055,2128,108257,2635,1356541,13.2,26.3
France,152894,1101,19718,395,36578,595,96598,5744,463662,12.9,23.9
Germany,145184,1709,4586,109,88000,2600,52598,2889,1728357,3.2,60.6
United Kingdom,121132,5858,16093,596,428,22,104611,1559,482063,13.3,0.4
Turkey,86306,3977,2017,127,11976,1523,72313,1922,634277,2.3,13.9
China,83741,18,4636,0,77651,73,1454,85,0,5.5,92.7
Iran,82211,1343,5118,87,57023,1036,20070,3456,341662,6.2,69.4
Russia,42853,6060,361,48,3291,234,39201,8,1940000,0.8,7.7
Brazil,38654,1932,2462,101,22130,8104,14062,6634,62985,6.4,57.3
Belgium,38496,1313,5683,230,8757,409,24056,1081,153778,14.8,22.7
Canada,35056,753,1587,117,11843,636,21626,557,536062,4.5,33.8
Netherlands,32819,1070,3696,84,311,5,28812,1176,154911,11.3,0.9
Switzerland,27740,336,1393,25,17800,700,8547,386,221263,5.0,64.2
Portugal,20206,521,714,27,610,0,18882,224,235878,3.5,3.0
India,17615,1893,559,38,2854,391,14202,0,401586,3.2,16.2
Peru,15628,1208,400,52,6811,127,8417,167,143745,2.6,43.6
Ireland,15251,493,610,39,77,0,14564,294,90646,4.0,0.5
Austria,14749,78,452,9,10501,287,3796,204,179243,3.1,71.2
Sweden,14385,563,1540,29,550,0,12295,450,74600,10.7,3.8
Israel,13491,226,172,8,3754,298,9565,146,187250,1.3,27.8
Japan,10797,501,236,14,1159,90,9402,217,112816,2.2,10.7
South Korea,10661,8,234,2,8042,105,2385,55,559109,2.2,75.4
Chile,10088,358,133,7,4338,303,5617,360,113649,1.3,43.0
Ecuador,9468,446,474,18,1061,53,7933,124,31809,5.0,11.2
Saudi Arabia,9362,1088,97,5,1398,69,7867,97,180000,1.0,14.9
Poland,9287,545,360,13,1040,59,7887,160,204246,3.9,11.2
Romania,8746,328,451,30,1892,162,6403,256,93611,5.2,21.6
Pakistan,8348,710,168,25,1868,36,6312,46,98522,2.0,22.4
Denmark,7569,143,355,9,4317,297,2897,84,94277,4.7,57.0
Mexico,7497,622,650,104,2627,502,4220,207,49167,8.7,35.0
Norway,7078,42,165,1,32,0,6881,58,142166,2.3,0.5
United Arab Emirates,6781,479,41,4,1286,98,5454,1,767000,0.6,19.0
Czechia,6746,140,186,5,1298,71,5262,84,168096,2.8,19.2
Australia,6612,26,71,1,4230,63,2311,48,420996,1.1,64.0
Singapore,6588,596,11,0,768,28,5809,22,94796,0.2,11.7
Indonesia,6575,327,582,47,686,55,5307,0,42219,8.9,10.4
Serbia,6318,324,122,5,753,116,5443,120,38701,1.9,11.9
Philippines,6259,172,409,12,572,56,5278,1,59928,6.5,9.1
Ukraine,5449,343,141,8,347,72,4961,45,57111,2.6,6.4
Qatar,5448,440,8,0,518,8,4922,37,62538,0.1,9.5
Malaysia,5389,84,89,1,3197,95,2103,46,103892,1.7,59.3
Belarus,4779,0,47,2,494,152,4238,65,98231,1.0,10.3
Dominican Republic,4680,345,226,9,363,51,4091,114,15583,4.8,7.8
Panama,4273,63,120,4,140,18,4013,96,19091,2.8,3.3
Colombia,3792,171,179,13,711,20,2902,98,62746,4.7,18.8
Finland,3783,102,94,4,1700,0,1989,68,57300,2.5,44.9
Luxembourg,3550,13,73,1,627,26,2850,31,33666,2.1,17.7
South Africa,3158,124,54,2,903,0,2201,36,114711,1.7,28.6
Egypt,3144,112,239,15,732,31,2173,0,55000,7.6,23.3
Morocco,2855,170,141,4,327,13,2387,1,15123,4.9,11.5
Argentina,2839,0,132,0,709,24,1998,123,32712,4.6,25.0
Thailand,2765,32,47,0,1928,141,790,61,100498,1.7,69.7
Algeria,2629,95,375,8,1047,153,1207,40,6500,14.3,39.8
Moldova,2472,94,67,10,457,66,1948,80,10488,2.7,18.5
Bangladesh,2456,312,91,7,75,9,2290,1,23941,3.7,3.1
Greece,2235,0,113,3,269,0,1853,67,53290,5.1,12.0
Hungary,1916,82,189,17,250,19,1477,61,46353,9.9,13.0
Kuwait,1915,164,7,1,305,25,1603,38,0,0.4,15.9
Bahrain,1881,108,7,0,759,4,1115,2,85126,0.4,40.4
Croatia,1871,39,47,8,709,94,1115,23,24186,2.5,37.9
Iceland,1771,11,9,0,1291,0,471,3,41091,0.5,72.9
Kazakhstan,1676,61,17,0,400,23,1259,22,100878,1.0,23.9
Uzbekistan,1565,75,5,0,225,31,1335,8,136000,0.3,14.4
Iraq,1539,26,82,0,1009,56,448,0,56147,5.3,65.6
Estonia,1528,16,40,2,164,2,1324,10,40333,2.6,10.7
New Zealand,1431,9,12,1,912,45,507,18,83224,0.8,63.7
Azerbaijan,1398,25,19,1,712,122,667,21,95747,1.4,50.9
Slovenia,1330,13,74,4,192,2,1064,26,41265,5.6,14.4
Lithuania,1298,59,35,2,242,14,1021,14,64035,2.7,18.6
Armenia,1291,43,20,0,545,22,726,30,12680,1.5,42.2
Bosnia and Herzegovina,1285,17,48,1,347,9,890,4,17818,3.7,27.0
Oman,1266,86,7,1,233,57,1026,3,0,0.6,18.4
North Macedonia,1207,37,51,2,179,15,977,15,11870,4.2,14.8
Slovakia,1161,72,12,1,229,16,920,10,44278,1.0,19.7
Ghana,1042,208,9,0,99,0,934,4,68591,0.9,9.5
Cuba,1035,49,34,2,255,28,746,16,26982,3.3,24.6
Hong Kong,1026,2,4,0,602,34,420,8,131786,0.4,58.7
Cameroon,1017,0,42,20,305,128,670,33,0,4.1,30.0
Afghanistan,996,63,33,3,131,19,832,7,6422,3.3,13.2
Bulgaria,894,16,42,1,161,8,691,36,26417,4.7,18.0
Tunisia,879,13,38,1,43,0,798,33,16098,4.3,4.9
Ivory Coast,847,46,9,1,260,21,578,0,0,1.1,30.7
Djibouti,846,114,2,0,102,26,742,0,8144,0.2,12.1
Cyprus,767,6,12,0,81,2,674,15,34087,1.6,10.6
Latvia,727,15,5,0,88,0,634,5,35881,0.7,12.1
Andorra,713,9,36,1,235,30,442,17,1673,5.0,33.0
Cruise Ship,712,0,13,0,644,0,55,7,0,1.8,90.4
Lebanon,673,1,21,0,102,3,550,27,20929,3.1,15.2
Costa Rica,660,5,5,1,112,15,543,10,10417,0.8,17.0
Niger,648,9,20,1,117,4,511,0,4715,3.1,18.1
Nigeria,627,85,21,2,170,4,436,2,7153,3.3,27.1
Guinea,579,61,5,2,87,22,487,0,0,0.9,15.0
Burkina Faso,576,11,36,0,338,17,202,0,0,6.2,58.7
Albania,562,14,26,0,314,12,222,5,5542,4.6,55.9
Kyrgyzstan,554,48,5,0,133,3,416,5,26147,0.9,24.0
Bolivia,520,27,32,1,31,0,457,3,3569,6.2,6.0
Uruguay,517,0,10,1,298,0,209,14,13207,1.9,57.6
Kosovo,510,0,12,0,93,0,405,0,0,2.4,18.2
Channel Islands,488,4,21,0,73,0,394,0,3320,4.3,15.0
Honduras,472,15,46,0,15,5,411,10,2535,9.7,3.2
San Marino,461,6,39,0,60,0,362,4,1711,8.5,13.0
West Bank and Gaza,437,19,3,1,71,2,363,0,0,0.7,16.2
Palestine,437,19,3,1,71,2,363,0,17329,0.7,16.2
Malta,427,1,3,0,118,19,306,2,23253,0.7,27.6
Taiwan,420,22,6,0,189,11,225,0,53005,1.4,45.0
Jordan,417,4,7,0,276,7,134,5,29000,1.7,66.2
Réunion,408,1,0,0,237,0,171,4,0,0.0,58.1
Georgia,394,6,4,0,93,7,297,6,5027,1.0,23.6
Senegal,367,17,3,0,220,9,144,1,0,0.8,59.9
Mauritius,328,3,9,0,208,28,111,3,9755,2.7,63.4
Congo (Kinshasa),327,20,25,0,26,0,276,0,0,7.6,8.0
Montenegro,308,1,5,0,55,0,248,7,3874,1.6,17.9
Isle of Man,298,1,6,0,193,13,99,10,2465,2.0,64.8
Mayotte,271,17,4,0,117,0,150,5,1850,1.5,43.2
Sri Lanka,271,17,7,0,96,10,168,1,6463,2.6,35.4
Kenya,270,8,14,2,67,7,189,2,13239,5.2,24.8
Vietnam,268,0,0,0,202,1,66,8,206253,0.0,75.4
Guatemala,257,22,7,0,21,0,229,3,7200,2.7,8.2
Venezuela,227,0,9,0,117,0,101,4,299714,4.0,51.5
Mali,224,8,14,1,42,1,168,0,0,6.2,18.8
Paraguay,206,4,8,0,41,6,157,1,4950,3.9,19.9
El Salvador,201,11,7,0,44,1,150,1,11160,3.5,21.9
Faroe Islands,185,1,0,0,176,3,9,0,6021,0.0,95.1
Jamaica,173,10,5,0,27,2,141,0,1605,2.9,15.6
Tanzania,170,23,7,2,11,0,152,4,0,4.1,6.5
Somalia,164,29,7,0,3,1,154,2,0,4.3,1.8
Martinique,163,5,12,4,73,0,78,11,0,7.4,44.8
Guadeloupe,148,0,8,0,73,0,67,13,0,5.4,49.3
Rwanda,147,3,0,0,76,7,71,0,6959,0.0,51.7
Congo (Brazzaville),143,0,6,0,11,0,126,0,0,4.2,7.7
Brunei,138,1,1,0,115,2,22,2,11472,0.7,83.3
Gibraltar,132,0,0,0,120,9,12,1,1912,0.0,90.9
Cambodia,122,0,0,0,105,2,17,1,5768,0.0,86.1
Madagascar,121,1,0,0,39,4,82,1,2357,0.0,32.2
Trinidad and Tobago,114,0,8,0,21,0,85,0,1335,7.0,18.4
Myanmar,111,13,5,0,7,2,99,0,4605,4.5,6.3
Burma,111,13,5,0,7,2,99,0,0,4.5,6.3
Gabon,109,1,1,0,7,0,101,0,572,0.9,6.4
Ethiopia,108,3,3,0,16,0,89,1,7557,2.8,14.8
Aruba,97,1,2,0,49,5,46,4,1442,2.1,50.5
French Guiana,96,0,0,0,64,0,32,2,0,0.0,66.7
Monaco,94,0,3,0,22,0,69,3,0,3.2,23.4
Liberia,91,15,8,1,7,0,76,0,0,8.8,7.7
Bermuda,86,3,5,0,35,0,46,10,638,5.8,40.7
Togo,84,0,5,0,52,3,27,0,4295,6.0,61.9
Liechtenstein,81,2,1,0,55,0,25,0,900,1.2,67.9
Equatorial Guinea,79,0,0,0,4,0,75,0,854,0.0,5.1
Barbados,75,0,5,0,17,0,53,4,1000,6.7,22.7
Sint Maarten,67,3,10,1,12,0,45,6,163,14.9,17.9
Sudan,66,0,10,0,6,0,50,0,0,15.2,9.1
Guyana,65,2,7,1,9,0,49,4,322,10.8,13.8
Cayman Islands,61,0,1,0,7,0,53,3,702,1.6,11.5
Zambia,61,4,3,1,33,0,25,1,2586,4.9,54.1
Cabo Verde,61,3,1,0,1,0,59,0,0,1.6,1.6
Uganda,55,0,0,0,28,6,27,0,11101,0.0,50.9
