countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1258051,21064,74190,1949,206203,6519,977658,15808,7971010,5.9,16.4
Spain,253682,3121,25857,244,159359,4641,68466,2075,1932455,10.2,62.8
Italy,214457,1444,29684,369,93245,8014,91528,1333,2310929,13.8,43.5
United Kingdom,202232,6113,30146,648,867,3,171219,1559,1448010,14.9,0.4
France,174191,3640,25809,278,53972,1236,94410,3147,1100228,14.8,31.0
Germany,168162,1155,7275,282,137696,2596,23191,1884,2755770,4.3,81.9
Russia,165929,10559,1537,86,21327,1462,143065,2300,4633731,0.9,12.9
Turkey,131744,2253,3584,64,78202,4917,49958,1278,1234724,2.7,59.4
Brazil,125218,10503,8536,615,48221,0,68461,8318,339552,6.8,38.5
Iran,101650,1680,6418,78,81587,1112,13645,2735,531275,6.3,80.3
China,83753,2,4634,0,78694,53,425,26,0,5.5,94.0
Canada,64613,1463,4362,177,27816,878,32435,502,970510,6.8,43.1
Peru,54817,3628,1533,89,17527,2114,35757,717,429458,2.8,32.0
India,52987,3587,1785,92,15331,1189,35871,0,1276781,3.4,28.9
Belgium,50781,272,8339,323,12731,290,29711,646,474176,16.4,25.1
Netherlands,41420,232,5206,36,89,7,36125,628,243277,12.6,0.2
Saudi Arabia,31938,1687,209,9,6783,1352,24946,143,389659,0.7,21.2
Ecuador,31881,0,1618,49,3433,0,26830,156,81392,5.1,10.8
Switzerland,30060,51,1805,10,25700,300,2555,121,290365,6.0,85.5
Portugal,26182,480,1089,15,2076,333,23017,136,470234,4.2,7.9
Mexico,26025,1120,2507,236,16810,872,6708,378,105664,9.6,64.6
Sweden,23918,702,2941,87,4074,0,16903,425,148500,12.3,17.0
Pakistan,23214,1165,544,30,6281,480,16389,111,232582,2.3,27.1
Chile,23048,1032,281,6,11189,479,11578,470,232108,1.2,48.5
Ireland,22248,265,1375,36,17110,3724,3763,93,214761,6.2,76.9
Singapore,20198,788,20,2,1634,115,18544,23,175604,0.1,8.1
