countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,737217,28016,38932,1797,67438,7441,630847,13536,3711141,5.3,9.1
Spain,191726,887,20639,637,74797,0,96290,7371,930230,10.8,39.0
Italy,175925,3491,23227,482,44927,2200,107771,2733,1305833,13.2,25.5
France,151793,3824,19323,642,35983,1563,96487,5833,463662,12.7,23.7
Germany,143342,1945,4459,107,85400,2286,53483,2922,1728357,3.1,59.6
United Kingdom,115274,5545,15497,891,406,17,99371,1559,460437,13.4,0.4
China,83723,27,4636,0,77578,-366,1509,85,0,5.5,92.7
Turkey,82329,3783,1890,121,10453,1822,69986,1894,598933,2.3,12.7
Iran,80868,1374,5031,73,55987,1923,19850,3513,330137,6.2,69.2
Belgium,37183,1045,5453,290,8348,387,23382,1119,145997,14.7,22.5
Russia,36793,4785,313,40,3057,467,33423,8,1831892,0.9,8.3
Brazil,36722,3040,2361,220,14026,0,20335,6634,62985,6.4,38.2
Canada,34303,1541,1470,115,11207,879,21626,557,516216,4.3,32.7
Netherlands,31749,1147,3612,142,306,1,27831,1279,154911,11.4,1.0
Switzerland,27404,326,1368,41,17100,700,8936,386,216400,5.0,62.4
Portugal,19685,663,687,30,610,91,18388,228,235878,3.5,3.1
India,15722,1370,521,35,2463,422,12738,0,335123,3.3,15.7
Ireland,14758,778,571,41,77,0,14110,294,90646,3.9,0.5
Austria,14671,76,443,12,10214,510,4014,208,175932,3.0,69.6
Peru,14420,931,348,48,6684,143,7388,117,135895,2.4,46.4
Sweden,13822,606,1511,111,550,0,11761,1054,74600,10.9,4.0
Israel,13265,283,164,13,3456,330,9645,164,187250,1.2,26.1
South Korea,10653,18,232,2,7937,108,2484,55,546463,2.2,74.5
Japan,10296,509,222,32,1069,134,9005,221,111325,2.2,10.4
Chile,9730,478,126,10,4035,414,5569,360,108891,1.3,41.5
Ecuador,9022,572,456,35,1008,170,7558,168,30922,5.1,11.2
Poland,8742,363,347,15,981,115,7414,160,192960,4.0,11.2
Romania,8418,351,421,10,1730,222,6267,248,90991,5.0,20.6
Saudi Arabia,8274,1132,92,5,1329,280,6853,78,150000,1.1,16.1
Pakistan,7638,613,143,8,1832,67,5663,46,92548,1.9,24.0
Denmark,7426,169,346,10,4020,460,3060,76,91437,4.7,54.1
Norway,7036,99,164,3,32,0,6840,63,139668,2.3,0.5
Mexico,6875,578,546,60,2125,0,4204,207,48365,7.9,30.9
Czechia,6606,57,181,8,1227,53,5198,86,162533,2.7,18.6
Australia,6577,51,70,4,4167,346,2340,55,406510,1.1,63.4
United Arab Emirates,6302,0,37,0,1188,0,5077,1,767000,0.6,18.9
Indonesia,6248,325,535,15,631,24,5082,0,39422,8.6,10.1
Philippines,6087,209,397,10,516,29,5174,1,56048,6.5,8.5
Serbia,5994,304,117,7,637,103,5240,126,36028,2.0,10.6
Singapore,5992,942,11,0,740,32,5241,23,94796,0.2,12.3
Malaysia,5305,54,88,2,3102,135,2115,49,100794,1.7,58.5
Ukraine,5106,444,133,8,275,29,4698,45,52534,2.6,5.4
Qatar,5008,345,8,1,510,46,4490,37,60139,0.2,10.2
Belarus,4779,0,45,3,342,0,4392,65,86813,0.9,7.2
Dominican Republic,4335,209,217,17,312,44,3806,146,14373,5.0,7.2
Panama,4210,194,116,7,122,24,3972,96,18559,2.8,2.9
Finland,3681,192,90,8,1700,0,1891,70,55600,2.4,46.2
Colombia,3621,182,166,13,691,57,2764,98,59002,4.6,19.1
Luxembourg,3537,57,72,0,601,22,2864,32,33252,2.0,17.0
South Africa,3034,251,52,2,903,0,2079,36,108021,1.7,29.8
Egypt,3032,188,224,19,701,55,2107,0,55000,7.4,23.1
Argentina,2758,89,129,6,685,19,1944,127,30942,4.7,24.8
Thailand,2733,33,47,0,1787,98,899,61,100498,1.7,65.4
Morocco,2685,121,137,2,314,33,2234,1,13689,5.1,11.7
Algeria,2534,116,367,3,894,48,1273,60,3359,14.5,35.3
Moldova,2378,114,57,1,391,115,1930,80,9848,2.4,16.4
Greece,2235,11,110,2,269,0,1856,67,53290,4.9,12.0
Bangladesh,2144,306,84,9,66,8,1994,1,21307,3.9,3.1
Hungary,1834,71,172,16,231,24,1431,60,43901,9.4,12.6
Croatia,1832,18,39,3,615,15,1178,27,21647,2.1,33.6
Bahrain,1773,33,7,0,755,30,1011,3,82568,0.4,42.6
Iceland,1760,6,9,0,1291,67,460,3,41091,0.5,73.4
Kuwait,1751,93,6,1,280,22,1465,34,0,0.3,16.0
Kazakhstan,1615,69,17,0,377,30,1221,22,100878,1.1,23.3
Iraq,1513,31,82,1,953,47,478,0,53955,5.4,63.0
Estonia,1512,53,38,0,162,17,1312,11,39605,2.5,10.7
Uzbekistan,1490,85,5,1,194,38,1291,8,136000,0.3,13.0
New Zealand,1422,13,11,0,867,51,544,3,79078,0.8,61.0
Azerbaijan,1373,33,18,3,590,62,765,21,86607,1.3,43.0
Slovenia,1317,13,70,4,190,16,1057,27,40580,5.3,14.4
Bosnia and Herzegovina,1268,54,47,1,338,18,883,4,16868,3.7,26.7
Armenia,1248,47,20,1,523,121,705,30,11796,1.6,41.9
Lithuania,1239,90,33,0,228,18,978,14,58816,2.7,18.4
Oman,1180,111,6,0,176,0,998,3,0,0.5,14.9
