countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,400540,4325,12908,118,21711,37,365921,9169,2082431,3.2,5.4
Spain,141942,0,14045,0,43208,0,84689,7069,355000,9.9,30.4
Italy,135586,0,17127,0,24392,0,94067,3792,755445,12.6,18.0
France,109069,0,10328,0,19337,0,79404,7131,224254,9.5,17.7
Germany,107663,0,2016,0,36081,0,69566,4895,918460,1.9,33.5
China,82764,65,3337,2,77518,127,1909,189,0,4.0,93.7
Iran,62589,0,3872,0,27039,0,31678,3987,211136,6.2,43.2
United Kingdom,55924,0,6170,0,325,0,49429,1559,266694,11.0,0.6
Turkey,34109,0,725,0,1582,0,31802,1474,228868,2.1,4.6
Switzerland,22253,0,821,0,8704,0,12728,391,167429,3.7,39.1
Belgium,22194,0,2035,0,4157,0,16002,1260,80512,9.2,18.7
Netherlands,19694,0,2107,0,265,0,17322,1424,86589,10.7,1.3
Canada,17897,0,381,0,4028,0,13488,426,348105,2.1,22.5
Brazil,14049,15,688,2,127,0,13234,296,54824,4.9,0.9
Austria,12675,36,243,0,4046,0,8386,243,115235,1.9,31.9
Portugal,12442,0,345,0,184,0,11913,271,121256,2.8,1.5
South Korea,10384,53,200,8,6776,82,3408,55,477304,1.9,65.3
Israel,9404,156,71,6,801,31,8532,147,117339,0.8,8.5
Sweden,7693,0,591,0,205,0,6897,640,54700,7.7,2.7
Russia,7497,0,58,0,494,0,6945,8,795000,0.8,6.6
Norway,6086,0,89,0,32,0,5965,78,113896,1.5,0.5
Australia,6010,22,50,1,2547,0,3413,89,318064,0.8,42.4
Ireland,5709,0,210,0,25,0,5474,165,42484,3.7,0.4
India,5356,45,160,10,468,47,4728,0,140293,3.0,8.7
Denmark,5255,0,203,0,1611,0,3441,127,58419,3.9,30.7
Chile,5116,0,43,0,898,0,4175,337,57122,0.8,17.6
Czechia,5033,16,91,3,181,9,4761,103,98681,1.8,3.6
Poland,4848,0,129,0,191,0,4528,50,92215,2.7,3.9
Romania,4417,0,203,6,460,0,3754,274,43578,4.6,10.4
Japan,4257,351,93,1,622,30,3542,80,55311,2.2,14.6
Pakistan,4072,37,58,1,467,38,3547,25,42159,1.4,11.5
Ecuador,3995,0,220,0,140,0,3635,156,14406,5.5,3.5
Malaysia,3963,0,63,0,1321,0,2579,92,55566,1.6,33.3
Philippines,3764,0,177,0,84,0,3503,1,24500,4.7,2.2
Luxembourg,2970,0,44,0,500,0,2426,35,25702,1.5,16.8
Peru,2954,0,107,0,1301,0,1546,109,21555,3.6,44.0
Saudi Arabia,2795,0,41,0,615,0,2139,41,0,1.5,22.0
Mexico,2785,346,141,16,633,0,2011,89,25410,5.1,22.7
Indonesia,2738,0,221,0,204,0,2313,0,14354,8.1,7.5
Serbia,2447,0,61,0,118,0,2268,109,9626,2.5,4.8
Thailand,2369,111,30,3,888,0,1451,61,71860,1.3,37.5
United Arab Emirates,2359,0,12,0,186,0,2161,1,220000,0.5,7.9
Finland,2308,0,34,0,300,0,1974,81,34900,1.5,13.0
Panama,2249,149,59,4,16,2,2174,91,10297,2.6,0.7
Qatar,2057,0,6,0,150,0,1901,37,41818,0.3,7.3
Dominican Republic,1956,0,98,0,36,0,1822,147,4542,5.0,1.8
Greece,1832,0,81,0,269,0,1482,90,28584,4.4,14.7
Colombia,1780,0,50,0,100,0,1630,76,30445,2.8,5.6
South Africa,1749,0,13,0,95,0,1641,7,58098,0.7,5.4
Argentina,1715,0,60,0,338,0,1317,96,11778,3.5,19.7
Ukraine,1668,206,52,7,35,7,1581,16,7205,3.1,2.1
Iceland,1586,0,6,0,559,0,1021,11,28991,0.4,35.2
