countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1549357,22005,91915,942,354340,9388,1103102,16857,12255697,5.9,22.9
Russia,290678,8926,2722,91,70209,2836,217747,2300,7147014,0.9,24.2
Spain,278188,469,27709,59,196958,1013,53521,1152,3037840,10.0,70.8
Brazil,254220,13140,16792,674,100459,6337,136969,8318,735224,6.6,39.5
United Kingdom,246960,2711,34839,160,458,0,211663,1559,2682716,14.1,0.2
Italy,225886,451,32007,99,127326,2150,66553,749,3041366,14.2,56.4
France,179927,358,28239,131,61728,515,89960,1998,1384633,15.7,34.3
Germany,177289,638,8123,74,155041,1030,14125,1133,3147771,4.6,87.5
Turkey,150593,1158,4171,31,111577,1615,34845,903,1650135,2.8,74.1
Iran,122492,2294,7057,69,95661,1197,19774,2294,701640,5.8,78.1
India,100340,4642,3156,131,39233,2438,57951,0,2302792,3.1,39.1
Peru,94933,2660,2789,141,30306,1685,61838,866,661132,2.9,31.9
China,82954,7,4634,1,78238,11,82,8,0,5.6,94.3
Canada,78684,1081,5949,57,39228,678,33507,502,1312613,7.6,49.9
Saudi Arabia,57345,2593,320,8,28748,3026,28277,237,601954,0.6,50.1
Belgium,55559,279,9080,28,14657,27,31822,342,696840,16.3,26.4
Mexico,49219,2075,5177,132,33329,1481,10713,378,172294,10.5,67.7
Chile,46059,2278,478,28,20165,952,25416,807,381011,1.0,43.8
Netherlands,44141,146,5694,14,0,0,38447,323,297347,12.9,0.0
Pakistan,42125,1974,903,30,11922,581,29300,111,387335,2.1,28.3
Qatar,33969,1365,15,0,4899,529,29055,172,161695,0.0,14.4
Ecuador,33582,400,2799,63,3433,0,27350,186,96536,8.3,10.2
Switzerland,30597,10,1886,5,27600,100,1111,57,345760,6.2,90.2
Belarus,30572,922,171,6,10130,198,20271,92,364319,0.6,33.1
Sweden,30377,234,3698,19,4971,0,21708,287,177500,12.2,16.4
Portugal,29209,173,1231,13,6430,1794,21548,105,652497,4.2,22.0
Singapore,28343,305,22,0,9835,495,18486,12,246254,0.1,34.7
Ireland,24200,88,1547,4,19470,0,3183,54,258808,6.4,80.5
United Arab Emirates,24190,832,224,4,9577,1065,14389,1,1600923,0.9,39.6
Bangladesh,23870,1602,349,21,4585,212,18936,1,185086,1.5,19.2
Poland,18885,356,936,11,7628,177,10321,160,636046,5.0,40.4
Ukraine,18616,325,535,21,5276,160,12805,240,232899,2.9,28.3
Indonesia,18010,496,1191,43,4324,195,12495,0,190660,6.6,24.0
Romania,17036,165,1120,13,9930,40,5986,193,313621,6.6,58.3
Israel,16643,26,276,4,13253,311,3114,52,505702,1.7,79.6
South Africa,16433,918,286,22,7298,292,8849,119,475071,1.7,44.4
Japan,16305,20,749,5,11564,411,3992,228,250151,4.6,70.9
Colombia,16295,721,592,18,3903,152,11800,136,190114,3.6,24.0
Austria,16269,27,629,0,14614,51,1026,45,366069,3.9,89.8
Kuwait,15691,841,118,6,4339,246,11234,161,248314,0.8,27.7
Egypt,12764,535,645,15,3440,268,8679,41,135000,5.1,27.0
Dominican Republic,12725,411,434,6,6613,766,5678,127,50108,3.4,52.0
Philippines,12718,205,831,7,2729,94,9158,81,244800,6.5,21.5
South Korea,11065,15,263,1,9904,16,898,55,753211,2.4,89.5
Denmark,10968,41,548,1,9301,74,1119,26,463016,5.0,84.8
Serbia,10699,89,231,1,4799,86,5669,16,185385,2.2,44.9
Panama,9606,157,275,6,6081,1,3250,72,50348,2.9,63.3
Czechia,8586,111,297,-1,5641,179,2648,36,356515,3.5,65.7
Argentina,8371,303,382,9,2625,56,5364,154,105829,4.6,31.4
Norway,8257,8,233,1,32,0,7992,18,218039,2.8,0.4
Algeria,7201,182,555,7,3625,118,3021,22,6500,7.7,50.3
Bahrain,7184,228,12,0,2931,21,4241,8,243031,0.2,40.8
Afghanistan,7072,408,173,4,801,23,6098,19,23497,2.4,11.3
Australia,7060,15,99,1,6392,25,569,12,1062034,1.4,90.5
Morocco,6952,82,192,0,3758,98,3002,1,94595,2.8,54.1
Malaysia,6941,47,113,0,5615,44,1213,13,443263,1.6,80.9
Kazakhstan,6440,283,35,1,3469,213,2936,31,540708,0.5,53.9
Finland,6380,33,300,2,5000,0,1080,34,149700,4.7,78.4
Nigeria,6175,216,191,9,1644,50,4340,7,35345,3.1,26.6
Moldova,6138,78,217,6,2425,81,3496,251,20447,3.5,39.5
Ghana,5735,0,29,0,1754,0,3952,5,173096,0.5,30.6
Oman,5379,193,25,3,1496,31,3858,31,61000,0.5,27.8
Armenia,4823,351,61,1,2019,94,2743,10,41850,1.3,41.9
Bolivia,4088,262,169,4,493,20,3426,3,14803,4.1,12.1
Luxembourg,3947,2,107,0,3715,13,125,8,62260,2.7,94.1
Iraq,3554,150,127,4,2310,92,1117,0,149701,3.6,65.0
Hungary,3535,26,462,11,1400,4,1673,46,137243,13.1,39.6
Cameroon,3529,424,140,0,1567,0,1822,28,0,4.0,44.4
Azerbaijan,3387,113,40,1,2055,40,1292,37,235910,1.2,60.7
Thailand,3031,3,56,0,2857,1,118,61,286008,1.8,94.3
Greece,2836,2,165,2,1374,0,1297,24,131684,5.8,48.4
Guinea,2796,138,16,0,1263,130,1517,18,10304,0.6,45.2
Uzbekistan,2791,38,13,1,2314,67,464,8,460000,0.5,82.9
Honduras,2646,81,142,4,319,41,2185,14,5653,5.4,12.1
Sudan,2591,302,105,8,247,25,2239,0,0,4.1,9.5
Senegal,2544,64,26,1,1076,103,1442,6,24599,1.0,42.3
Bosnia and Herzegovina,2304,14,133,0,1464,28,707,4,51320,5.8,63.5
Bulgaria,2235,24,110,2,612,14,1513,43,65936,4.9,27.4
Croatia,2228,2,95,0,1946,10,187,10,54820,4.3,87.3
Ivory Coast,2119,10,28,1,1040,36,1051,0,18608,1.3,49.1
Guatemala,1912,149,35,2,138,0,1739,5,20820,1.8,7.2
Cuba,1881,9,79,0,1505,10,297,9,83868,4.2,80.0
North Macedonia,1817,25,104,3,1301,8,412,21,21722,5.7,71.6
Iceland,1802,0,10,0,1786,0,6,0,56882,0.6,99.1
Estonia,1784,10,64,1,938,0,782,4,70188,3.6,52.6
Tajikistan,1729,205,41,2,0,0,1688,0,0,2.4,0.0
Lithuania,1547,6,59,3,997,0,491,17,231104,3.8,64.4
Congo (Kinshasa),1538,83,61,0,272,2,1205,0,0,4.0,17.7
Djibouti,1518,117,7,3,1018,46,493,0,18345,0.5,67.1
New Zealand,1499,0,21,0,1433,0,45,0,230718,1.4,95.6
Slovakia,1495,1,28,0,1185,22,282,3,143433,1.9,79.3
Slovenia,1466,0,104,0,1335,1062,27,5,69842,7.1,91.1
Somalia,1455,34,57,1,163,11,1235,2,0,3.9,11.2
Gabon,1432,112,11,0,301,57,1120,10,7445,0.8,21.0
El Salvador,1413,75,30,3,474,12,909,21,57883,2.1,33.5
Mayotte,1370,28,18,0,627,0,725,9,5200,1.3,45.8
Kyrgyzstan,1216,78,14,0,827,23,375,5,59490,1.2,68.0
Maldives,1106,12,4,0,58,0,1044,9,11775,0.4,5.2
Hong Kong,1056,0,4,0,1025,1,27,1,168291,0.4,97.1
Tunisia,1037,0,45,0,816,9,176,3,40559,4.3,78.7
Guinea-Bissau,1032,42,4,0,38,12,990,0,1500,0.4,3.7
Latvia,1009,1,19,0,662,0,328,3,89123,1.9,65.6
Sri Lanka,992,11,9,0,559,21,424,1,44391,0.9,56.4
Kosovo,955,0,29,0,691,0,235,0,0,3.0,72.4
Albania,948,2,31,0,727,12,190,1,12192,3.3,76.7
Lebanon,931,20,26,0,251,4,654,4,62424,2.8,27.0
Cyprus,917,1,17,0,515,0,385,10,87549,1.9,56.2
