countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1666829,93,98683,10,446927,61,1121219,17133,14357969,5.9,26.8
Brazil,349113,1715,22165,152,142587,0,184361,8318,735224,6.3,40.8
Russia,344481,8599,3541,153,113299,5363,227641,2300,8600000,1.0,32.9
Spain,282370,0,28678,0,196958,0,56734,854,3556567,10.2,69.8
United Kingdom,257154,0,36675,0,0,0,220479,1559,3348507,14.3,0.0
Italy,229327,0,32735,0,138840,0,57752,572,3391188,14.3,60.5
France,182469,0,28332,0,64547,0,89590,1665,1384633,15.5,35.4
Germany,179986,0,8366,0,160300,400,11320,919,3595059,4.6,89.1
Turkey,155686,0,4308,0,117602,0,33776,775,1807673,2.8,75.5
Iran,133521,0,7359,0,104072,0,22090,2633,781286,5.5,77.9
India,132674,1251,3899,31,54729,344,74046,8944,2943421,2.9,41.3
Peru,115754,0,3373,0,47915,0,64466,909,788341,2.9,41.4
Canada,83621,0,6355,0,43305,0,33961,502,1431911,7.6,51.8
China,82974,3,4634,0,78261,3,79,8,0,5.6,94.3
Saudi Arabia,70161,0,379,0,41236,0,28546,339,684615,0.5,58.8
Mexico,65856,3329,7179,190,44919,2194,13758,378,215656,10.9,68.2
Chile,65393,0,673,0,26546,0,38174,1062,457332,1.0,40.6
Belgium,57092,282,9280,43,15272,117,32540,256,781284,16.3,26.7
Pakistan,54601,2164,1133,32,17198,545,36270,111,473607,2.1,31.5
Netherlands,45064,0,5811,0,0,0,39253,227,313755,12.9,0.0
Qatar,42213,0,21,0,8513,0,33679,177,184794,0.0,20.2
Ecuador,36258,0,3096,0,3557,0,29605,208,105462,8.5,9.8
Belarus,36198,954,199,5,14155,627,21844,92,450627,0.5,39.1
Bangladesh,33610,1532,480,28,6901,415,26229,1,243583,1.4,20.5
Sweden,33188,0,3992,0,4971,0,24225,265,209900,12.0,15.0
Singapore,31616,548,23,0,13882,0,17711,8,294414,0.1,43.9
Switzerland,30725,0,1905,0,28000,0,820,51,367037,6.2,91.1
Portugal,30471,0,1302,0,7705,0,21464,80,689705,4.3,25.3
United Arab Emirates,29485,781,245,1,15056,561,14184,1,1600923,0.8,51.1
Ireland,24582,0,1604,0,21060,0,1918,54,295626,6.5,85.7
Indonesia,22271,526,1372,21,5402,153,15497,0,239740,6.2,24.3
South Africa,21343,0,407,0,10104,0,10832,119,564370,1.9,47.3
Poland,21236,305,995,2,9194,217,11047,160,750939,4.7,43.3
Ukraine,20986,406,617,12,7108,179,13261,256,285626,2.9,33.9
Kuwait,20464,0,148,0,5747,0,14569,192,268154,0.7,28.1
Colombia,20177,0,705,0,4718,0,14754,136,243119,3.5,23.4
Romania,18070,213,1179,3,11399,212,5492,188,368482,6.5,63.1
Israel,16712,0,279,0,14093,3,2340,45,537489,1.7,84.3
Japan,16536,0,808,0,13244,0,2484,174,268477,4.9,80.1
Egypt,16513,0,735,0,4628,0,11150,41,135000,4.5,28.0
Austria,16503,17,640,1,15063,26,800,29,401857,3.9,91.3
Dominican Republic,14422,0,458,0,7854,0,6110,113,65355,3.2,54.5
Philippines,14035,258,868,5,3249,72,9918,81,287294,6.2,23.1
Argentina,11353,0,445,0,3530,0,7378,171,125893,3.9,31.1
Denmark,11289,0,561,0,9836,0,892,19,526285,5.0,87.1
South Korea,11190,25,266,0,10213,19,711,15,820289,2.4,91.3
Serbia,11092,0,238,0,5699,0,5155,12,214212,2.1,51.4
Afghanistan,10582,584,218,2,1075,35,9289,19,30052,2.1,10.2
Panama,10577,0,299,0,6279,0,3999,72,56755,2.8,59.4
Czechia,8890,0,314,0,6044,0,2532,29,394499,3.5,68.0
Bahrain,8802,0,13,0,4465,0,4324,8,276552,0.1,50.7
Norway,8346,0,235,0,7727,0,384,13,229769,2.8,92.6
Kazakhstan,8322,403,35,0,4214,0,4073,31,657214,0.4,50.6
Algeria,8113,0,592,0,4426,0,3095,22,0,7.3,54.6
Oman,7770,513,36,0,1933,85,5801,31,72000,0.5,24.9
Nigeria,7526,0,221,0,2174,0,5131,7,43328,2.9,28.9
Morocco,7406,0,198,0,4638,0,2570,1,133561,2.7,62.6
Malaysia,7245,60,115,0,5945,33,1185,9,507682,1.6,82.1
Australia,7114,3,102,0,6508,14,504,5,1224627,1.4,91.5
Moldova,6994,0,242,0,3452,0,3300,286,40565,3.5,49.4
Armenia,6661,359,81,4,3064,128,3516,10,50397,1.2,46.0
Ghana,6617,0,31,0,1978,0,4608,16,193705,0.5,29.9
Finland,6579,11,307,1,4800,0,1472,19,166900,4.7,73.0
Bolivia,5915,336,240,10,609,34,5066,3,14803,4.1,10.3
Cameroon,4400,0,159,0,1822,0,2419,28,0,3.6,41.4
Iraq,4272,0,152,0,2585,0,1535,0,181882,3.6,60.5
Luxembourg,3990,0,109,0,3758,0,123,8,66653,2.7,94.2
Azerbaijan,3982,0,49,0,2506,0,1427,42,265067,1.2,62.9
Honduras,3743,266,174,7,455,16,3114,13,11820,4.6,12.2
Hungary,3741,28,486,4,1690,35,1565,28,162925,13.0,45.2
Sudan,3628,250,146,9,424,52,3058,0,401,4.0,11.7
Guinea,3176,0,20,0,1631,0,1525,24,13726,0.6,51.4
Uzbekistan,3132,17,13,0,2532,0,587,4,460000,0.4,80.8
Guatemala,3054,311,55,4,244,22,2755,5,25464,1.8,8.0
Thailand,3040,0,56,0,2921,5,63,61,328073,1.8,96.1
Senegal,2976,0,34,0,1416,0,1526,6,34082,1.1,47.6
Greece,2876,0,171,0,1374,0,1331,20,152998,5.9,47.8
Tajikistan,2738,0,44,0,1223,0,1471,0,0,1.6,44.7
Bulgaria,2427,19,130,4,840,32,1457,29,74096,5.4,34.6
Bosnia and Herzegovina,2391,0,141,0,1662,0,588,4,58694,5.9,69.5
Ivory Coast,2366,0,30,0,1188,0,1148,0,22233,1.3,50.2
Djibouti,2270,0,10,0,1064,0,1196,0,22097,0.4,46.9
Croatia,2243,0,99,0,2023,0,121,6,60864,4.4,90.2
Congo (Kinshasa),2025,0,63,0,312,0,1650,0,0,3.1,15.4
North Macedonia,1941,0,113,0,1411,0,417,21,24762,5.8,72.7
Gabon,1934,0,12,0,459,0,1463,10,9908,0.6,23.7
Cuba,1931,0,81,0,1671,0,179,4,92629,4.2,86.5
Estonia,1823,2,64,0,1532,6,227,1,75779,3.5,84.0
El Salvador,1819,0,35,2,575,5,1209,25,70225,1.9,31.6
Iceland,1804,0,10,0,1791,0,3,0,58225,0.6,99.3
Lithuania,1623,7,63,0,1138,3,422,17,267719,3.9,70.1
Somalia,1594,0,61,0,204,0,1329,2,0,3.8,12.8
Mayotte,1521,0,19,0,894,0,608,11,5200,1.2,58.8
Slovakia,1509,5,28,0,1301,21,180,1,158414,1.9,86.2
New Zealand,1504,0,21,0,1456,1,27,1,259152,1.4,96.8
Slovenia,1468,0,107,1,1340,0,21,4,75110,7.3,91.3
Kyrgyzstan,1403,38,14,0,980,23,409,5,98281,1.0,69.9
Maldives,1313,0,4,0,128,0,1181,9,11775,0.3,9.7
Kenya,1192,0,50,0,380,0,762,1,57650,4.2,31.9
Guinea-Bissau,1114,0,6,0,42,0,1066,0,1500,0.5,3.8
Lebanon,1097,0,26,0,667,0,404,4,71814,2.4,60.8
Sri Lanka,1094,5,9,0,674,14,411,1,53092,0.8,61.6
Hong Kong,1066,0,4,0,1030,1,32,1,202930,0.4,96.6
Tunisia,1048,0,48,1,914,11,86,3,47649,4.6,87.2
Latvia,1047,1,22,0,712,0,313,2,99049,2.1,68.0
Mali,1015,0,63,0,574,0,378,0,3483,6.2,56.6
Venezuela,1010,66,10,0,262,0,738,2,771276,1.0,25.9
Albania,998,9,32,1,789,6,177,5,13279,3.2,79.1
Equatorial Guinea,960,0,11,0,165,0,784,0,854,1.1,17.2
Niger,943,0,61,0,775,0,107,0,5989,6.5,82.2
Cyprus,927,0,17,0,594,0,316,10,99733,1.8,64.1
Zambia,920,0,7,0,336,0,577,1,20011,0.8,36.5
Costa Rica,918,0,10,0,607,0,301,4,22910,1.1,66.1
Haiti,865,53,26,1,22,0,817,0,2718,3.0,2.5
Paraguay,850,0,11,0,298,0,541,0,23805,1.3,35.1
Burkina Faso,814,0,52,0,672,0,90,0,0,6.4,82.6
Uruguay,764,11,22,2,616,13,126,5,37590,2.9,80.6
Andorra,762,0,51,0,653,0,58,3,3750,6.7,85.7
Georgia,730,2,12,0,522,13,196,6,45707,1.6,71.5
Cruise Ship,712,0,13,0,651,0,48,4,0,1.8,91.4
Jordan,704,0,9,0,470,0,225,5,161722,1.3,66.8
San Marino,665,0,42,0,266,0,357,1,3968,6.3,40.0
South Sudan,655,0,8,0,6,0,641,0,3356,1.2,0.9
Chad,648,0,60,0,204,0,384,0,0,9.3,31.5
Sierra Leone,621,0,39,0,241,0,341,0,0,6.3,38.8
Malta,609,0,6,0,473,0,130,1,59511,1.0,77.7
Nepal,584,0,3,0,70,0,511,1,132195,0.5,12.0
Channel Islands,558,0,45,0,508,-7,5,0,10255,8.1,91.0
CAR,552,0,1,0,18,0,533,0,11570,0.2,3.3
Jamaica,550,6,9,0,200,9,341,1,9923,1.6,36.4
Tanzania,509,0,21,0,183,0,305,7,0,4.1,36.0
Ethiopia,494,0,5,0,151,0,338,0,76962,1.0,30.6
Madagascar,488,0,2,0,138,0,348,4,5670,0.4,28.3
Congo (Brazzaville),487,0,16,0,147,0,324,0,0,3.3,30.2
Réunion,452,0,1,0,411,0,40,2,17200,0.2,90.9
Taiwan,441,0,7,0,414,3,20,0,70697,1.6,93.9
Palestine,423,0,3,0,348,0,72,0,44876,0.7,82.3
Togo,373,0,12,0,133,0,228,0,15987,3.2,35.7
Cabo Verde,371,0,3,0,142,0,226,0,1307,0.8,38.3
Isle of Man,336,0,24,0,303,0,9,2,4454,7.1,90.2
Mauritius,332,0,10,0,322,0,0,0,101052,3.0,97.0
Vietnam,325,1,0,0,267,0,58,2,275000,0.0,82.2
Rwanda,325,0,0,0,227,0,98,0,57077,0.0,69.8
Montenegro,324,0,9,0,314,0,1,0,10167,2.8,96.9
French Guiana,279,0,1,0,143,0,135,0,0,0.4,51.3
Nicaragua,279,0,17,0,199,0,63,0,0,6.1,71.3
Liberia,255,0,26,0,136,0,93,0,0,10.2,53.3
Sao Tome and Principe,251,0,8,0,4,0,239,0,175,3.2,1.6
Eswatini,238,0,2,0,119,0,117,0,4994,0.8,50.0
Mauritania,227,0,6,0,7,0,214,0,2583,2.6,3.1
Yemen,212,0,39,0,11,0,162,0,120,18.4,5.2
Myanmar,201,0,6,0,120,0,75,0,17875,3.0,59.7
Uganda,198,0,0,0,68,0,130,0,84975,0.0,34.3
Martinique,197,0,14,0,91,0,92,0,0,7.1,46.2
Faroe Islands,187,0,0,0,187,0,0,0,9153,0.0,100.0
Mozambique,168,0,0,0,48,0,120,0,7947,0.0,28.6
Guadeloupe,156,0,13,0,115,0,28,3,3573,8.3,73.7
Gibraltar,152,0,0,0,147,0,5,0,6101,0.0,96.7
Brunei,141,0,1,0,136,0,4,2,18411,0.7,96.5
Mongolia,141,0,0,0,32,2,109,25,12407,0.0,22.7
Benin,135,0,3,0,61,0,71,0,26792,2.2,45.2
Bermuda,133,5,9,0,81,0,43,2,6362,6.8,60.9
Cayman Islands,129,0,1,0,61,0,67,0,8426,0.8,47.3
Guyana,127,0,10,0,58,0,59,4,1401,7.9,45.7
Cambodia,124,0,0,0,122,0,2,1,16416,0.0,98.4
Trinidad and Tobago,116,0,8,0,108,0,0,0,2903,6.9,93.1
Aruba,101,0,3,0,95,0,3,3,2063,3.0,94.1
Bahamas,100,3,11,0,45,0,44,1,1955,11.0,45.0
Monaco,98,0,4,0,90,0,4,1,0,4.1,91.8
Barbados,92,0,7,0,70,0,15,4,4664,7.6,76.1
Malawi,82,0,3,0,28,0,51,1,2411,3.7,34.1
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Comoros,78,0,1,0,18,0,59,0,0,1.3,23.1
Sint Maarten,77,0,15,0,59,0,3,1,437,19.5,76.6
Libya,75,0,3,0,39,0,33,0,4351,4.0,52.0
Syria,70,0,4,0,37,0,29,0,0,5.7,52.9
