countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,468895,1926,16697,61,25928,612,426270,10011,2376977,3.6,5.5
Spain,157022,3800,15843,396,55668,3503,85511,7371,355000,10.1,35.5
Italy,143626,0,18279,0,28470,0,96877,3605,853369,12.7,19.8
Germany,118235,0,2607,0,52407,0,63221,4895,1317887,2.2,44.3
France,117749,0,12210,0,23206,0,82333,7066,333807,10.4,19.7
China,82921,57,3340,1,77768,108,1813,144,0,4.0,93.8
Iran,68192,1972,4232,122,35465,3156,28495,3969,242568,6.2,52.0
United Kingdom,65844,0,7992,0,358,0,57494,1559,298169,12.1,0.5
Turkey,42282,0,908,0,2142,0,39232,1552,276338,2.1,5.1
Belgium,26667,1684,3019,496,5568,404,18080,1278,84248,11.3,20.9
Switzerland,24172,121,958,10,10600,0,12614,386,178500,4.0,43.9
Netherlands,23229,1342,2519,117,273,2,20437,1424,101534,10.8,1.2
Canada,20765,0,509,0,5311,0,14945,518,370315,2.5,25.6
Brazil,18176,31,957,3,173,0,17046,296,62985,5.3,1.0
Portugal,15472,1516,435,26,233,28,14804,226,144000,2.8,1.5
Austria,13453,209,319,24,6064,824,7070,261,134743,2.4,45.1
Russia,11917,1786,94,18,795,97,11028,8,1090000,0.8,6.7
South Korea,10450,27,208,4,7117,144,3125,55,503051,2.0,68.1
Israel,10095,127,92,6,1061,50,8942,164,117339,0.9,10.5
Sweden,9685,544,870,77,205,0,8610,749,54700,9.0,2.1
India,6725,0,229,3,641,21,5855,0,177584,3.4,9.5
Ireland,6574,0,263,0,25,0,6286,194,53000,4.0,0.4
Norway,6233,14,108,0,32,0,6093,70,121034,1.7,0.5
Australia,6203,51,54,3,3141,154,3008,74,338346,0.9,50.6
Denmark,6003,184,247,10,1918,46,3838,113,64731,4.1,32.0
Chile,5972,0,57,0,1274,0,4641,360,68353,1.0,21.3
Poland,5742,167,175,1,318,34,5249,160,118295,3.0,5.5
Czechia,5589,20,113,1,309,8,5167,98,114854,2.0,5.5
Japan,5530,863,99,5,685,53,4746,109,64387,1.8,12.4
Romania,5467,265,265,17,729,82,4473,183,55430,4.8,13.3
Peru,5256,0,138,0,1438,0,3680,124,48465,2.6,27.4
Ecuador,4965,0,272,0,339,0,4354,139,19102,5.5,6.8
Pakistan,4601,112,66,1,727,155,3808,45,54706,1.4,15.8
Malaysia,4346,118,70,3,1830,222,2446,69,69675,1.6,42.1
Philippines,4195,119,221,18,140,16,3834,1,24500,5.3,3.3
Saudi Arabia,3651,364,47,3,685,19,2919,57,115585,1.3,18.8
Indonesia,3512,219,306,26,282,30,2924,0,17679,8.7,8.0
Mexico,3441,260,194,20,633,0,2614,89,31492,5.6,18.4
Luxembourg,3115,0,52,0,500,0,2563,30,27521,1.7,16.1
Serbia,3105,238,71,5,118,0,2916,136,14240,2.3,3.8
United Arab Emirates,2990,0,14,0,268,0,2708,1,593095,0.5,9.0
Finland,2769,164,48,6,300,0,2421,82,41200,1.7,10.8
Panama,2752,0,66,0,16,0,2670,107,11776,2.4,0.6
Qatar,2512,136,6,0,227,21,2279,37,45339,0.2,9.0
Thailand,2473,50,33,1,1013,73,1427,61,71860,1.3,41.0
Dominican Republic,2349,0,118,0,80,0,2151,147,7151,5.0,3.4
Colombia,2223,0,69,0,174,0,1980,85,34910,3.1,7.8
Ukraine,2203,311,69,12,61,16,2073,33,23522,3.1,2.8
South Africa,2003,69,24,6,410,315,1569,7,73028,1.2,20.5
Belarus,1981,495,19,3,169,30,1793,72,53000,1.0,8.5
Greece,1955,0,87,0,269,0,1599,79,33634,4.5,13.8
Singapore,1910,0,6,-1,460,0,1444,29,72680,0.3,24.1
Argentina,1894,0,79,0,365,0,1450,96,14850,4.2,19.3
Egypt,1699,0,118,0,348,0,1233,0,25000,6.9,20.5
Algeria,1666,0,235,0,347,0,1084,46,3359,14.1,20.8
Iceland,1648,0,6,0,688,0,954,11,32663,0.4,41.7
Croatia,1495,88,21,1,231,12,1243,34,14612,1.4,15.5
Morocco,1431,57,105,8,114,5,1212,1,6854,7.3,8.0
Moldova,1289,0,29,0,56,6,1204,80,6271,2.2,4.3
New Zealand,1283,44,2,1,373,56,908,5,55685,0.2,29.1
Estonia,1258,51,24,0,93,10,1141,9,27883,1.9,7.4
Iraq,1232,0,69,0,496,0,667,0,30466,5.6,40.3
Hungary,1190,210,77,11,112,16,1001,17,29948,6.5,9.4
Slovenia,1160,36,45,2,137,9,978,36,33047,3.9,11.8
Lithuania,999,44,22,6,54,46,923,14,36051,2.2,5.4
Kuwait,993,83,1,0,123,12,869,26,0,0.1,12.4
Hong Kong,990,16,4,0,309,16,677,15,96709,0.4,31.2
Armenia,937,16,12,2,149,11,776,30,6081,1.3,15.9
Azerbaijan,926,0,9,0,101,0,816,27,57371,1.0,10.9
Bahrain,913,26,6,1,530,11,377,3,57307,0.7,58.1
Bosnia and Herzegovina,886,28,36,1,129,28,721,4,6911,4.1,14.6
Cameroon,803,73,12,2,61,1,730,0,0,1.5,7.6
Kazakhstan,802,21,9,1,64,4,729,21,61955,1.1,8.0
Cruise Ship,712,0,11,0,619,0,82,10,0,1.5,86.9
North Macedonia,711,48,32,2,41,4,638,15,6571,4.5,5.8
Slovakia,701,0,2,0,23,0,676,5,21371,0.3,3.3
Tunisia,643,0,25,0,25,0,593,78,9570,3.9,3.9
Bulgaria,624,6,24,0,54,6,546,33,18502,3.8,8.7
Uzbekistan,624,42,3,0,42,4,579,8,70000,0.5,6.7
Latvia,612,23,3,0,16,0,593,3,26656,0.5,2.6
Lebanon,609,27,20,1,67,0,522,28,13530,3.3,11.0
Andorra,601,18,26,1,71,13,504,17,1673,4.3,11.8
Cyprus,564,0,10,0,53,0,501,13,14273,1.8,9.4
Costa Rica,539,0,3,0,30,0,506,13,6298,0.6,5.6
Afghanistan,521,37,15,0,32,0,474,0,0,2.9,6.1
Cuba,515,0,15,0,28,0,472,15,9410,2.9,5.4
Oman,484,27,3,0,109,0,372,3,0,0.6,22.5
Uruguay,473,17,7,0,206,14,260,13,6856,1.5,43.6
Ivory Coast,444,0,3,0,52,0,389,0,0,0.7,11.7
Burkina Faso,443,0,24,0,146,0,273,0,0,5.4,33.0
Bangladesh,424,94,27,6,33,0,364,1,7359,6.4,7.8
Albania,416,7,23,0,182,17,211,7,3385,5.5,43.8
Niger,410,0,11,0,40,0,359,0,4251,2.7,9.8
Taiwan,382,2,6,1,91,11,285,0,43886,1.6,23.8
Honduras,382,39,23,0,7,1,352,10,1600,6.0,1.8
Ghana,378,0,6,0,4,1,368,2,12046,1.6,1.1
Jordan,372,0,7,0,161,0,204,5,17000,1.9,43.3
Réunion,362,0,0,0,40,0,322,4,0,0.0,11.0
Channel Islands,361,0,8,0,40,0,313,0,1157,2.2,11.1
Malta,350,13,2,0,16,0,332,4,13732,0.6,4.6
San Marino,333,0,34,0,49,0,250,14,846,10.2,14.7
Mauritius,314,0,9,2,23,0,282,3,6730,2.9,7.3
Kyrgyzstan,298,18,5,1,35,0,258,5,9618,1.7,11.7
Nigeria,288,0,7,0,51,0,230,2,5000,2.4,17.7
Bolivia,268,4,19,1,2,0,247,3,591,7.1,0.7
Palestine,266,3,2,1,45,1,219,0,16068,0.8,16.9
West Bank and Gaza,266,3,2,1,45,1,219,0,0,0.8,16.9
Senegal,265,15,2,0,137,14,126,1,0,0.8,51.7
