countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1236880,25042,72222,2513,199684,12648,964974,16175,7697091,5.8,16.1
Spain,250561,2260,25613,185,154718,3085,70230,2254,1932455,10.2,61.7
Italy,213013,1075,29315,236,85231,2352,98467,1427,2246666,13.8,40.0
United Kingdom,196119,4407,29498,693,864,0,165757,1559,1383842,15.0,0.4
France,170551,1089,25531,330,52736,1365,92284,3430,1100228,15.0,30.9
Germany,167007,855,6993,0,135100,2400,24914,1937,2547052,4.2,80.9
Russia,155370,10102,1451,95,19865,1770,134054,2300,4460357,0.9,12.8
Turkey,129491,1832,3520,59,73285,5119,52686,1338,1204421,2.7,56.6
Brazil,114715,6871,7921,593,48221,2406,58573,8318,339552,6.9,42.0
Iran,99970,1323,6340,63,80475,1096,13155,2685,519543,6.3,80.5
China,83751,1,4634,0,78641,138,476,29,0,5.5,93.9
Canada,63150,1253,4185,183,26938,1516,32027,557,919368,6.6,42.7
Peru,51189,3817,1444,100,15413,986,34332,709,406579,2.8,30.1
Belgium,50509,242,8016,92,12441,63,30052,646,456194,15.9,24.6
India,49400,2963,1693,127,14142,1295,33565,0,1191946,3.4,28.6
Netherlands,41188,318,5170,86,82,1,35936,644,235909,12.6,0.2
Ecuador,31881,0,1569,0,3433,0,26879,159,80171,4.9,10.8
Saudi Arabia,30251,1595,200,9,5431,955,24620,143,376607,0.7,18.0
Switzerland,30009,28,1795,11,25400,200,2814,121,286403,6.0,84.6
Portugal,25702,178,1074,11,1743,31,22885,134,469435,4.2,6.8
Mexico,24905,1434,2271,117,15938,2491,6696,378,100041,9.1,64.0
Sweden,23216,495,2854,85,4074,0,16288,435,148500,12.3,17.5
Pakistan,22049,1108,514,38,5801,166,15734,111,222404,2.3,26.3
Chile,22016,1373,275,5,10710,295,11031,470,222095,1.2,48.6
Ireland,21983,211,1339,20,13386,0,7258,93,214761,6.1,60.9
Singapore,19410,632,18,0,1519,62,17873,24,143919,0.1,7.8
Belarus,18350,861,107,4,3771,512,14472,92,211369,0.6,20.6
Qatar,17142,951,12,0,1924,114,15206,72,109762,0.1,11.2
Israel,16289,43,238,3,10465,401,5586,89,417100,1.5,64.2
Austria,15650,29,606,6,13462,146,1582,104,285883,3.9,86.0
United Arab Emirates,15192,462,146,9,3153,187,11893,1,1200000,1.0,20.8
Japan,15078,201,536,49,4156,175,10386,328,184586,3.6,27.6
Poland,14431,425,716,18,4280,185,9435,160,394270,5.0,29.7
Romania,13837,325,841,23,5454,185,7542,244,205842,6.1,39.4
Ukraine,12697,366,316,13,1875,256,10506,167,139759,2.5,14.8
Indonesia,12071,484,872,8,2197,243,9002,0,121547,7.2,18.2
Bangladesh,10929,786,183,1,1403,194,9343,1,93405,1.7,12.8
South Korea,10804,3,254,2,9283,66,1267,55,640237,2.4,85.9
Denmark,10008,151,503,10,7481,208,2024,49,257738,5.0,74.8
Philippines,9684,199,637,14,1408,93,7639,31,130889,6.6,14.5
Serbia,9677,120,200,3,1723,149,7754,51,111278,2.1,17.8
Colombia,8613,640,378,20,2013,206,6222,120,123029,4.4,23.4
Dominican Republic,8480,245,354,8,1905,134,6221,144,33377,4.2,22.5
Norway,7955,71,215,1,32,0,7708,27,189657,2.7,0.4
Czechia,7896,77,257,5,4006,199,3633,59,269093,3.3,50.7
South Africa,7572,352,148,10,2746,0,4678,36,268064,2.0,36.3
Panama,7387,190,203,3,726,85,6458,93,35556,2.7,9.8
Egypt,7201,388,452,16,1730,98,5019,0,90000,6.3,24.0
Australia,6849,24,97,1,5949,90,803,27,664756,1.4,86.9
Malaysia,6383,30,106,1,4567,83,1710,24,213220,1.7,71.5
Kuwait,5804,526,40,0,2032,85,3732,90,196397,0.7,35.0
Finland,5412,85,246,6,3500,0,1666,48,106300,4.5,64.7
Morocco,5219,166,181,2,1838,185,3200,1,49570,3.5,35.2
Argentina,4887,0,262,2,1472,30,3153,148,69718,5.4,30.1
Algeria,4838,190,470,5,2067,69,2301,22,6500,9.7,42.7
Moldova,4363,115,136,4,1544,121,2683,237,20447,3.1,35.4
Kazakhstan,4205,156,29,0,1279,106,2897,40,320411,0.7,30.4
Luxembourg,3840,12,96,0,3412,7,332,22,49299,2.5,88.9
Bahrain,3720,187,8,0,1762,18,1950,1,155501,0.2,47.4
Afghanistan,3224,330,95,5,421,24,2708,7,13076,2.9,13.1
Hungary,3065,30,363,12,709,79,1993,55,85557,11.8,23.1
Thailand,2988,1,54,0,2747,7,187,61,227860,1.8,91.9
Nigeria,2950,392,98,11,481,81,2371,4,19512,3.3,16.3
Oman,2735,98,13,1,858,42,1864,17,40459,0.5,31.4
Ghana,2719,0,18,0,294,0,2407,4,129461,0.7,10.8
Greece,2642,10,146,0,1374,0,1122,35,83750,5.5,52.0
Armenia,2619,112,40,1,1111,40,1468,10,25846,1.5,42.4
Iraq,2431,85,102,4,1571,27,758,0,113484,4.2,64.6
Uzbekistan,2207,18,10,0,1501,96,696,8,325000,0.5,68.0
Croatia,2112,11,83,3,1560,38,469,14,39973,3.9,73.9
Cameroon,2104,27,64,0,953,0,1087,12,0,3.0,45.3
Azerbaijan,2060,76,26,0,1508,28,526,18,164481,1.3,73.2
Bosnia and Herzegovina,1946,20,79,1,911,56,956,4,35296,4.1,46.8
Guinea,1811,101,10,1,498,48,1303,0,0,0.6,27.5
