countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
New Zealand,1499,1,21,0,1433,5,45,0,228148,1.4,95.6
Slovakia,1494,1,28,0,1163,12,303,3,142462,1.9,77.8
Slovenia,1466,1,104,1,273,1,1089,5,69363,7.1,18.6
Congo (Kinshasa),1455,85,61,0,270,41,1124,0,0,4.2,18.6
Somalia,1421,64,56,1,152,4,1213,2,0,3.9,10.7
Djibouti,1401,70,4,0,972,22,425,0,17532,0.3,69.4
Mayotte,1342,30,18,0,627,0,697,10,5200,1.3,46.7
El Salvador,1338,73,27,1,462,21,849,23,55694,2.0,34.5
Gabon,1320,0,11,0,244,0,1065,10,7445,0.8,18.5
Kyrgyzstan,1138,21,14,0,804,21,320,5,59490,1.2,70.7
Maldives,1094,16,4,0,58,0,1032,9,11775,0.4,5.3
Hong Kong,1056,3,4,0,1024,2,28,1,168291,0.4,97.0
Tunisia,1037,2,45,0,807,5,185,3,39778,4.3,77.8
Latvia,1008,11,19,0,662,0,327,2,88405,1.9,65.7
Guinea-Bissau,990,21,4,0,26,0,960,0,1500,0.4,2.6
Sri Lanka,981,24,9,0,538,18,434,1,43137,0.9,54.8
Kosovo,955,11,29,0,691,1,235,0,0,3.0,72.4
Albania,946,13,31,0,715,1,200,1,12024,3.3,75.6
Cyprus,916,2,17,0,515,0,384,10,87549,1.9,56.2
Lebanon,911,9,26,0,247,0,638,3,61479,2.9,27.1
Niger,904,15,54,3,698,9,152,0,5816,6.0,77.2
Kenya,887,57,50,0,313,12,524,1,43712,5.6,35.3
Costa Rica,863,10,10,0,565,14,288,3,20115,1.2,65.5
Mali,860,25,52,4,494,15,314,0,3383,6.0,57.4
Burkina Faso,796,14,51,0,644,40,101,0,0,6.4,80.9
Paraguay,786,8,11,0,202,4,573,0,20124,1.4,25.7
Andorra,761,0,51,0,617,2,93,3,3750,6.7,81.1
Zambia,753,74,7,0,188,5,558,1,17354,0.9,25.0
Uruguay,734,1,20,1,564,6,150,4,33861,2.7,76.8
Cruise Ship,712,0,13,0,651,0,48,4,0,1.8,91.4
Georgia,695,12,12,0,425,6,258,6,38961,1.7,61.2
San Marino,654,1,41,0,201,3,412,1,3499,6.3,30.7
Jordan,613,6,9,0,408,4,196,5,144356,1.5,66.6
Equatorial Guinea,594,0,7,0,22,0,565,0,854,1.2,3.7
Channel Islands,554,0,43,0,458,0,53,0,5342,7.8,82.7
Malta,553,7,6,0,454,4,93,1,50616,1.1,82.1
Venezuela,541,82,10,0,241,12,290,1,575374,1.8,44.5
Jamaica,517,6,9,0,121,0,387,0,8193,1.7,23.4
Tanzania,509,0,21,0,183,0,305,7,0,4.1,36.0
Sierra Leone,505,43,32,3,141,35,332,0,0,6.3,27.9
Chad,503,29,53,3,117,6,333,0,0,10.5,23.3
Haiti,456,98,20,0,21,-8,415,0,1669,4.4,4.6
Réunion,443,0,0,0,354,0,89,4,17200,0.0,79.9
Taiwan,440,0,7,0,395,6,38,0,69206,1.6,89.8
Congo (Brazzaville),391,0,15,0,87,0,289,0,0,3.8,22.3
Palestine,381,5,2,0,335,6,44,0,44876,0.5,87.9
Benin,339,0,2,0,83,0,254,0,25471,0.6,24.5
