countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1593039,1779,94941,22,370812,754,1127286,17815,14173807,6.0,23.3
Russia,317554,8849,3099,127,92681,7289,221774,2300,7840880,1.0,29.2
Brazil,293357,1778,18894,35,116683,0,157780,8318,735224,6.4,39.8
Spain,279524,0,27888,0,196958,0,54678,1152,3037840,10.0,70.5
United Kingdom,248293,-555,35704,-44,0,-479,212589,1559,2962227,14.4,0.0
Italy,227364,0,32330,0,132282,0,62752,676,3171719,14.2,58.2
France,181575,0,28132,0,63354,0,90089,1794,1384633,15.5,34.9
Germany,178531,0,8270,0,158000,1034,12261,1045,3595059,4.6,88.5
Turkey,152587,0,4222,0,113987,0,34378,877,1696355,2.8,74.7
Iran,126949,0,7183,0,98808,0,20958,2735,731213,5.7,77.8
India,112442,414,3438,4,45422,0,63582,0,2615920,3.1,40.4
Peru,104020,0,3024,0,41968,0,59028,869,715423,2.9,40.3
China,82967,2,4634,0,78249,5,84,8,0,5.6,94.3
Canada,80228,-573,6132,-4,40776,26,33320,502,1375126,7.6,50.8
Saudi Arabia,62545,0,339,0,33478,0,28728,276,636178,0.5,53.5
Mexico,56594,2248,6090,424,38876,1551,11628,378,185755,10.8,68.7
Belgium,56235,252,9186,36,14988,141,32061,277,739146,16.3,26.7
Chile,53617,0,544,0,22504,0,30569,904,409669,1.0,42.0
Pakistan,48091,2193,1017,32,14155,1054,32919,111,429600,2.1,29.4
Netherlands,44447,0,5748,0,0,0,38699,275,302395,12.9,0.0
Qatar,37097,0,16,0,6600,0,30481,172,170437,0.0,17.8
Ecuador,34854,0,2888,0,3557,0,28409,191,100248,8.3,10.2
Belarus,33371,945,185,6,12057,642,21129,92,403236,0.6,36.1
Sweden,31523,0,3831,0,4971,0,22721,352,209900,12.2,15.8
Switzerland,30658,0,1892,0,27800,0,966,55,355393,6.2,90.7
Singapore,29812,448,22,0,11207,0,18583,11,294414,0.1,37.6
Portugal,29660,0,1263,0,6452,0,21945,93,674000,4.3,21.8
Bangladesh,28511,1773,408,22,5602,395,22501,1,214114,1.4,19.6
United Arab Emirates,26004,0,233,0,11809,0,13962,1,1600923,0.9,45.4
Ireland,24315,0,1571,0,21060,0,1684,54,295626,6.5,86.6
Indonesia,20162,973,1278,36,4838,263,14046,0,219975,6.3,24.0
Poland,19983,244,965,3,8452,269,10566,160,674861,4.8,42.3
Ukraine,19706,476,579,15,6227,272,12900,249,257890,2.9,31.6
South Africa,18003,0,339,0,8950,0,8714,119,506861,1.9,49.7
Colombia,17687,0,630,0,4256,0,12801,136,214536,3.6,24.1
Kuwait,17568,0,124,0,4885,0,12559,167,256314,0.7,27.8
Romania,17387,0,1151,4,10356,0,5880,198,332487,6.6,59.6
Israel,16670,3,279,0,13617,113,2774,47,524584,1.7,81.7
Austria,16404,51,633,0,14951,69,820,32,385637,3.9,91.1
Japan,16385,18,771,3,12286,722,3328,210,258277,4.7,75.0
Egypt,14229,0,680,0,3994,0,9555,41,135000,4.8,28.1
Dominican Republic,13477,0,446,0,7142,0,5889,126,59976,3.3,53.0
Philippines,13434,213,846,4,3000,68,9588,81,259172,6.3,22.3
South Korea,11122,12,264,1,10135,69,723,15,788684,2.4,91.1
Denmark,11117,0,554,0,9536,0,1027,25,490782,5.0,85.8
Serbia,10833,0,235,0,5067,0,5531,13,196881,2.2,46.8
Panama,9977,0,287,0,6194,0,3496,72,52641,2.9,62.1
Argentina,9283,0,403,0,2933,0,5947,154,112370,4.3,31.6
Czechia,8721,0,304,0,5830,0,2587,36,372341,3.5,66.9
Afghanistan,8676,531,193,6,938,8,7545,19,26707,2.2,10.8
Norway,8281,0,234,0,32,0,8015,17,223045,2.8,0.4
Bahrain,7888,0,12,0,3568,0,4308,9,255633,0.2,45.2
Algeria,7542,0,568,0,3968,0,3006,22,0,7.5,52.6
