Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
USA,"1,519,442","1,519,442","88,543","88,543","330,890","330,890","1,100,009","48,175 (4%)","1,100,009",6%,0,0
USA,"745,313","745,313","61,287","61,287","168,380","168,380","515,646","30,154 (6%)","515,646",8%,0,0
USA,"435,160","6,119","14,815",122,"22,891",577,"397,454","9,279 (2%)","397,454",3%,"2,226,116","25,886"
USA,"253,577","253,577","9,538","9,538","125,243","125,243","118,796","6,433 (5%)","118,796",4%,0,0
USA,"148,220","6,278","14,792",747,"48,021","4,813","85,407","7,069 (8%)","85,407",10%,"355,000",0
USA,"139,422","3,836","17,669",542,"26,491","2,099","95,262","3,693 (4%)","95,262",13%,"807,125","51,680"
USA,"113,296","5,633","2,349",333,"46,300","10,219","64,647","4,895 (8%)","64,647",2%,"1,317,887","399,427"
USA,"112,950","3,881","10,869",541,"21,254","1,917","80,827","7,148 (9%)","80,827",10%,"224,254",0
USA,"82,848",58,"3,339",2,"77,620",72,"1,889",176 (9%),"1,889",4%,0,0
USA,"64,586","1,997","3,993",121,"29,812","2,773","30,781","3,987 (13%)","30,781",6%,"211,136",0
USA,"61,446","5,522","7,110",940,344,19,"53,992","1,559 (3%)","53,992",12%,"282,074","15,380"
USA,"38,226","4,117",812,87,"1,846",264,"35,568","1,492 (4%)","35,568",2%,"247,768","18,900"
USA,"35,528","35,528","1,399","1,399","3,528","3,528","30,601","1,118 (4%)","30,601",4%,0,0
USA,"23,403","1,209","2,240",205,"4,681",524,"16,482","1,276 (8%)","16,482",10%,"84,248","3,736"
USA,"23,280","1,027",895,74,"9,800","1,096","12,585",391 (3%),"12,585",4%,"171,938","4,509"
USA,"20,666",972,"2,254",147,265,0,"18,147","1,424 (8%)","18,147",11%,"101,534","14,945"
USA,"19,438","1,541",427,46,"4,548",520,"14,463",426 (3%),"14,463",2%,"361,969","15,462"
USA,"16,195",7,822,2,127,0,"15,246",296 (2%),"15,246",5%,"54,824",0
USA,"13,141",699,380,35,196,12,"12,565",245 (2%),"12,565",3%,"128,784","7,528"
USA,"12,969",27,273,0,"4,512",0,"8,184",267 (3%),"8,184",2%,"120,755",0
USA,"11,986","11,986",576,576,"1,467","1,467","9,943",142 (1%),"9,943",5%,0,0
USA,"10,423",39,204,4,"6,973",197,"3,246",55 (2%),"3,246",2%,"477,304",0
USA,"9,404",156,73,8,801,31,"8,530",147 (2%),"8,530",1%,"117,339",0
USA,"8,672","1,175",63,5,580,86,"8,029",8 (0%),"8,029",1%,"910,221","115,221"
USA,"8,419",726,687,96,205,0,"7,527",678 (9%),"7,527",8%,"54,700",0
USA,"7,429","7,429",52,52,"3,131","3,131","4,246",88 (2%),"4,246",1%,0,0
USA,"6,104",52,51,1,"2,813",0,"3,240",84 (3%),"3,240",1%,"329,211","9,427"
USA,"6,074",365,235,25,25,0,"5,814",165 (3%),"5,814",4%,"42,484",0
USA,"6,042",0,101,12,32,0,"5,909",78 (1%),"5,909",2%,"113,896",0
USA,"5,916",605,178,28,506,85,"5,232",0 (0%),"5,232",3%,"167,235","26,942"
USA,"5,586",331,218,15,"1,752",141,"3,616",127 (4%),"3,616",4%,"64,002","5,583"
USA,"5,546",430,48,5,"1,115",217,"4,383",362 (8%),"4,383",1%,"60,391","3,269"
USA,"5,312",295,99,11,233,61,"4,980",103 (2%),"4,980",2%,"98,681","7,434"
USA,"5,205",357,159,30,222,31,"4,824",160 (3%),"4,824",3%,"99,284","7,069"
USA,"4,761",344,220,23,528,68,"4,013",162 (4%),"4,013",5%,"47,207","3,629"
USA,"4,667",410,94,1,632,10,"3,941",99 (3%),"3,941",2%,"61,498","6,187"
USA,"4,450",455,242,22,140,0,"4,068",146 (4%),"4,068",5%,"14,406",0
USA,"4,342","1,388",121,14,"1,333",32,"2,888",113 (4%),"2,888",3%,"39,599","18,044"
USA,"4,322",59,63,2,572,105,"3,687",31 (1%),"3,687",1%,"44,896","2,737"
USA,"4,119",156,65,2,"1,487",166,"2,567",76 (3%),"2,567",2%,"58,240","2,674"
USA,"3,870",106,182,5,96,12,"3,592",1 (0%),"3,592",5%,"24,500","1,542"
USA,"3,181",396,174,33,633,0,"2,374",89 (4%),"2,374",5%,"25,410",0
USA,"3,034",64,46,2,500,0,"2,488",34 (1%),"2,488",2%,"26,573",871
USA,"2,956",218,240,19,222,18,"2,494",0 (0%),"2,494",8%,"14,354",0
USA,"2,932",137,41,0,631,16,"2,260",41 (2%),"2,260",1%,0,0
USA,"2,666",219,65,4,118,0,"2,483",112 (5%),"2,483",2%,"10,761","1,135"
USA,"2,659",300,12,0,239,53,"2,408",1 (0%),"2,408",0%,"593,095","373,095"
USA,"2,528",428,63,8,16,2,"2,449",101 (4%),"2,449",2%,"11,776","1,479"
USA,"2,487",179,40,6,300,0,"2,147",82 (4%),"2,147",2%,"36,500","1,600"
USA,"2,423",54,32,2,940,52,"1,451",61 (4%),"1,451",1%,"71,860",0
USA,"2,210",153,6,0,178,28,"2,026",37 (2%),"2,026",0%,"41,818",0
USA,"2,111",155,108,10,50,14,"1,953",147 (8%),"1,953",5%,"4,542",0
USA,"2,054",274,55,5,123,23,"1,876",76 (4%),"1,876",3%,"33,575","3,130"
USA,"1,892",224,57,5,45,10,"1,790",33 (2%),"1,790",3%,"7,205",0
USA,"1,884",52,83,2,269,0,"1,532",84 (5%),"1,532",4%,"32,528","3,944"
USA,"1,845",96,18,5,95,0,"1,732",7 (0%),"1,732",1%,"63,776","5,678"
USA,"1,795",80,65,5,358,20,"1,372",96 (7%),"1,372",4%,"13,330","1,552"
USA,"1,623",142,6,0,406,29,"1,211",29 (2%),"1,211",0%,"65,000",0
USA,"1,616",30,6,0,633,74,977,13 (1%),977,0%,"30,947","1,956"
USA,"1,572",104,205,12,237,124,"1,130",46 (4%),"1,130",13%,"3,359",0
USA,"1,560",110,103,9,305,29,"1,152",0 (0%),"1,152",7%,"25,000",0
USA,"1,343",61,19,1,179,12,"1,145",36 (3%),"1,145",1%,"13,125",803
USA,"1,275",91,93,3,97,4,"1,085",1 (0%),"1,085",7%,"5,752",315
USA,"1,239",29,1,0,317,35,921,4 (0%),921,0%,"51,165","4,290"
USA,"1,202",80,69,4,452,79,681,0 (0%),681,6%,"28,414","2,083"
USA,"1,185",36,24,3,72,3,"1,089",11 (1%),"1,089",2%,"24,813","1,267"
USA,"1,174",118,27,5,40,0,"1,107",80 (7%),"1,107",2%,"5,108",0
USA,"1,091",32,40,4,120,18,931,35 (4%),931,4%,"30,669","1,214"
USA,"1,066",205,13,0,77,23,976,33 (3%),976,1%,"46,000","3,000"
USA,980,85,66,8,96,2,818,17 (2%),818,7%,"27,826","2,078"
USA,961,25,4,0,264,28,693,14 (2%),693,0%,"96,709",0
USA,955,43,15,0,8,0,932,21 (2%),932,2%,"32,809","2,701"
USA,881,28,9,1,114,27,758,30 (4%),758,1%,"5,452",312
USA,855,112,1,0,111,6,743,21 (3%),743,0%,0,0
USA,823,12,5,0,477,19,341,3 (1%),341,1%,"52,351","4,667"
USA,822,105,8,0,63,19,751,23 (3%),751,1%,"53,300",0
USA,804,40,34,1,79,11,691,4 (1%),691,4%,"6,911",0
USA,759,32,7,0,54,0,698,21 (3%),698,1%,"59,371","2,596"
USA,730,45,10,1,60,0,660,0 (0%),660,1%,0,0
USA,712,0,11,0,619,0,82,10 (12%),82,2%,0,0
USA,682,101,2,0,16,3,664,3 (0%),664,0%,"19,681","2,042"
USA,628,5,24,1,25,0,579,67 (12%),579,4%,"8,878",604
USA,617,18,29,3,35,5,553,15 (3%),553,5%,"6,230",351
USA,611,18,24,0,48,6,539,27 (5%),539,4%,"15,899",0
USA,577,29,2,0,16,0,559,5 (1%),559,0%,"24,036","1,461"
USA,576,28,19,0,62,0,495,29 (6%),495,3%,"10,808",587
USA,564,19,23,1,52,13,489,17 (3%),489,4%,"1,673",0
USA,555,10,3,0,30,0,522,8 (2%),522,1%,0,0
USA,526,32,9,0,52,5,465,13 (3%),465,2%,"14,273","1,256"
USA,502,19,3,1,29,5,470,15 (3%),470,1%,"6,035",510
USA,457,61,12,1,27,0,418,15 (4%),418,3%,"9,410","2,356"
USA,456,32,7,0,192,42,257,14 (5%),257,2%,"6,175",448
USA,444,21,14,0,29,11,401,0 (0%),401,3%,0,0
USA,419,48,2,0,72,5,345,3 (1%),345,0%,0,0
USA,414,30,23,4,134,7,257,0 (0%),257,6%,0,0
USA,400,17,22,0,154,23,224,7 (3%),224,6%,"2,989",236
USA,384,35,3,0,48,7,333,0 (0%),333,1%,0,0
USA,380,1,5,0,80,13,295,0 (0%),295,1%,"42,315","1,613"
