countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,850249,26579,47537,2308,83978,1118,718734,14016,4320329,5.6,9.9
Spain,208389,4211,21717,435,85915,3401,100757,7705,930230,10.4,41.2
Italy,187327,3370,25085,437,54543,2943,107699,2384,1513251,13.4,29.1
France,159877,1827,21340,544,40657,1476,97880,5218,463662,13.3,25.4
Germany,150648,2195,5279,193,99400,4200,45969,2908,2072669,3.5,66.0
United Kingdom,134597,4466,18149,773,663,34,115785,1559,559935,13.5,0.5
Turkey,98674,3083,2376,117,16477,1559,79821,1814,750944,2.4,16.7
Iran,85996,1194,5391,94,63113,2148,17492,3311,377396,6.3,73.4
China,83804,15,4636,0,77816,60,1352,78,0,5.5,92.9
Russia,57999,5236,513,57,4420,547,53066,700,2250000,0.9,7.6
Brazil,45757,2678,2906,165,25318,2327,17533,8318,291922,6.4,55.3
Belgium,41889,933,6262,264,9433,431,26194,1020,171400,14.9,22.5
Canada,41285,1938,2072,163,13986,798,25227,557,569878,5.0,33.9
Netherlands,35013,715,4067,139,90,27,30856,1050,171415,11.6,0.3
Switzerland,28268,205,1509,31,19900,500,6859,386,227554,5.3,70.4
Portugal,21982,603,785,23,1143,226,20054,207,284741,3.6,5.2
India,21370,1290,681,36,4370,395,16319,0,462621,3.2,20.4
Peru,19250,1413,530,46,7027,45,11693,396,170400,2.8,36.5
Ireland,16671,631,769,39,9233,0,6669,147,111584,4.6,55.4
Sweden,16004,682,1937,172,550,0,13517,515,94500,12.1,3.4
Austria,14925,52,510,19,11328,357,3087,176,201794,3.4,75.9
Israel,14498,556,189,5,5215,708,9094,141,240303,1.3,36.0
Saudi Arabia,12772,1141,114,5,1812,172,10846,82,200000,0.9,14.2
Japan,11512,377,281,18,1356,117,9875,232,124550,2.4,11.8
Chile,11296,464,160,13,5386,417,5750,399,128722,1.4,47.7
Ecuador,10850,452,537,17,1262,55,9051,141,33389,4.9,11.6
South Korea,10694,11,238,1,8277,64,2179,55,577959,2.2,77.4
Poland,10169,313,426,25,1513,216,8230,160,238799,4.2,14.9
Singapore,10141,1016,12,1,896,57,9233,27,94796,0.1,8.8
Pakistan,10076,511,212,11,2156,83,7708,58,118020,2.1,21.4
Romania,9710,468,524,26,2406,253,6780,288,106357,5.4,24.8
Mexico,9501,729,857,145,2627,0,6017,378,49570,9.0,27.6
United Arab Emirates,8238,483,52,6,1546,103,6640,1,790000,0.6,18.8
Denmark,8097,217,384,14,5265,387,2448,80,108465,4.7,65.0
Indonesia,7418,283,635,19,913,71,5870,0,55732,8.6,12.3
Norway,7338,147,187,5,32,0,7119,54,148656,2.5,0.4
Belarus,7281,558,58,3,769,192,6454,92,114955,0.8,10.6
Qatar,7141,608,10,1,689,75,6442,37,70012,0.1,9.6
Czechia,7132,99,208,7,1989,236,4935,80,186918,2.9,27.9
Serbia,7114,224,134,4,1025,48,5955,101,48636,1.9,14.4
Philippines,6710,111,446,9,693,39,5571,1,68532,6.6,10.3
Australia,6649,4,74,3,4920,235,1655,47,452441,1.1,74.0
Ukraine,6592,467,174,13,424,57,5994,45,67520,2.6,6.4
Malaysia,5532,50,93,1,3452,103,1987,43,113755,1.7,62.4
Dominican Republic,5300,256,260,15,581,118,4459,135,18261,4.9,11.0
Panama,4821,163,141,5,231,27,4449,94,21902,2.9,4.8
Colombia,4356,207,206,10,870,66,3280,98,71500,4.7,20.0
Finland,4129,115,149,8,2000,0,1980,63,68552,3.6,48.4
Bangladesh,3772,390,120,10,92,5,3560,1,32630,3.2,2.4
Egypt,3659,169,276,12,935,65,2448,0,55000,7.5,25.6
Luxembourg,3654,36,80,2,711,41,2863,32,36087,2.2,19.5
South Africa,3635,170,65,7,1055,0,2515,36,133774,1.8,29.0
Morocco,3446,237,149,4,417,24,2880,1,19885,4.3,12.1
Argentina,3144,0,152,1,872,32,2120,123,39228,4.8,27.7
Algeria,2910,99,402,10,1204,52,1304,40,6500,13.8,41.4
Thailand,2826,15,49,1,2352,244,425,61,142589,1.7,83.2
Moldova,2778,164,75,3,560,55,2143,212,11763,2.7,20.2
Greece,2408,7,121,0,577,0,1710,55,56944,5.0,24.0
Kuwait,2248,168,13,2,443,31,1792,50,0,0.6,19.7
Hungary,2168,70,225,12,295,8,1648,82,52702,10.4,13.6
Kazakhstan,2135,140,19,0,515,26,1601,32,139207,0.9,24.1
Bahrain,2027,54,7,0,1026,242,994,2,97796,0.3,50.6
