Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
USA,"429,041","32,826","14,693","1,903","22,314",640,"392,034","9,234 (2%)","392,034",3%,"2,200,230","135,157"
USA,"148,220","6,278","14,792",747,"48,021","4,813","85,407","7,069 (8%)","85,407",10%,"355,000",0
USA,"139,422","3,836","17,669",542,"26,491","2,099","95,262","3,693 (4%)","95,262",13%,"807,125","51,680"
USA,"113,296","5,633","2,349",333,"46,300","10,219","64,647","4,895 (8%)","64,647",2%,"1,317,887","399,427"
USA,"112,950","3,881","10,869",541,"21,254","1,917","80,827","7,148 (9%)","80,827",10%,"224,254",0
USA,"82,790",91,"3,337",2,"77,548",157,"1,905",189 (10%),"1,905",4%,0,0
USA,"64,586","1,997","3,993",121,"29,812","2,773","30,781","3,987 (13%)","30,781",6%,"211,136",0
USA,"61,446","5,522","7,110",940,344,19,"53,992","1,559 (3%)","53,992",12%,"282,074","15,380"
USA,"38,226","4,117",812,87,"1,846",264,"35,568","1,492 (4%)","35,568",2%,"247,768","18,900"
USA,"23,403","1,209","2,240",205,"4,681",524,"16,482","1,276 (8%)","16,482",10%,"84,248","3,736"
USA,"23,280","1,027",895,74,"9,800","1,096","12,585",391 (3%),"12,585",4%,"171,938","4,509"
USA,"20,666",972,"2,254",147,265,0,"18,147","1,424 (8%)","18,147",11%,"101,534","14,945"
USA,"19,195","1,298",427,46,"4,548",520,"14,220",426 (3%),"14,220",2%,"348,105","1,598"
USA,"16,188","2,154",820,134,127,0,"15,241",296 (2%),"15,241",5%,"54,824",0
USA,"13,141",699,380,35,196,12,"12,565",245 (2%),"12,565",3%,"128,784","7,528"
USA,"12,942",303,273,30,"4,512",466,"8,157",267 (3%),"8,157",2%,"120,755","5,520"
USA,"10,384",53,200,8,"6,776",82,"3,408",55 (2%),"3,408",2%,"477,304",0
USA,"9,404",156,73,8,801,31,"8,530",147 (2%),"8,530",1%,"117,339",0
USA,"8,672","1,175",63,5,580,86,"8,029",8 (0%),"8,029",1%,"910,221","115,221"
USA,"8,419",726,687,96,205,0,"7,527",678 (9%),"7,527",8%,"54,700",0
USA,"6,074",365,235,25,25,0,"5,814",165 (3%),"5,814",4%,"42,484",0
