countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1482863,26715,88470,1579,325565,8511,1068828,16138,11074666,6.0,22.0
Spain,274367,1721,27459,138,188967,2487,57941,1320,2467761,10.0,68.9
Russia,262843,10598,2418,113,58226,4696,202199,2300,6413948,0.9,22.2
United Kingdom,237260,3561,34041,384,456,0,202763,1559,2353078,14.3,0.2
Italy,223885,789,31610,242,120205,4917,72070,808,2875680,14.1,53.7
Brazil,218223,15305,14817,824,84970,5491,118436,8318,735224,6.8,38.9
France,179506,636,27529,104,60448,843,91529,2203,1384633,15.3,33.7
Germany,175699,724,8001,73,151700,1400,15998,1294,3147771,4.6,86.3
Turkey,146457,1708,4055,48,106133,2103,36269,944,1547389,2.8,72.5
Iran,116635,2102,6902,48,91836,1297,17897,2727,658604,5.9,78.7
India,85784,3787,2753,104,30234,2265,52797,0,2039952,3.2,35.2
Peru,84495,3891,2392,125,27147,1996,54956,851,605383,2.8,32.1
China,82933,4,4633,0,78209,14,91,11,0,5.6,94.3
Canada,74977,923,5647,66,36895,804,32435,502,1225049,7.5,49.2
Belgium,54644,356,8959,56,14301,190,31384,380,645314,16.4,26.2
Saudi Arabia,49176,2307,292,9,21869,2818,27015,167,530265,0.6,44.5
Netherlands,43681,200,5643,53,0,0,38038,378,287943,12.9,0.0
Mexico,42595,2409,4477,257,28475,1485,9643,378,155932,10.5,66.9
Chile,39542,2502,394,26,16614,959,22534,584,341347,1.0,42.0
Pakistan,37218,1430,803,33,10155,460,26260,111,344450,2.2,27.3
Ecuador,31467,965,2594,256,3433,0,25440,197,89817,8.2,10.9
Switzerland,30514,51,1878,6,27100,0,1536,69,334274,6.2,88.8
Qatar,29425,1153,14,0,3546,190,25865,72,148173,0.0,12.1
Sweden,29207,625,3646,117,4971,0,20590,351,177500,12.5,17.0
Portugal,28583,264,1190,6,3328,130,24065,112,600061,4.2,11.6
Belarus,27730,958,156,5,8807,639,18767,92,321705,0.6,31.8
Singapore,26891,793,21,0,7248,1275,19622,18,224262,0.1,27.0
Ireland,23956,129,1518,12,19470,0,2968,69,258808,6.3,81.3
United Arab Emirates,21831,747,210,2,7328,398,14293,1,1560923,1.0,33.6
Bangladesh,20065,1202,298,15,3882,521,15885,1,160512,1.5,19.3
Poland,18016,401,907,24,6918,222,10191,160,576276,5.0,38.4
Ukraine,17330,483,476,20,4473,330,12381,225,211614,2.7,25.8
Israel,16589,10,266,1,12587,66,3736,60,485922,1.6,75.9
Indonesia,16496,490,1076,33,3803,285,11617,0,178602,6.5,23.1
Romania,16437,190,1070,17,9370,317,5997,219,294601,6.5,57.0
Japan,16203,83,713,16,10338,470,5152,245,233144,4.4,63.8
Austria,16109,51,628,2,14471,66,1010,47,351351,3.9,89.8
Colombia,14216,606,546,21,3460,102,10210,137,177050,3.8,24.3
South Africa,13524,785,247,9,6083,407,7194,119,421555,1.8,45.0
Kuwait,12860,885,96,8,3640,189,9124,190,236004,0.7,28.3
Philippines,12091,215,806,16,2460,123,8825,77,191963,6.7,20.3
Dominican Republic,11739,419,424,2,3557,206,7758,127,50108,3.6,30.3
Egypt,11228,399,592,21,2799,173,7837,41,135000,5.3,24.9
South Korea,11018,27,260,0,9821,59,937,55,726747,2.4,89.1
Denmark,10791,78,537,0,8959,154,1295,32,368889,5.0,83.0
Serbia,10438,64,225,1,4301,217,5912,20,168670,2.2,41.2
Panama,9118,174,260,4,6080,13,2778,72,46898,2.9,66.7
Czechia,8406,55,295,2,5381,140,2730,37,342131,3.5,64.0
Norway,8219,23,232,0,32,0,7955,20,216350,2.8,0.4
Argentina,7134,0,353,0,2497,112,4284,170,96893,4.9,35.0
Australia,7019,30,98,0,6337,36,584,17,983816,1.4,90.3
Malaysia,6855,36,112,0,5439,88,1304,14,424306,1.6,79.3
Morocco,6652,45,190,0,3400,90,3062,1,81616,2.9,51.1
Algeria,6629,187,536,7,3271,113,2822,22,6500,8.1,49.3
Bahrain,6583,385,11,1,2640,287,3932,4,222542,0.2,40.1
Finland,6228,83,293,6,5000,700,935,32,140600,4.7,80.3
Afghanistan,6053,414,153,17,745,54,5155,7,20854,2.5,12.3
Moldova,5745,192,202,8,2228,0,3315,251,20447,3.5,38.8
Kazakhstan,5689,118,34,2,2707,176,2948,31,483236,0.6,47.6
Ghana,5530,0,24,0,674,0,4832,5,167704,0.4,12.2
Nigeria,5450,288,171,4,1320,140,3959,7,30657,3.1,24.2
Oman,4625,284,20,2,1350,47,3255,31,61000,0.4,29.2
Armenia,4044,184,52,3,1666,94,2326,10,37476,1.3,41.2
Luxembourg,3923,8,104,1,3682,17,137,11,59987,2.7,93.9
Hungary,3417,37,442,6,1287,118,1688,46,127237,12.9,37.7
Bolivia,3372,224,152,10,356,17,2864,3,7651,4.5,10.6
Iraq,3193,50,117,2,2089,61,987,0,140573,3.7,65.4
Thailand,3025,7,56,0,2854,4,115,61,286008,1.9,94.3
Azerbaijan,2980,101,36,1,1886,53,1058,37,220363,1.2,63.3
Cameroon,2954,0,139,0,1553,0,1262,28,0,4.7,52.6
Greece,2810,40,160,4,1374,0,1276,23,120015,5.7,48.9
Uzbekistan,2686,41,11,0,2158,22,517,8,460000,0.4,80.3
Guinea,2473,0,15,0,895,0,1563,18,10304,0.6,36.2
Honduras,2318,63,133,10,253,16,1932,10,5653,5.7,10.9
Senegal,2310,121,25,2,890,48,1395,6,24599,1.1,38.5
Bosnia and Herzegovina,2236,18,128,6,1336,64,772,4,47149,5.7,59.7
Croatia,2222,1,95,1,1869,19,258,8,51568,4.3,84.1
Bulgaria,2138,38,102,3,545,14,1491,51,63319,4.8,25.5
Ivory Coast,2017,46,24,0,942,12,1051,0,15260,1.2,46.7
Sudan,1964,146,91,1,205,7,1668,0,0,4.6,10.4
Cuba,1840,10,79,0,1425,42,336,9,77374,4.3,77.4
Iceland,1802,0,10,0,1782,2,10,0,56219,0.6,98.9
Estonia,1766,8,63,1,923,14,780,5,68097,3.6,52.3
North Macedonia,1740,17,97,2,1251,16,392,21,20548,5.6,71.9
Lithuania,1523,12,54,0,965,31,504,17,216247,3.5,63.4
Guatemala,1518,176,29,0,129,8,1360,5,7200,1.9,8.5
New Zealand,1498,1,21,0,1421,10,56,2,216787,1.4,94.9
Slovakia,1480,3,27,0,1131,19,322,3,135902,1.8,76.4
Slovenia,1465,1,103,0,270,3,1092,7,67701,7.0,18.4
Djibouti,1309,25,4,1,935,30,370,0,16878,0.3,71.4
Congo (Kinshasa),1298,56,50,0,212,55,1036,0,0,3.9,16.3
Somalia,1284,0,53,0,135,0,1096,2,0,4.1,10.5
El Salvador,1210,98,23,0,416,11,771,19,51142,1.9,34.4
Mayotte,1210,0,16,0,627,0,567,10,5000,1.3,51.8
Gabon,1209,105,10,0,219,37,980,11,6617,0.8,18.1
Tajikistan,1118,211,33,4,0,0,1085,0,0,3.0,0.0
Kyrgyzstan,1111,29,14,2,745,10,352,13,59490,1.3,67.1
Hong Kong,1053,1,4,0,1019,10,30,1,168291,0.4,96.8
Tunisia,1032,0,45,0,770,0,217,3,36523,4.4,74.6
Maldives,1020,38,4,0,49,4,967,2,11775,0.4,4.8
Latvia,970,8,19,0,662,35,289,3,85431,2.0,68.2
Kosovo,944,0,29,0,690,0,225,0,0,3.1,73.1
Sri Lanka,935,10,9,0,477,32,449,1,39629,1.0,51.0
Albania,916,18,31,0,705,11,180,1,11458,3.4,77.0
Guinea-Bissau,913,0,3,0,26,0,884,0,1500,0.3,2.8
Cyprus,910,3,17,0,481,0,412,10,81942,1.9,52.9
Lebanon,891,5,26,0,246,10,619,4,57715,2.9,27.6
Niger,885,9,51,1,684,7,150,0,5749,5.8,77.3
Costa Rica,843,13,9,1,542,7,292,5,18655,1.1,64.3
Mali,806,27,46,0,455,19,305,0,2498,5.7,56.5
Kenya,781,23,45,3,284,0,452,1,36918,5.8,36.4
Burkina Faso,780,7,51,0,595,3,134,0,0,6.5,76.3
Andorra,761,0,49,0,604,8,108,3,1673,6.4,79.4
Paraguay,759,5,11,0,193,9,555,0,18856,1.4,25.4
Uruguay,732,8,19,0,553,6,160,7,32225,2.6,75.5
Cruise Ship,712,0,13,0,651,0,48,4,0,1.8,91.4
Georgia,671,4,12,0,393,10,266,6,36248,1.8,58.6
Zambia,654,0,7,0,124,0,523,1,15487,1.1,19.0
San Marino,652,4,41,0,189,17,422,1,3394,6.3,29.0
Jordan,596,10,9,0,401,8,186,5,136229,1.5,67.3
Equatorial Guinea,594,11,7,0,22,9,565,0,854,1.2,3.7
Channel Islands,549,1,43,0,457,1,49,0,5342,7.8,83.2
Malta,532,10,6,0,458,15,68,1,47504,1.1,86.1
Jamaica,509,0,9,0,118,0,382,0,7780,1.8,23.2
Tanzania,509,0,21,0,183,0,305,7,0,4.1,36.0
Venezuela,455,15,10,0,220,0,225,2,535742,2.2,48.4
Sierra Leone,447,39,27,1,97,0,323,0,0,6.0,21.7
Réunion,441,1,0,0,354,0,87,4,17200,0.0,80.3
Taiwan,440,0,7,0,387,4,46,0,68659,1.6,88.0
Chad,428,29,48,2,88,5,292,0,0,11.2,20.6
Congo (Brazzaville),391,0,15,0,87,0,289,0,0,3.8,22.3
Palestine,375,0,2,0,315,5,58,0,43566,0.5,84.0
Benin,339,0,2,0,83,0,254,0,25471,0.6,24.5
Isle of Man,334,2,24,1,285,0,25,10,4032,7.2,85.3
Mauritius,332,0,10,0,322,0,0,0,69773,3.0,97.0
Cabo Verde,326,11,2,0,67,0,257,0,791,0.6,20.6
Montenegro,324,0,9,0,311,2,4,2,10167,2.8,96.0
Vietnam,313,1,0,0,260,0,53,2,275000,0.0,83.1
CAR,301,158,0,0,13,3,288,0,3498,0.0,4.3
Rwanda,287,0,0,0,177,9,110,0,46198,0.0,61.7
Ethiopia,287,15,5,0,112,4,170,0,48985,1.7,39.0
Haiti,273,39,20,2,18,1,235,0,1502,7.3,6.6
