countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1035240,27197,59225,2576,141907,4168,834108,15635,5854824,5.7,13.7
Spain,232128,2706,23822,301,123903,3071,84403,7764,1345560,10.3,53.4
Italy,201505,2091,27359,382,68941,2317,105205,1863,1846934,13.6,34.2
France,165911,69,23660,367,46886,1373,95365,4387,463662,14.3,28.3
United Kingdom,162235,4002,21741,588,779,4,139715,1559,763387,13.4,0.5
Germany,159735,1301,6280,219,117400,2900,36055,2409,2072669,3.9,73.5
Turkey,114653,2392,2992,92,38809,5018,72852,1621,948115,2.6,33.8
Russia,93558,6411,867,73,8456,1110,84235,2300,3139258,0.9,9.0
Iran,92584,1112,5877,71,72439,1506,14268,2983,442590,6.3,78.2
China,83799,-49,4637,0,78277,22,885,50,0,5.5,93.4
Brazil,72899,6398,5063,520,32544,1402,35292,8318,339552,6.9,44.6
Canada,51035,1534,2980,145,19190,975,28865,557,740859,5.8,37.6
Belgium,47334,647,7331,124,10943,65,29060,876,220204,15.5,23.1
Netherlands,38516,171,4568,48,73,0,33875,861,209726,11.9,0.2
India,31360,1909,1008,69,7747,610,22605,0,716733,3.2,24.7
Peru,31190,2491,854,72,9179,754,21157,600,267612,2.7,29.4
Switzerland,29264,100,1699,34,22600,400,4965,185,256500,5.8,77.2
Portugal,24322,295,948,20,1389,32,21985,172,379551,3.9,5.7
Ecuador,24258,1018,871,208,1557,0,21830,146,61529,3.6,6.4
Saudi Arabia,20077,1266,152,8,2784,253,17141,118,200000,0.8,13.9
Ireland,19877,229,1159,57,9233,0,9485,146,153954,5.8,46.5
Sweden,19621,695,2355,81,1005,0,16261,524,119500,12.0,5.1
Israel,15728,173,210,6,7746,546,7772,116,313135,1.3,49.2
Mexico,15529,852,1434,83,9086,732,5009,378,71103,9.2,58.5
Austria,15357,83,569,20,12580,218,2208,136,239578,3.7,81.9
Singapore,14951,528,14,0,1128,33,13809,20,121774,0.1,7.5
Pakistan,14612,697,312,20,3233,204,11067,111,157223,2.1,22.1
Chile,14365,552,207,9,7710,383,6448,426,166165,1.4,53.7
Japan,13614,173,385,13,1899,90,11330,300,150692,2.8,13.9
Poland,12218,316,596,34,2655,189,8967,160,310744,4.9,21.7
Belarus,12208,919,79,4,1993,253,10136,92,161028,0.6,16.3
Qatar,11921,677,10,0,1134,68,10777,72,88607,0.1,9.5
Romania,11616,277,663,22,3404,263,7549,243,150309,5.7,29.3
United Arab Emirates,11380,541,89,7,2181,91,9110,1,1057326,0.8,19.2
South Korea,10752,14,244,1,8854,90,1654,55,608514,2.3,82.3
Indonesia,9511,415,773,8,1254,103,7484,0,79618,8.1,13.2
Ukraine,9410,401,239,19,992,128,8179,121,98719,2.5,10.5
Denmark,9038,153,434,7,6302,165,2302,66,166846,4.8,69.7
Serbia,8497,222,168,6,1260,51,7069,79,73363,2.0,14.8
Philippines,7958,181,530,19,975,43,6453,31,89889,6.7,12.3
Norway,7619,65,206,1,32,0,7381,44,165951,2.7,0.4
Czechia,7504,59,227,4,2948,122,4329,73,226255,3.0,39.3
Australia,6731,11,88,5,5626,40,1017,42,530679,1.3,83.6
Bangladesh,6462,549,155,3,139,8,6168,1,54733,2.4,2.2
Dominican Republic,6416,123,286,4,1165,172,4965,144,23979,4.5,18.2
Panama,6021,242,167,2,455,86,5399,89,27834,2.8,7.6
Colombia,5949,570,269,25,1268,135,4412,118,90899,4.5,21.3
Malaysia,5851,31,100,1,4032,75,1719,36,152142,1.7,68.9
Egypt,5042,260,359,22,1304,68,3379,0,90000,7.1,25.9
South Africa,4996,203,93,3,2073,600,2830,36,185000,1.9,41.5
Finland,4740,45,199,6,2800,300,1741,56,85800,4.2,59.1
Morocco,4252,132,165,3,778,83,3309,1,32250,3.9,18.3
Argentina,4003,111,197,5,1140,0,2666,144,51900,4.9,28.5
Luxembourg,3741,12,89,1,3123,0,529,19,39741,2.4,83.5
Algeria,3649,132,437,5,1651,93,1561,22,6500,12.0,45.2
Moldova,3638,157,103,1,975,50,2560,212,11763,2.8,26.8
Kuwait,3440,152,23,1,1176,164,2241,67,179000,0.7,34.2
Kazakhstan,3027,192,25,0,774,54,2228,41,216276,0.8,25.6
Thailand,2938,7,54,2,2652,43,232,61,178083,1.8,90.3
Bahrain,2811,88,8,0,1310,92,1493,2,121706,0.3,46.6
Hungary,2649,66,291,11,516,18,1842,49,67172,11.0,19.5
Greece,2566,32,138,2,577,0,1851,40,69833,5.4,22.5
Oman,2131,82,10,0,364,0,1757,3,0,0.5,17.1
Croatia,2047,8,63,4,1232,66,752,21,33577,3.1,60.2
Uzbekistan,1939,35,8,0,992,100,939,8,242536,0.4,51.2
Iraq,1928,81,90,2,1319,33,519,0,73782,4.7,68.4
Armenia,1867,59,30,1,866,18,971,10,19296,1.6,46.4
Afghanistan,1828,125,58,1,228,8,1542,7,9000,3.2,12.5
Iceland,1795,3,10,0,1636,12,149,1,46377,0.6,91.1
Azerbaijan,1717,39,22,0,1221,59,474,15,132640,1.3,71.1
Cameroon,1705,84,58,2,915,129,732,12,0,3.4,53.7
Ghana,1671,121,16,5,188,33,1467,4,100622,1.0,11.3
Estonia,1660,13,50,0,240,7,1370,9,49527,3.0,14.5
Bosnia and Herzegovina,1585,20,63,3,682,23,840,4,27603,4.0,43.0
New Zealand,1472,3,19,0,1214,34,239,1,126066,1.3,82.5
Cuba,1437,48,58,2,575,50,804,12,43508,4.0,40.0
North Macedonia,1421,22,71,6,589,36,761,13,15771,5.0,41.4
Slovenia,1408,6,86,3,223,2,1099,24,50290,6.1,15.8
Bulgaria,1399,36,58,0,222,16,1119,39,27000,4.1,15.9
Slovakia,1384,3,20,2,423,20,941,6,75866,1.4,30.6
Lithuania,1344,-105,44,3,536,62,764,17,111809,3.3,39.9
Nigeria,1337,64,40,0,255,16,1042,2,10918,3.0,19.1
Guinea,1240,77,7,0,269,23,964,0,0,0.6,21.7
Ivory Coast,1164,0,14,0,499,0,651,0,0,1.2,42.9
Djibouti,1072,37,2,0,498,21,572,0,12571,0.2,46.5
Hong Kong,1038,0,4,0,811,24,223,4,145640,0.4,78.1
Bolivia,1014,64,53,3,98,18,863,3,5791,5.2,9.7
Tunisia,975,8,40,1,279,0,656,18,21477,4.1,28.6
Cyprus,837,15,15,0,148,0,674,15,53219,1.8,17.7
Latvia,836,18,13,0,267,0,556,4,51561,1.6,31.9
Senegal,823,87,9,0,296,12,518,1,466,1.1,36.0
Albania,750,14,30,2,431,9,289,4,7758,4.0,57.5
Andorra,743,5,41,1,398,54,304,17,1673,5.5,53.6
Lebanon,717,7,24,0,145,0,548,44,30879,3.3,20.2
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Kyrgyzstan,708,13,8,0,416,21,284,13,45627,1.1,58.8
Costa Rica,705,8,6,0,306,19,393,8,12729,0.9,43.4
Honduras,702,41,64,3,79,0,559,10,3643,9.1,11.3
Niger,701,0,29,0,385,0,287,0,5116,4.1,54.9
Burkina Faso,638,6,42,0,476,23,120,0,0,6.6,74.6
Uruguay,620,14,15,0,386,11,219,11,17505,2.4,62.3
Sri Lanka,619,31,7,0,134,8,478,2,17715,1.1,21.6
San Marino,553,15,41,0,64,0,448,5,2170,7.4,11.6
Guatemala,530,30,15,0,49,0,466,5,7200,2.8,9.2
Channel Islands,530,5,36,1,352,0,142,0,5342,6.8,66.4
Somalia,528,48,28,2,19,9,481,2,0,5.3,3.6
Georgia,511,14,6,0,168,12,337,6,11504,1.2,32.9
Kosovo,510,0,12,0,93,0,405,0,0,2.4,18.2
Congo (Kinshasa),471,12,30,2,56,6,385,0,0,6.4,11.9
Mayotte,460,59,4,0,235,91,221,4,2700,0.9,51.1
Malta,458,8,4,0,303,17,151,1,30528,0.9,66.2
Jordan,449,0,8,1,348,6,93,5,63737,1.8,77.5
Taiwan,429,0,6,0,307,17,116,0,61684,1.4,71.6
Mali,424,16,24,1,122,9,278,0,2172,5.7,28.8
Réunion,418,1,0,0,300,0,118,2,0,0.0,71.8
Kenya,374,11,14,0,124,10,236,2,17992,3.7,33.2
Jamaica,364,14,7,0,29,1,328,3,3621,1.9,8.0
El Salvador,345,22,8,0,97,8,240,4,21364,2.3,28.1
West Bank and Gaza,342,0,2,0,83,0,257,0,0,0.6,24.3
Palestine,342,0,2,0,83,0,257,0,27000,0.6,24.3
Mauritius,334,0,10,0,303,1,21,3,14445,3.0,90.7
Venezuela,329,4,10,0,142,5,177,3,440966,3.0,43.2
Montenegro,321,0,7,0,199,10,115,7,6864,2.2,62.0
Sudan,318,43,25,3,31,10,262,0,0,7.9,9.7
Equatorial Guinea,315,57,1,0,9,0,305,0,854,0.3,2.9
Isle of Man,309,1,21,1,252,4,36,22,2986,6.8,81.6
Tanzania,299,0,10,0,48,0,241,7,0,3.3,16.1
Vietnam,270,0,0,0,225,0,45,8,212965,0.0,83.3
Maldives,250,24,0,0,17,0,233,2,5296,0.0,6.8
Gabon,238,27,3,0,53,10,182,1,724,1.3,22.3
Paraguay,230,2,9,0,95,2,126,1,8444,3.9,41.3
Rwanda,212,5,0,0,95,2,117,0,8464,0.0,44.8
Congo (Brazzaville),207,7,8,2,19,0,180,0,0,3.9,9.2
Faroe Islands,187,0,0,0,181,3,6,0,6730,0.0,96.8
Martinique,175,0,14,0,83,6,78,5,0,8.0,47.4
Guadeloupe,149,0,12,0,82,0,55,11,0,8.1,55.0
Myanmar,149,3,5,0,16,0,128,0,7215,3.4,10.7
Burma,149,3,5,0,16,0,128,0,0,3.4,10.7
Liberia,141,17,16,4,45,20,80,0,0,11.3,31.9
Gibraltar,141,0,0,0,131,0,10,0,2198,0.0,92.9
Brunei,138,0,1,0,124,0,13,2,13263,0.7,89.9
Madagascar,128,0,0,0,82,7,46,1,2357,0.0,64.1
Ethiopia,126,2,3,0,50,0,73,0,15668,2.4,39.7
French Guiana,125,14,1,0,93,6,31,0,0,0.8,74.4
Cambodia,122,0,0,0,119,0,3,1,11721,0.0,97.5
Trinidad and Tobago,116,0,8,0,59,0,49,0,1596,6.9,50.9
Cabo Verde,114,5,1,0,2,1,111,0,791,0.9,1.8
Bermuda,110,0,6,0,44,0,60,10,1682,5.5,40.0
Sierra Leone,104,11,4,0,12,2,88,0,0,3.8,11.5
Aruba,100,0,2,0,73,0,25,4,1649,2.0,73.0
Togo,99,1,6,0,63,1,30,0,6234,6.1,63.6
Zambia,95,7,3,0,42,0,50,1,5284,3.2,44.2
Monaco,95,0,4,0,50,8,41,1,0,4.2,52.6
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Bahamas,80,0,11,0,23,1,46,1,0,13.8,28.7
Barbados,80,1,6,0,39,0,35,4,1751,7.5,48.8
Uganda,79,0,0,0,52,5,27,0,27432,0.0,65.8
Haiti,76,2,6,0,8,1,62,0,776,7.9,10.5
Mozambique,76,0,0,0,12,0,64,0,1688,0.0,15.8
Sint Maarten,75,1,13,0,33,0,29,7,302,17.3,44.0
Guyana,74,0,8,0,15,0,51,5,464,10.8,20.3
Guinea-Bissau,73,0,1,0,18,0,54,0,1500,1.4,24.7
Eswatini,71,6,1,0,10,0,60,0,714,1.4,14.1
Cayman Islands,70,0,1,0,10,2,59,3,1148,1.4,14.3
Benin,64,0,1,0,33,0,30,0,0,1.6,51.6
Libya,61,0,2,0,18,0,41,0,1623,3.3,29.5
Nepal,54,2,0,0,16,0,38,0,54826,0.0,29.6
Chad,52,6,2,2,19,4,31,0,0,3.8,36.5
CAR,50,31,0,0,10,0,40,0,0,0.0,20.0
Macau,45,0,0,0,32,0,13,1,0,0.0,71.1
Syria,43,0,3,0,21,2,19,0,0,7.0,48.8
Eritrea,39,0,0,0,19,6,20,0,0,0.0,48.7
Mongolia,38,0,0,0,10,0,28,0,7292,0.0,26.3
Saint Martin,38,0,3,0,24,0,11,3,0,7.9,63.2
Malawi,36,0,3,0,5,1,28,1,690,8.3,13.9
South Sudan,34,28,0,0,0,0,34,0,0,0.0,0.0
Zimbabwe,32,1,4,0,5,0,23,0,6834,12.5,15.6
Angola,27,0,2,0,6,0,19,0,0,7.4,22.2
Timor-Leste,24,0,0,0,6,4,18,0,322,0.0,25.0
Antigua and Barbuda,24,0,3,0,11,0,10,1,113,12.5,45.8
