countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1212955,1117,69925,216,188068,1032,954962,16050,7462597,5.8,15.5
Spain,248301,0,25428,0,151633,0,71240,2254,1932455,10.2,61.1
Italy,211938,0,29079,0,82879,0,99980,1479,2191403,13.7,39.1
United Kingdom,191712,0,28805,0,864,0,162043,1559,1291591,15.0,0.5
France,169462,0,25201,0,51371,0,92890,3696,1100228,14.9,30.3
Germany,166152,0,6993,0,135100,2400,24059,1949,2547052,4.2,81.3
Russia,155370,10102,1451,95,19865,1770,134054,2300,4460357,0.9,12.8
Turkey,127659,0,3461,0,68166,0,56032,1384,1171138,2.7,53.4
Brazil,108620,776,7367,39,45815,0,55438,8318,339552,6.8,42.2
Iran,98647,0,6277,0,79379,0,12991,2676,508288,6.4,80.5
China,83751,1,4634,0,78586,83,531,29,0,5.5,93.8
Canada,61900,3,4002,0,26017,595,31881,557,919368,6.5,42.0
Belgium,50509,242,8016,92,12441,63,30052,646,456194,15.9,24.6
Peru,47372,0,1344,0,14427,0,31601,694,385492,2.8,30.5
India,46476,39,1571,5,12849,2,32056,0,1191946,3.4,27.6
Netherlands,40870,0,5084,0,81,0,35705,683,235909,12.4,0.2
Ecuador,31881,0,1569,0,3433,0,26879,159,80171,4.9,10.8
Switzerland,30009,28,1784,0,25200,0,3025,141,282750,5.9,84.0
Saudi Arabia,28656,0,191,0,4476,0,23989,143,365093,0.7,15.6
Portugal,25524,0,1063,0,1712,0,22749,143,450000,4.2,6.7
Mexico,24905,1434,2271,117,15938,2491,6696,378,100041,9.1,64.0
Sweden,22721,0,2769,0,4074,0,15878,455,119500,12.2,17.9
Ireland,21772,0,1319,0,13386,0,7067,93,169377,6.1,61.5
Pakistan,21501,560,486,10,5782,147,15233,111,222404,2.3,26.9
Chile,20643,0,270,0,10415,0,9958,464,214131,1.3,50.5
Singapore,19410,632,18,0,1457,0,17935,22,143919,0.1,7.5
Belarus,17489,0,103,0,3259,0,14127,92,211369,0.6,18.6
Israel,16268,22,237,2,10223,159,5808,89,414349,1.5,62.8
Qatar,16191,0,12,0,1810,0,14369,72,106795,0.1,11.2
Austria,15650,29,606,6,13462,146,1582,104,285883,3.9,86.0
Japan,15078,201,536,49,4156,175,10386,328,184586,3.6,27.6
United Arab Emirates,14730,0,137,0,2966,0,11627,1,1200000,0.9,20.1
Poland,14242,236,700,2,4280,185,9262,160,383804,4.9,30.1
Romania,13512,0,827,9,5269,0,7416,243,199068,6.1,39.0
Ukraine,12697,366,316,13,1875,256,10506,167,139759,2.5,14.8
Indonesia,12071,484,872,8,2197,243,9002,0,121547,7.2,18.2
Bangladesh,10929,786,183,1,1403,194,9343,1,93405,1.7,12.8
South Korea,10804,3,254,2,9283,66,1267,55,640237,2.4,85.9
Denmark,10008,151,493,0,7273,0,2242,57,257738,4.9,72.7
Philippines,9684,199,637,14,1408,93,7639,31,130889,6.6,14.5
Serbia,9557,0,197,0,1574,0,7786,53,106461,2.1,16.5
Dominican Republic,8235,0,346,0,1771,0,6118,144,33377,4.2,21.5
Colombia,7973,0,358,0,1807,0,5808,120,123029,4.5,22.7
Norway,7904,20,214,0,32,0,7658,27,182285,2.7,0.4
Czechia,7841,22,252,0,3816,9,3773,59,269093,3.2,48.7
Panama,7387,190,203,3,726,85,6458,93,35556,2.7,9.8
South Africa,7220,0,138,0,2746,0,4336,36,257541,1.9,38.0
Australia,6847,22,97,1,5886,27,864,28,662392,1.4,86.0
Egypt,6813,0,436,0,1632,0,4745,0,90000,6.4,24.0
Malaysia,6383,30,106,1,4567,83,1710,24,213220,1.7,71.5
Finland,5412,85,240,0,3500,0,1672,49,103500,4.4,64.7
Kuwait,5278,0,40,0,1947,0,3291,79,196397,0.8,36.9
Morocco,5053,0,179,0,1653,0,3221,1,45302,3.5,32.7
Argentina,4887,0,260,0,1442,0,3185,157,67920,5.3,29.5
Algeria,4648,0,465,0,1998,0,2185,22,6500,10.0,43.0
Moldova,4248,0,133,1,1544,121,2571,237,20447,3.1,36.3
Kazakhstan,4160,111,29,0,1207,34,2924,40,320411,0.7,29.0
Luxembourg,3828,0,96,0,3405,0,327,21,48339,2.5,88.9
Bahrain,3533,0,8,0,1744,0,1781,1,149586,0.2,49.4
Afghanistan,3224,330,95,5,421,24,2708,7,13076,2.9,13.1
Hungary,3065,30,363,12,709,79,1993,55,85557,11.8,23.1
Thailand,2988,1,54,0,2747,7,187,61,227860,1.8,91.9
Nigeria,2802,244,93,6,417,17,2292,4,18536,3.3,14.9
Oman,2735,98,12,0,858,42,1865,17,40459,0.4,31.4
Ghana,2719,0,18,0,294,0,2407,4,129461,0.7,10.8
Greece,2632,0,146,0,1374,0,1112,35,80951,5.5,52.2
Armenia,2619,112,40,1,1111,40,1468,10,25846,1.5,42.4
Iraq,2346,0,98,0,1544,0,704,0,107586,4.2,65.8
Uzbekistan,2189,0,10,0,1454,49,725,8,325000,0.5,66.4
Cameroon,2104,27,64,0,953,0,1087,12,0,3.0,45.3
Croatia,2101,0,80,0,1522,0,499,15,39040,3.8,72.4
Azerbaijan,1984,0,26,0,1480,0,478,18,157932,1.3,74.6
Bosnia and Herzegovina,1926,0,78,0,855,0,993,4,34378,4.0,44.4
Iceland,1799,0,10,0,1723,0,66,0,50477,0.6,95.8
Estonia,1711,8,55,0,261,2,1395,6,57423,3.2,15.3
Guinea,1710,0,9,0,450,0,1251,0,0,0.5,26.3
Bulgaria,1689,37,78,0,342,21,1269,37,50303,4.6,20.2
Bolivia,1681,87,82,6,174,8,1425,3,7651,4.9,10.4
Cuba,1668,0,69,0,876,0,723,9,55542,4.1,52.5
North Macedonia,1518,0,85,0,992,0,441,21,17359,5.6,65.3
New Zealand,1486,-1,20,0,1302,26,164,0,155928,1.3,87.6
Slovenia,1439,0,97,0,241,0,1101,20,57504,6.7,16.7
Ivory Coast,1432,0,17,0,693,0,722,0,10778,1.2,48.4
Lithuania,1423,4,46,0,678,40,699,17,149106,3.2,47.6
Slovakia,1421,8,25,0,741,98,655,6,99864,1.8,52.1
Senegal,1271,0,10,0,415,0,846,6,17787,0.8,32.7
Honduras,1178,123,83,1,122,4,973,10,5243,7.0,10.4
Djibouti,1116,0,2,0,713,0,401,0,14222,0.2,63.9
Hong Kong,1041,0,4,0,920,20,117,1,154989,0.4,88.4
Tunisia,1018,0,43,0,406,0,569,18,24853,4.2,39.9
Latvia,896,0,17,1,348,0,531,4,66150,1.9,38.8
Cyprus,874,0,15,0,296,0,563,15,65725,1.7,33.9
Kosovo,855,0,26,0,403,0,426,0,0,3.0,47.1
Kyrgyzstan,843,13,11,1,600,25,232,13,56488,1.3,71.2
Albania,803,0,31,0,543,0,229,7,9006,3.9,67.6
Somalia,756,0,35,0,61,0,660,2,0,4.6,8.1
Niger,755,0,37,0,534,0,184,0,5309,4.9,70.7
Sri Lanka,755,4,9,1,197,3,549,1,26842,1.2,26.1
Andorra,750,0,45,0,499,0,206,16,1673,6.0,66.5
Costa Rica,742,0,6,0,399,0,337,5,13988,0.8,53.8
Lebanon,740,0,25,0,200,0,515,43,41014,3.4,27.0
Guatemala,730,27,19,2,79,7,632,5,7200,2.6,10.8
Cruise Ship,712,0,13,0,645,0,54,4,0,1.8,90.6
Mayotte,686,0,6,0,352,0,328,6,3400,0.9,51.3
Congo (Kinshasa),682,0,34,0,80,0,568,0,0,5.0,11.7
Sudan,678,0,41,0,61,0,576,0,0,6.0,9.0
Burkina Faso,672,0,46,0,545,0,81,0,0,6.8,81.1
Uruguay,657,0,17,0,447,0,193,10,22805,2.6,68.0
Georgia,604,11,9,0,240,17,355,6,15904,1.5,39.7
El Salvador,587,32,13,0,201,21,373,3,30387,2.2,34.2
San Marino,582,0,41,0,86,0,455,5,2457,7.0,14.8
Mali,580,0,29,0,223,0,328,0,2172,5.0,38.4
Maldives,557,16,1,0,17,-1,539,2,8327,0.2,3.1
Channel Islands,544,0,41,0,406,0,97,0,5342,7.5,74.6
Kenya,490,0,24,0,173,0,293,2,24784,4.9,35.3
Malta,480,0,4,0,399,0,77,1,36204,0.8,83.1
Tanzania,480,0,16,0,167,0,297,7,0,3.3,34.8
Jamaica,471,2,9,0,49,11,413,2,5633,1.9,10.4
Jordan,465,0,9,0,370,0,86,5,87618,1.9,79.6
Taiwan,438,0,6,0,334,0,98,0,64958,1.4,76.3
Réunion,424,0,0,0,300,0,124,2,0,0.0,70.8
Paraguay,415,19,10,0,130,4,275,7,10766,2.4,31.3
Guinea-Bissau,413,0,1,0,19,0,393,0,1500,0.2,4.6
Gabon,367,0,6,0,93,0,268,1,724,1.6,25.3
West Bank and Gaza,362,0,2,0,102,0,258,0,0,0.6,28.2
Palestine,362,0,2,0,102,0,258,0,32200,0.6,28.2
Venezuela,361,4,10,0,158,0,193,1,482953,2.8,43.8
Mauritius,332,0,10,0,316,0,6,3,18959,3.0,95.2
Isle of Man,325,0,23,0,271,0,31,21,3401,7.1,83.4
Montenegro,324,1,8,0,253,0,63,2,7816,2.5,78.1
Equatorial Guinea,315,0,3,0,13,0,299,0,854,1.0,4.1
Vietnam,271,0,0,0,232,13,39,8,261004,0.0,85.6
Rwanda,261,0,0,0,128,0,133,0,35096,0.0,49.0
Congo (Brazzaville),236,0,10,0,26,0,200,0,0,4.2,11.0
Tajikistan,230,0,3,0,0,0,227,0,0,1.3,0.0
Faroe Islands,187,0,0,0,185,0,2,0,8066,0.0,98.9
Martinique,181,0,14,0,83,0,84,5,0,7.7,45.9
Sierra Leone,178,0,9,0,37,0,132,0,0,5.1,20.8
Cabo Verde,175,0,2,0,37,0,136,0,791,1.1,21.1
Liberia,166,0,18,0,58,0,90,0,0,10.8,34.9
Myanmar,161,0,6,0,49,0,106,0,9025,3.7,30.4
Burma,161,0,6,0,49,0,106,0,0,3.7,30.4
Guadeloupe,152,0,12,0,98,0,42,5,0,7.9,64.5
Madagascar,149,0,0,0,99,0,50,1,3772,0.0,66.4
Ethiopia,145,5,4,1,91,16,50,0,25135,2.8,62.8
Gibraltar,144,0,0,0,133,0,11,0,2931,0.0,92.4
Brunei,138,0,1,0,131,1,6,2,14610,0.7,94.9
Zambia,137,0,3,0,78,0,56,1,7277,2.2,56.9
French Guiana,133,0,1,0,100,0,32,2,0,0.8,75.2
Togo,126,0,9,0,74,0,43,0,7891,7.1,58.7
Cambodia,122,0,0,0,120,0,2,1,12461,0.0,98.4
Chad,117,0,10,0,39,0,68,0,0,8.5,33.3
Trinidad and Tobago,116,0,8,0,102,3,6,0,2055,6.9,87.9
