countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,678210,1154,34641,61,57844,573,585725,13369,3411394,5.1,8.5
Spain,184948,0,19315,0,74797,0,90836,7371,930230,10.4,40.4
Italy,168941,0,22170,0,40164,0,106607,2936,1178403,13.1,23.8
France,165027,0,17920,0,32812,0,114295,6248,333807,10.9,19.9
Germany,138135,437,4093,41,81800,4800,52242,4288,1728357,3.0,59.2
United Kingdom,104110,4,13758,0,374,4,89978,1559,417649,13.2,0.4
China,83692,353,4636,1290,77944,-422,1112,89,0,5.5,93.1
Iran,77995,0,4869,0,52229,0,20897,3594,310340,6.2,67.0
Turkey,74193,0,1643,0,7089,0,65461,1854,518143,2.2,9.6
Belgium,36138,1329,5163,306,7961,399,23014,1140,134303,14.3,22.0
Russia,32008,4070,273,41,2590,286,29145,8,1718019,0.9,8.1
Canada,30921,164,1231,-27,9729,55,19961,557,487625,4.0,31.5
Brazil,30891,208,1952,5,14026,0,14913,6634,62985,6.3,45.4
Netherlands,29366,0,3326,0,301,0,25739,1279,147948,11.3,1.0
Switzerland,26732,0,1288,7,15900,0,9544,386,206400,4.8,59.5
Portugal,18841,0,629,0,493,0,17719,229,221049,3.3,2.6
Austria,14510,34,410,0,8986,0,5114,238,162816,2.8,61.9
India,13495,65,448,0,1777,9,11270,0,302956,3.3,13.2
Ireland,13271,0,486,0,77,0,12708,156,90646,3.7,0.6
Israel,12855,97,148,6,2967,149,9740,182,187250,1.2,23.1
Sweden,12540,0,1333,0,550,0,10657,522,74600,10.6,4.4
Peru,12491,0,274,0,6120,0,6097,169,121468,2.2,49.0
South Korea,10635,22,230,1,7829,72,2576,55,546463,2.2,73.6
Japan,9231,605,190,12,935,34,8106,193,100703,2.1,10.1
Chile,8807,0,105,0,3299,0,5403,384,98424,1.2,37.5
Ecuador,8225,0,403,0,838,0,6984,168,27868,4.9,10.2
Poland,8214,296,318,4,866,92,7030,160,169071,3.9,10.5
Romania,7707,0,400,8,1357,0,5950,243,79629,5.2,17.6
Denmark,7257,194,321,0,3194,2,3742,92,87024,4.4,44.0
Pakistan,7025,106,135,7,1765,120,5125,46,84704,1.9,25.1
Norway,6905,9,157,5,32,0,6716,63,133707,2.3,0.5
Australia,6523,55,66,3,3819,72,2638,60,391530,1.0,58.5
Czechia,6437,4,170,1,979,7,5288,82,154307,2.6,15.2
Saudi Arabia,6380,0,83,0,990,0,5307,71,150000,1.3,15.5
Mexico,6297,450,486,37,2125,0,3686,207,40091,7.7,33.7
Indonesia,5923,407,520,24,607,59,4796,0,36000,8.8,10.2
Philippines,5878,218,387,25,487,52,5004,1,48171,6.6,8.3
United Arab Emirates,5825,0,35,0,1095,0,4695,1,767000,0.6,18.8
Serbia,5318,0,103,0,443,0,4772,120,29472,1.9,8.3
Malaysia,5251,69,86,2,2967,201,2198,51,90562,1.6,56.5
Ukraine,4662,501,125,9,246,60,4291,45,47096,2.7,5.3
Singapore,4427,0,10,0,683,0,3734,29,94796,0.2,15.4
Belarus,4204,0,40,0,203,0,3961,65,81246,1.0,4.8
Qatar,4103,0,7,0,415,0,3681,37,56381,0.2,10.1
Panama,4016,265,109,6,98,23,3809,99,17850,2.7,2.4
Dominican Republic,3755,0,196,0,215,0,3344,121,12229,5.2,5.7
Finland,3489,120,75,0,1700,0,1714,76,49700,2.1,48.7
Luxembourg,3444,0,69,0,552,0,2823,35,31660,2.0,16.0
Colombia,3233,0,144,0,550,0,2539,98,52085,4.5,17.0
Thailand,2700,28,47,1,1689,96,964,61,100498,1.7,62.6
Egypt,2673,0,196,0,596,0,1881,0,25000,7.3,22.3
Argentina,2669,98,122,7,631,0,1916,121,26457,4.6,23.6
South Africa,2605,0,48,0,903,0,1654,7,95060,1.8,34.7
Morocco,2528,245,133,3,273,24,2122,1,12523,5.3,10.8
Algeria,2268,0,348,0,783,0,1137,60,3359,15.3,34.5
Greece,2207,0,105,0,269,0,1833,69,50771,4.8,12.2
Moldova,2154,0,54,0,276,41,1824,80,9848,2.5,12.8
Bangladesh,1838,266,75,15,58,9,1705,1,19193,4.1,3.2
Croatia,1791,0,35,0,529,0,1227,31,20158,2.0,29.5
Hungary,1763,111,156,14,207,8,1400,63,41590,8.8,11.7
Iceland,1739,0,8,0,1144,0,587,6,38204,0.5,65.8
Bahrain,1700,0,7,0,703,0,990,3,76630,0.4,41.4
Kuwait,1524,0,3,0,225,0,1296,32,0,0.2,14.8
Kazakhstan,1480,78,17,0,285,8,1178,22,85735,1.1,19.3
Estonia,1459,25,38,2,145,12,1276,11,37594,2.6,9.9
