countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1685102,18366,99283,610,451582,4716,1134237,17134,14726190,5.9,26.8
Brazil,363211,15813,22666,653,149911,7324,190634,8318,735224,6.2,41.3
Russia,344481,8599,3541,153,113299,5363,227641,2300,8685305,1.0,32.9
Spain,282852,482,28752,74,196958,0,57142,854,3556567,10.2,69.6
United Kingdom,259559,2405,36793,118,0,0,222766,1559,3458905,14.2,0.0
Italy,229858,531,32785,50,140479,1639,56594,553,3447012,14.3,61.1
France,182584,115,28367,35,64617,70,89600,1655,1384633,15.5,35.4
Germany,180328,342,8371,5,160300,400,11657,889,3595059,4.6,88.9
Turkey,156827,1141,4340,32,118694,1092,33793,769,1832262,2.8,75.7
India,138536,7113,4024,156,57692,3307,76820,8944,2943421,2.9,41.6
Iran,135701,2180,7417,58,105801,1729,22483,2615,800519,5.5,78.0
Peru,119959,4205,3456,83,49795,1880,66708,920,820967,2.9,41.5
Canada,84699,1078,6457,102,43985,680,34257,502,1459212,7.6,51.9
China,82974,3,4634,0,78261,3,79,8,0,5.6,94.3
Saudi Arabia,72560,2399,390,11,43520,2284,28650,372,703534,0.5,60.0
Chile,69102,3709,718,45,28148,1602,40236,1090,471758,1.0,40.7
Mexico,65856,3329,7179,190,44919,2194,13758,378,215656,10.9,68.2
Belgium,57092,282,9280,43,15272,117,32540,256,781284,16.3,26.7
Pakistan,54601,2164,1133,32,17198,545,36270,111,473607,2.1,31.5
Netherlands,45236,172,5822,11,0,0,39414,223,313755,12.9,0.0
Qatar,43714,1501,23,2,9170,657,34521,188,188143,0.1,21.0
Ecuador,36756,498,3108,12,3560,3,30088,208,106079,8.5,9.7
Belarus,36198,954,199,5,14155,627,21844,92,450627,0.5,39.1
Bangladesh,33610,1532,480,28,6901,415,26229,1,243583,1.4,20.5
Sweden,33459,271,3998,6,4971,0,24490,249,209900,11.9,14.9
Singapore,31616,548,23,0,14876,994,16717,8,294414,0.1,47.1
Switzerland,30736,11,1906,1,28100,100,730,50,370464,6.2,91.4
Portugal,30623,152,1316,14,17549,9844,11758,78,689705,4.3,57.3
United Arab Emirates,29485,781,245,1,15056,561,14184,1,1600923,0.8,51.1
Ireland,24639,57,1608,4,21060,0,1971,54,295626,6.5,85.5
South Africa,22583,1240,429,22,11100,996,11054,128,583855,1.9,49.2
Indonesia,22271,526,1372,21,5402,153,15497,0,248555,6.2,24.3
Poland,21326,395,996,3,9194,217,11136,160,767441,4.7,43.1
Kuwait,21302,838,156,8,6117,370,15029,177,271089,0.7,28.7
Colombia,21175,998,727,22,5016,298,15432,136,243119,3.4,23.7
Ukraine,20986,406,617,12,7108,179,13261,256,285626,2.9,33.9
Romania,18070,213,1185,9,11399,212,5486,188,368482,6.6,63.1
Egypt,17265,752,764,29,4807,179,11694,41,135000,4.4,27.8
Israel,16717,5,279,0,14153,63,2285,45,537489,1.7,84.7
Japan,16550,14,820,12,13413,169,2317,168,271201,5.0,81.0
Austria,16503,17,640,1,15063,26,800,29,401857,3.9,91.3
Dominican Republic,14801,379,458,0,8133,279,6210,113,65355,3.1,54.9
Philippines,14035,258,868,5,3249,72,9918,81,295593,6.2,23.1
Denmark,11360,71,562,1,9900,64,898,21,537742,4.9,87.1
Argentina,11353,0,448,3,3732,202,7173,171,129418,3.9,32.9
South Korea,11190,25,266,0,10213,19,711,15,820289,2.4,91.3
Serbia,11159,67,238,0,5857,158,5064,12,217856,2.1,52.5
Panama,10926,349,306,7,6279,0,4341,72,58240,2.8,57.5
Afghanistan,10582,584,218,2,1075,35,9289,19,30052,2.1,10.2
Bahrain,9138,336,14,1,4587,122,4537,8,276552,0.2,50.2
Czechia,8955,65,315,1,6078,34,2562,29,399896,3.5,67.9
Norway,8352,6,235,0,7727,0,390,12,229769,2.8,92.5
Kazakhstan,8322,403,35,0,4352,138,3935,31,657214,0.4,52.3
Algeria,8306,193,600,8,4784,358,2922,22,0,7.2,57.6
Nigeria,7839,313,226,5,2263,89,5350,7,44458,2.9,28.9
Oman,7770,513,37,1,1933,85,5800,31,72000,0.5,24.9
Morocco,7433,27,199,1,4703,65,2531,1,142882,2.7,63.3
Malaysia,7245,60,115,0,5945,33,1185,9,507682,1.6,82.1
Australia,7114,3,102,0,6508,14,504,5,1224627,1.4,91.5
Moldova,7093,99,250,8,3713,261,3130,286,40565,3.5,52.3
Ghana,6683,66,32,1,1998,20,4653,16,193705,0.5,29.9
Armenia,6661,359,81,4,3064,128,3516,10,50397,1.2,46.0
Finland,6579,11,307,1,4800,0,1472,19,166900,4.7,73.0
Bolivia,5915,336,240,10,609,34,5066,3,14803,4.1,10.3
Iraq,4469,197,160,8,2738,153,1571,0,186885,3.6,61.3
Cameroon,4400,0,159,0,1822,0,2419,28,0,3.6,41.4
Azerbaijan,4122,140,49,0,2607,101,1466,42,270739,1.2,63.2
Luxembourg,3992,2,110,1,3767,9,115,7,67729,2.8,94.4
Honduras,3743,266,174,7,455,16,3114,13,11820,4.6,12.2
Hungary,3741,28,486,4,1690,35,1565,28,162925,13.0,45.2
Sudan,3628,250,146,9,424,52,3058,0,401,4.0,11.7
Guinea,3275,99,20,0,1673,42,1582,24,14407,0.6,51.1
Uzbekistan,3164,49,13,0,2565,33,586,4,460000,0.4,81.1
Guatemala,3054,311,55,4,244,22,2755,5,25464,1.8,8.0
Senegal,3047,71,35,1,1456,40,1556,12,35016,1.1,47.8
Thailand,3040,0,56,0,2921,5,63,61,328073,1.8,96.1
Tajikistan,2929,191,46,2,1301,78,1582,0,0,1.6,44.4
Greece,2878,2,171,0,1374,0,1333,19,153963,5.9,47.7
Bulgaria,2427,19,130,4,840,32,1457,29,74096,5.4,34.6
Bosnia and Herzegovina,2401,10,144,3,1680,18,577,4,59532,6.0,70.0
Ivory Coast,2376,10,30,0,1219,31,1127,0,23444,1.3,51.3
Djibouti,2270,0,10,0,1064,0,1196,0,22097,0.4,46.9
Croatia,2244,1,99,0,2027,4,118,6,61482,4.4,90.3
Congo (Kinshasa),2141,116,63,0,317,5,1761,0,0,2.9,14.8
North Macedonia,1978,37,113,0,1422,11,443,21,25270,5.7,71.9
Cuba,1941,10,82,1,1689,18,170,3,94060,4.2,87.0
Gabon,1934,0,12,0,459,0,1463,10,9908,0.6,23.7
El Salvador,1915,96,35,2,594,24,1286,25,72616,1.8,31.0
Estonia,1823,2,64,0,1532,6,227,1,75779,3.5,84.0
Iceland,1804,0,10,0,1791,0,3,0,58225,0.6,99.3
Lithuania,1623,7,63,0,1138,3,422,17,267719,3.9,70.1
Somalia,1594,0,61,0,204,0,1329,2,0,3.8,12.8
Mayotte,1587,66,20,1,894,0,673,11,5200,1.3,56.3
Slovakia,1509,5,28,0,1301,21,180,1,158414,1.9,86.2
New Zealand,1504,0,21,0,1456,1,27,1,259152,1.4,96.8
Slovenia,1468,0,107,1,1340,0,21,4,75110,7.3,91.3
Kyrgyzstan,1403,38,14,0,980,23,409,5,98281,1.0,69.9
Maldives,1371,58,4,0,144,16,1223,9,11775,0.3,10.5
Kenya,1214,22,51,1,383,3,780,1,59260,4.2,31.5
Sri Lanka,1141,52,9,0,674,14,458,1,53092,0.8,59.1
Venezuela,1121,177,10,0,262,0,849,2,804004,0.9,23.4
Lebanon,1114,17,26,0,688,21,400,4,74224,2.3,61.8
Guinea-Bissau,1114,0,6,0,42,0,1066,0,1500,0.5,3.8
Hong Kong,1066,0,4,0,1030,1,32,1,202930,0.4,96.6
Tunisia,1048,0,48,1,914,11,86,3,47649,4.6,87.2
Latvia,1047,1,22,0,712,0,313,2,99049,2.1,68.0
Mali,1030,15,65,2,597,23,368,0,3483,6.3,58.0
Albania,998,9,32,1,789,6,177,5,13279,3.2,79.1
Equatorial Guinea,960,0,11,0,165,0,784,0,854,1.1,17.2
Niger,945,2,61,0,783,8,101,0,5989,6.5,82.9
Cyprus,935,8,17,0,594,0,324,10,99733,1.8,63.5
Costa Rica,930,12,10,0,620,13,300,3,23378,1.1,66.7
Zambia,920,0,7,0,336,0,577,1,20011,0.8,36.5
Haiti,865,53,26,1,22,0,817,0,2718,3.0,2.5
Paraguay,862,12,11,0,307,9,544,0,24812,1.3,35.6
Burkina Faso,814,0,52,0,672,0,90,0,0,6.4,82.6
Uruguay,769,16,22,2,618,15,129,5,38146,2.9,80.4
Andorra,762,0,51,0,653,0,58,3,3750,6.7,85.7
Georgia,730,2,12,0,522,13,196,6,48565,1.6,71.5
Cruise Ship,712,0,13,0,651,0,48,4,0,1.8,91.4
Jordan,708,4,9,0,471,1,228,5,163173,1.3,66.5
Sierra Leone,707,86,40,1,241,0,426,0,0,5.7,34.1
Chad,675,27,60,0,215,11,400,0,0,8.9,31.9
San Marino,665,0,42,0,266,0,357,1,3968,6.3,40.0
South Sudan,655,0,8,0,6,0,641,0,3356,1.2,0.9
Malta,610,1,6,0,476,3,128,1,60812,1.0,78.0
CAR,604,52,1,0,22,4,581,0,11570,0.2,3.6
Nepal,603,19,3,0,87,17,513,0,138841,0.5,14.4
Ethiopia,582,88,5,0,152,1,425,0,81010,0.9,26.1
Channel Islands,558,0,45,0,517,2,-4,0,10255,8.1,92.7
Jamaica,550,6,9,0,200,9,341,1,9923,1.6,36.4
Madagascar,527,39,2,0,142,4,383,6,5670,0.4,26.9
Tanzania,509,0,21,0,183,0,305,7,0,4.1,36.0
Congo (Brazzaville),487,0,16,0,147,0,324,0,0,3.3,30.2
Réunion,452,0,1,0,411,0,40,2,17200,0.2,90.9
Taiwan,441,0,7,0,414,3,20,0,70697,1.6,93.9
Palestine,423,0,3,0,357,9,63,0,44876,0.7,84.4
Togo,381,8,12,0,141,8,228,0,16747,3.1,37.0
Cabo Verde,380,9,3,0,155,13,222,0,1307,0.8,40.8
Isle of Man,336,0,24,0,303,0,9,2,4523,7.1,90.2
Mauritius,334,2,10,0,322,0,2,0,102247,3.0,96.4
Rwanda,327,2,0,0,237,10,90,0,58477,0.0,72.5
Vietnam,325,1,0,0,267,0,58,2,275000,0.0,82.2
Montenegro,324,0,9,0,315,1,0,0,10167,2.8,97.2
French Guiana,279,0,1,0,143,0,135,0,0,0.4,51.3
Nicaragua,279,0,17,0,199,0,63,0,0,6.1,71.3
Liberia,265,10,26,0,139,3,100,0,0,9.8,52.5
Sao Tome and Principe,251,0,8,0,4,0,239,0,175,3.2,1.6
Eswatini,250,12,2,0,156,37,92,0,4994,0.8,62.4
Mauritania,237,10,6,0,15,8,216,0,2583,2.5,6.3
Yemen,222,10,42,3,10,-1,170,0,120,18.9,4.5
Myanmar,201,0,6,0,122,2,73,0,18644,3.0,60.7
Uganda,198,0,0,0,68,0,130,0,84975,0.0,34.3
Martinique,197,0,14,0,91,0,92,0,0,7.1,46.2
Mozambique,194,26,0,0,51,3,143,0,8463,0.0,26.3
Benin,191,56,3,0,82,21,106,0,27954,1.6,42.9
Faroe Islands,187,0,0,0,187,0,0,0,9178,0.0,100.0
Guadeloupe,161,5,14,1,115,0,32,3,3573,8.7,71.4
Gibraltar,154,2,0,0,147,0,7,0,6524,0.0,95.5
Brunei,141,0,1,0,137,1,3,2,18411,0.7,97.2
Mongolia,141,0,0,0,32,2,109,25,12407,0.0,22.7
Guyana,135,8,10,0,62,4,63,2,1457,7.4,45.9
Bermuda,133,5,9,0,81,0,43,2,6362,6.8,60.9
Cayman Islands,129,0,1,0,61,0,67,0,8426,0.8,47.3
Cambodia,124,0,0,0,122,0,2,1,16416,0.0,98.4
Trinidad and Tobago,116,0,8,0,108,0,0,0,2930,6.9,93.1
Aruba,101,0,3,0,95,0,3,3,2070,3.0,94.1
Bahamas,100,3,11,0,45,0,44,1,1955,11.0,45.0
Monaco,98,0,4,0,90,0,4,1,0,4.1,91.8
Barbados,92,0,7,0,70,0,15,4,4664,7.6,76.1
Comoros,87,9,1,0,21,3,65,0,0,1.1,24.1
Syria,86,16,4,0,41,4,41,0,0,4.7,47.7
Malawi,83,1,4,1,33,5,46,1,2411,4.8,39.8
Liechtenstein,82,0,1,0,55,0,26,0,900,1.2,67.1
Sint Maarten,77,0,15,0,59,0,3,1,438,19.5,76.6
Libya,75,0,3,0,39,0,33,0,4351,4.0,52.0
Angola,69,8,4,0,18,0,47,0,10000,5.8,26.1
Zimbabwe,56,0,4,0,23,5,29,0,36538,7.1,41.1
Macau,45,0,0,0,45,0,0,0,0,0.0,100.0
Burundi,42,0,1,0,20,0,21,0,284,2.4,47.6
Saint Martin,40,0,3,0,33,0,4,1,553,7.5,82.5
Eritrea,39,0,0,0,39,0,0,0,0,0.0,100.0
