countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1645353,707,97655,20,403228,5917,1144470,17109,13920391,5.9,24.5
Russia,335882,9434,3388,139,107936,8111,224558,2300,8402747,1.0,32.1
Brazil,332382,1492,21116,68,135430,0,175836,8318,735224,6.4,40.7
Spain,281904,0,28628,0,196958,0,56318,1152,3037840,10.2,69.9
United Kingdom,254195,0,36393,0,0,0,217802,1559,3231921,14.3,0.0
Italy,228658,0,32616,0,136720,0,59322,595,3318778,14.3,59.8
France,182219,0,28289,0,64209,0,89721,1701,1384633,15.5,35.2
Germany,179713,0,8352,0,159900,900,11461,965,3595059,4.6,89.0
Turkey,154500,0,4276,0,116111,0,34113,800,1767495,2.8,75.2
Iran,131652,0,7300,0,102276,0,22076,2659,763913,5.5,77.7
India,125149,355,3728,2,51824,0,69597,0,2834798,3.0,41.4
Peru,111698,0,3244,0,44848,0,63606,901,750526,2.9,40.2
China,82971,0,4634,0,78258,3,79,9,0,5.6,94.3
Canada,82480,-106,6284,-57,42594,0,33602,502,1405208,7.6,51.6
Saudi Arabia,67719,0,364,0,39003,0,28352,302,667057,0.5,57.6
Mexico,62527,2960,6989,479,42725,2068,12813,378,201838,11.2,68.3
Chile,61857,0,630,0,25342,0,35885,986,442093,1.0,41.0
Belgium,56810,299,9237,25,15155,32,32418,259,768706,16.3,26.7
Pakistan,52437,1743,1101,34,16653,1452,34683,111,460692,2.1,31.8
Netherlands,44888,0,5788,0,0,0,39100,252,313755,12.9,0.0
Qatar,40481,0,19,0,7893,0,32569,175,180642,0.0,19.5
Ecuador,35828,0,3056,0,3557,0,29215,191,104330,8.5,9.9
Belarus,34303,0,190,0,12833,0,21280,92,419004,0.6,37.4
Sweden,32809,0,3925,0,4971,0,23913,265,209900,12.0,15.2
Bangladesh,32078,1873,452,20,6486,296,25140,1,234675,1.4,20.2
Singapore,31068,642,23,0,12995,0,18050,8,294414,0.1,41.8
Switzerland,30707,0,1903,0,27900,0,904,51,364321,6.2,90.9
Portugal,30200,0,1289,0,7590,0,21321,84,689705,4.3,25.1
United Arab Emirates,27892,0,241,0,13798,0,13853,1,1600923,0.9,49.5
Ireland,24506,0,1592,0,21060,0,1854,54,295626,6.5,85.9
Indonesia,21745,949,1351,25,5249,192,15145,0,229334,6.2,24.1
Poland,20838,219,990,8,8977,246,10871,160,719571,4.8,43.1
Ukraine,20580,432,605,17,6929,344,13046,256,277712,2.9,33.7
South Africa,20125,0,397,0,10104,0,9624,119,543032,2.0,50.2
Kuwait,19564,0,138,0,5515,0,13911,180,264959,0.7,28.2
Colombia,19131,0,682,0,4575,0,13874,136,235948,3.6,23.9
Romania,17712,0,1170,4,10777,0,5765,200,352647,6.6,60.8
Israel,16712,22,279,0,14085,170,2348,47,536306,1.7,84.3
Japan,16513,0,796,0,13005,0,2712,176,265502,4.8,78.8
Austria,16486,50,639,4,15037,32,810,28,396363,3.9,91.2
Egypt,15786,0,707,0,4374,0,10705,41,135000,4.5,27.7
Dominican Republic,13989,0,456,0,7572,0,5961,113,61330,3.3,54.1
Philippines,13777,180,863,6,3177,85,9737,81,278041,6.3,23.1
Denmark,11230,0,561,0,9764,0,905,23,514765,5.0,86.9
South Korea,11165,23,266,2,10194,32,705,15,814420,2.4,91.3
Serbia,11024,0,237,0,5541,0,5246,12,209797,2.1,50.3
Argentina,10649,0,433,0,3062,0,7154,171,121278,4.1,28.8
Panama,10267,0,295,0,6275,0,3697,72,55018,2.9,61.1
Afghanistan,9998,782,216,11,1040,44,8742,19,29417,2.2,10.4
Czechia,8813,0,312,0,6025,0,2476,29,387127,3.5,68.4
Bahrain,8414,0,12,0,4096,0,4306,7,269179,0.1,48.7
Norway,8332,0,235,0,7727,0,370,13,229769,2.8,92.7
Kazakhstan,7919,322,35,0,4096,0,3788,31,635712,0.4,51.7
Algeria,7918,0,582,0,4256,0,3080,22,0,7.4,53.8
Morocco,7332,0,197,0,4377,0,2758,1,123402,2.7,59.7
Nigeria,7261,0,221,0,2007,0,5033,7,41907,3.0,27.6
Oman,7257,463,34,0,1848,27,5375,31,72000,0.5,25.5
Malaysia,7185,48,115,0,5912,53,1158,9,500469,1.6,82.3
Australia,7111,16,102,1,6494,15,515,5,1191127,1.4,91.3
Moldova,6847,0,237,0,3369,0,3241,251,40565,3.5,49.2
Ghana,6617,131,31,0,1976,25,4610,16,193705,0.5,29.9
Finland,6568,31,306,0,4800,0,1462,21,165600,4.7,73.1
Armenia,6302,374,77,3,2936,62,3289,10,49080,1.2,46.6
Bolivia,5579,392,230,15,575,14,4774,3,14803,4.1,10.3
