countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,534494,2551,20637,82,30548,730,483309,11471,2699678,3.9,5.7
Spain,166019,2992,16972,366,62391,3282,86656,7371,355000,10.2,37.6
Italy,152271,0,19468,0,32534,0,100269,3381,963473,12.8,21.4
France,129654,0,13832,0,26391,0,89431,6883,333807,10.7,20.4
Germany,125834,382,2886,15,57400,0,65548,4895,1317887,2.3,45.6
United Kingdom,85144,5298,10628,737,622,3,73894,1559,352974,12.5,0.7
China,83115,120,3343,0,77937,79,1835,139,0,4.0,93.8
Iran,71686,1657,4474,117,43894,1947,23318,3930,263388,6.2,61.2
Turkey,52167,0,1101,0,2965,0,48101,1626,340380,2.1,5.7
Belgium,29647,1629,3600,254,6463,477,19584,1223,102151,12.1,21.8
Netherlands,25729,1174,2746,94,284,0,22699,1384,101534,10.7,1.1
Switzerland,25300,193,1081,45,12100,0,12119,386,193800,4.3,47.8
Canada,23318,0,653,0,6428,0,16237,557,401552,2.8,27.6
Brazil,21042,80,1144,4,173,0,19725,296,62985,5.4,0.8
Portugal,16585,598,504,34,277,11,15804,228,163616,3.0,1.7
Russia,15770,2186,130,24,1291,246,14349,8,1200000,0.8,8.2
Austria,13945,139,350,13,6987,383,6608,243,144877,2.5,50.1
Israel,10878,135,103,2,1388,47,9387,174,117339,0.9,12.8
South Korea,10512,32,214,3,7368,125,2930,55,514621,2.0,70.1
Sweden,10483,332,899,12,381,0,9203,839,54700,8.6,3.6
Ireland,8928,0,320,0,25,0,8583,194,53000,3.6,0.3
India,8504,58,289,1,972,3,7243,0,189111,3.4,11.4
Ecuador,7257,0,315,0,411,0,6531,184,21568,4.3,5.7
Chile,7213,286,73,0,2059,195,5081,383,76374,1.0,28.5
Peru,6848,0,181,0,1739,0,4928,142,67712,2.6,25.4
Japan,6748,743,108,9,762,0,5878,117,68771,1.6,11.3
Norway,6485,76,124,5,32,0,6329,59,126486,1.9,0.5
Denmark,6358,178,273,13,2280,180,3805,104,70125,4.3,35.9
Poland,6356,0,208,0,375,0,5773,160,129560,3.3,5.9
Australia,6313,10,60,3,3338,73,2915,81,353941,1.0,52.9
Romania,6300,310,306,15,852,94,5142,204,62328,4.9,13.5
Czechia,5905,3,132,3,422,11,5351,87,125126,2.2,7.1
Pakistan,5170,159,88,2,1026,264,4056,37,61801,1.7,19.8
