countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
World,1519442,0,88543,0,330890,0,1100009,48175,0,5.8,21.8
Europe,745313,0,61287,0,168380,0,515646,30154,0,8.2,22.6
United States,435160,6119,14815,122,22891,577,397454,9279,2226116,3.4,5.3
Asia,253577,0,9538,0,125243,0,118796,6433,0,3.8,49.4
Spain,148220,0,14792,0,48021,0,85407,7069,355000,10.0,32.4
Italy,139422,0,17669,0,26491,0,95262,3693,807125,12.7,19.0
Germany,113296,0,2349,0,46300,0,64647,4895,1317887,2.1,40.9
France,112950,0,10869,0,21254,0,80827,7148,224254,9.6,18.8
China,82848,58,3339,2,77620,72,1889,176,0,4.0,93.7
Iran,64586,0,3993,0,29812,0,30781,3987,211136,6.2,46.2
United Kingdom,61446,0,7110,0,344,0,53992,1559,282074,11.6,0.6
Turkey,38226,0,812,0,1846,0,35568,1492,247768,2.1,4.8
South America,35528,0,1399,0,3528,0,30601,1118,0,3.9,9.9
Belgium,23403,0,2240,0,4681,0,16482,1276,84248,9.6,20.0
Switzerland,23280,0,895,0,9800,0,12585,391,171938,3.8,42.1
Netherlands,20666,0,2254,0,265,0,18147,1424,101534,10.9,1.3
Canada,19438,0,435,8,4653,105,14350,518,370315,2.2,23.9
Brazil,16195,7,822,2,127,0,15246,296,54824,5.1,0.8
Portugal,13141,0,380,0,196,0,12565,245,131127,2.9,1.5
Austria,12969,27,273,0,4512,0,8184,267,120755,2.1,34.8
Africa,11986,0,576,0,1467,0,9943,142,0,4.8,12.2
South Korea,10423,39,204,4,6973,197,3246,55,477304,2.0,66.9
Israel,9404,0,73,0,801,0,8530,147,117339,0.8,8.5
Russia,8672,0,63,0,580,0,8029,8,910221,0.7,6.7
Sweden,8419,0,687,0,205,0,7527,678,54700,8.2,2.4
Oceania,7429,0,52,0,3131,0,4246,88,0,0.7,42.1
Australia,6104,52,51,1,2813,0,3240,84,329211,0.8,46.1
Ireland,6074,0,235,0,25,0,5814,165,42484,3.9,0.4
Norway,6042,0,101,0,32,0,5909,78,113896,1.7,0.5
India,5916,0,178,0,506,0,5232,0,167235,3.0,8.6
Denmark,5586,0,218,0,1752,0,3616,127,64002,3.9,31.4
Chile,5546,0,48,0,1115,0,4383,362,60391,0.9,20.1
Czechia,5312,0,99,0,233,0,4980,103,98681,1.9,4.4
Poland,5205,0,159,0,222,0,4824,160,99284,3.1,4.3
Romania,4761,0,227,7,528,0,4006,162,47207,4.8,11.1
Japan,4667,410,94,1,632,10,3941,99,61498,2.0,13.5
Ecuador,4450,0,242,0,140,0,4068,146,14406,5.4,3.1
Peru,4342,0,121,0,1333,0,2888,113,39599,2.8,30.7
Pakistan,4322,59,63,2,572,105,3687,31,44896,1.5,13.2
Malaysia,4119,0,65,0,1487,0,2567,76,58240,1.6,36.1
Philippines,3870,0,182,0,96,0,3592,1,24500,4.7,2.5
Mexico,3181,396,174,33,633,0,2374,89,25410,5.5,19.9
Luxembourg,3034,0,46,0,500,0,2488,34,26573,1.5,16.5
Indonesia,2956,0,240,0,222,0,2494,0,14354,8.1,7.5
Saudi Arabia,2932,0,41,0,631,0,2260,41,0,1.4,21.5
Serbia,2666,0,65,0,118,0,2483,112,10761,2.4,4.4
United Arab Emirates,2659,0,12,0,239,0,2408,1,593095,0.5,9.0
Panama,2528,0,63,0,16,0,2449,101,11776,2.5,0.6
Finland,2487,0,40,0,300,0,2147,82,36500,1.6,12.1
Thailand,2423,54,32,2,940,52,1451,61,71860,1.3,38.8
Qatar,2210,0,6,0,178,0,2026,37,41818,0.3,8.1
Dominican Republic,2111,0,108,0,50,0,1953,147,4542,5.1,2.4
Colombia,2054,0,55,0,123,0,1876,76,33575,2.7,6.0
Ukraine,1892,224,57,5,45,10,1790,33,7205,3.0,2.4
Greece,1884,0,83,0,269,0,1532,84,32528,4.4,14.3
South Africa,1845,0,18,0,95,0,1732,7,63776,1.0,5.1
Argentina,1795,0,65,0,358,0,1372,96,13330,3.6,19.9
Singapore,1623,0,6,0,406,0,1211,29,65000,0.4,25.0
Iceland,1616,0,6,0,633,0,977,13,30947,0.4,39.2
Algeria,1572,0,205,0,237,0,1130,46,3359,13.0,15.1
Egypt,1560,0,103,0,305,0,1152,0,25000,6.6,19.6
Croatia,1343,0,19,0,179,0,1145,36,13125,1.4,13.3
Morocco,1275,0,93,0,97,0,1085,1,5752,7.3,7.6
New Zealand,1239,29,1,0,317,35,921,4,51165,0.1,25.6
Iraq,1202,0,69,0,452,0,681,0,28414,5.7,37.6
Estonia,1185,0,24,0,72,0,1089,11,24813,2.0,6.1
Moldova,1174,0,28,1,40,0,1106,80,5108,2.4,3.4
Slovenia,1091,0,40,0,120,0,931,35,30669,3.7,11.0
Belarus,1066,0,13,0,77,0,976,33,46000,1.2,7.2
Hungary,980,85,66,8,96,2,818,17,27826,6.7,9.8
Hong Kong,961,0,4,0,264,0,693,14,96709,0.4,27.5
Lithuania,955,43,15,0,8,0,932,21,32809,1.6,0.8
Armenia,881,0,9,0,114,0,758,30,5452,1.0,12.9
Kuwait,855,0,1,0,111,0,743,21,0,0.1,13.0
Bahrain,823,0,5,0,477,0,341,3,52351,0.6,58.0
Azerbaijan,822,0,8,0,63,0,751,23,53300,1.0,7.7
Bosnia and Herzegovina,804,0,34,0,79,0,691,4,6911,4.2,9.8
