countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,791625,28031,42458,1931,71895,957,677272,13908,4017261,5.4,9.1
Spain,200210,1536,20852,399,80587,3230,98771,7371,930230,10.4,40.3
Italy,181228,2256,24114,454,48877,1822,108237,2573,1398024,13.3,27.0
France,155383,2489,20265,547,37409,831,97709,5683,463662,13.0,24.1
Germany,147065,1881,4862,276,91500,3500,50703,2889,1728357,3.3,62.2
United Kingdom,125815,4683,16548,455,435,7,108832,1559,501379,13.2,0.3
Turkey,90980,4674,2140,123,13430,1454,75410,1909,673980,2.4,14.8
China,83753,12,4636,0,77704,53,1413,81,0,5.5,92.8
Iran,83505,1294,5209,91,59273,2250,19023,3389,353012,6.2,71.0
Russia,47121,4268,405,44,3446,155,43270,700,2053319,0.9,7.3
Brazil,40743,2089,2587,125,22130,0,16026,7919,291922,6.3,54.3
Belgium,39983,1487,5828,145,8895,138,25260,1071,161896,14.6,22.2
Canada,37603,2547,1726,139,12586,743,23291,557,559578,4.6,33.5
Netherlands,33569,750,3763,67,311,0,29495,1158,171415,11.2,0.9
Switzerland,27944,204,1429,36,18600,800,7915,386,224442,5.1,66.6
Portugal,20863,657,735,21,610,0,19518,215,235878,3.5,2.9
India,18539,924,592,33,3273,419,14674,0,401586,3.2,17.7
Peru,16325,697,445,45,6968,157,8912,385,148011,2.7,42.7
Ireland,15652,401,687,77,77,0,14888,294,90646,4.4,0.5
Austria,14795,46,470,18,10631,130,3694,194,182949,3.2,71.9
Sweden,14777,392,1580,40,550,0,12647,521,74600,10.7,3.7
Israel,13713,222,177,5,4049,295,9487,149,240303,1.3,29.5
Japan,10797,0,236,0,1159,0,9402,217,112816,2.2,10.7
South Korea,10674,13,236,2,8114,72,2324,55,563035,2.2,76.0
Chile,10507,419,139,6,4676,338,5692,377,118827,1.3,44.5
Saudi Arabia,10484,1122,103,6,1490,92,8891,88,180000,1.0,14.2
Ecuador,10128,660,507,33,1150,89,8471,124,32453,5.0,11.4
Poland,9593,306,380,20,1133,93,8080,160,214236,4.0,11.8
Romania,8936,190,478,27,2017,125,6441,261,98491,5.3,22.6
Pakistan,8418,70,176,8,1970,102,6272,46,104302,2.1,23.4
Mexico,8261,764,686,36,2627,0,4948,207,49570,8.3,31.8
Singapore,8014,1426,11,0,801,33,7202,23,94796,0.1,10.0
Denmark,7700,131,364,9,4488,171,2848,84,96244,4.7,58.3
United Arab Emirates,7265,484,43,2,1360,74,5862,1,790000,0.6,18.7
Norway,7156,78,181,16,32,0,6943,58,143255,2.5,0.4
Czechia,6900,154,194,8,1559,261,5147,84,172123,2.8,22.6
Indonesia,6760,185,590,8,747,61,5423,0,43749,8.7,11.1
Serbia,6630,312,125,3,870,117,5635,108,41812,1.9,13.1
Australia,6625,13,71,0,4258,28,2296,49,431734,1.1,64.3
Philippines,6459,200,428,19,613,41,5418,1,59928,6.6,9.5
Belarus,6264,1485,51,4,514,20,5699,92,102556,0.8,8.2
Qatar,6015,567,9,1,555,37,5451,37,64620,0.1,9.2
Ukraine,5710,261,151,10,359,12,5200,45,58093,2.6,6.3
Malaysia,5425,36,89,0,3295,98,2041,45,108216,1.6,60.7
Dominican Republic,4964,284,235,9,416,53,4313,128,57809,4.7,8.4
Panama,4467,194,126,6,165,25,4176,98,19091,2.8,3.7
Colombia,3977,185,189,10,804,93,2984,98,62746,4.8,20.2
Finland,3868,85,98,4,2000,300,1770,67,59200,2.5,51.7
Luxembourg,3558,8,75,2,637,10,2846,32,33798,2.1,17.9
Egypt,3333,189,250,11,821,89,2262,0,55000,7.5,24.6
South Africa,3300,142,58,4,1055,152,2187,36,121510,1.8,32.0
Morocco,3046,191,143,2,350,23,2553,1,16386,4.7,11.5
Bangladesh,2948,492,101,10,85,10,2762,1,26604,3.4,2.9
Argentina,2941,102,136,4,737,28,2068,123,34568,4.6,25.1
Thailand,2792,27,47,0,1999,71,746,61,142589,1.7,71.6
Algeria,2718,89,384,9,1099,52,1235,40,6500,14.1,40.4
Moldova,2548,76,70,3,457,0,2021,212,11763,2.7,17.9
Greece,2245,10,116,3,269,0,1860,61,54344,5.2,12.0
Kuwait,1995,80,9,2,367,62,1619,39,0,0.5,18.4
Hungary,1984,68,199,10,267,17,1518,60,48057,10.0,13.5
Bahrain,1907,26,7,0,769,10,1131,2,89225,0.4,40.3
Croatia,1881,10,47,0,771,62,1063,18,26610,2.5,41.0
Kazakhstan,1852,176,19,2,447,47,1386,22,117949,1.0,24.1
Iceland,1773,2,10,1,1362,71,401,4,43143,0.6,76.8
Uzbekistan,1627,62,5,0,261,36,1361,8,136000,0.3,16.0
Iraq,1574,35,82,0,1043,34,449,0,59055,5.2,66.3
Estonia,1535,7,40,0,165,1,1330,9,40930,2.6,10.7
New Zealand,1440,9,12,0,974,62,454,2,86305,0.8,67.6
Azerbaijan,1436,38,19,0,791,79,626,16,95747,1.3,55.1
Oman,1410,144,7,0,238,5,1165,3,0,0.5,16.9
Armenia,1339,48,22,2,580,35,737,30,13373,1.6,43.3
Slovenia,1335,5,77,3,193,1,1065,26,41802,5.8,14.5
Lithuania,1326,28,37,2,242,0,1047,17,66352,2.8,18.3
Bosnia and Herzegovina,1309,24,49,1,381,34,879,4,18538,3.7,29.1
North Macedonia,1225,18,54,3,200,21,971,9,11870,4.4,16.3
Slovakia,1173,12,13,1,251,22,909,8,46734,1.1,21.4
Cameroon,1163,146,42,0,305,0,816,33,0,3.6,26.2
Cuba,1087,52,36,2,285,30,766,9,28598,3.3,26.2
Ghana,1042,0,9,0,99,0,934,4,68591,0.9,9.5
Hong Kong,1026,0,4,0,630,28,392,8,131786,0.4,61.4
Afghanistan,1026,30,36,3,135,4,855,7,6422,3.5,13.2
Bulgaria,929,35,43,1,167,6,719,34,26417,4.6,18.0
Tunisia,884,5,38,0,148,105,698,34,17287,4.3,16.7
Ivory Coast,847,0,9,0,260,0,578,0,0,1.1,30.7
Djibouti,846,0,2,0,102,0,742,0,8144,0.2,12.1
Cyprus,772,5,12,0,81,0,679,15,34087,1.6,10.5
Latvia,739,12,5,0,88,0,646,5,36668,0.7,11.9
Andorra,717,4,37,1,248,13,432,17,1673,5.2,34.6
Cruise Ship,712,0,13,0,644,0,55,7,0,1.8,90.4
Lebanon,677,4,21,0,103,1,553,27,20929,3.1,15.2
Nigeria,665,38,22,1,188,18,455,2,7153,3.3,28.3
Costa Rica,662,2,6,1,124,12,532,8,10879,0.9,18.7
Niger,648,0,20,0,117,0,511,0,4715,3.1,18.1
Guinea,622,43,5,0,122,35,495,0,0,0.8,19.6
Albania,584,22,26,0,327,13,231,5,5775,4.5,56.0
Burkina Faso,581,5,38,2,357,19,186,0,0,6.5,61.4
Kyrgyzstan,568,14,7,2,201,68,360,5,26147,1.2,35.4
Bolivia,564,44,33,1,31,0,500,3,3569,5.9,5.5
Uruguay,535,18,10,0,313,15,212,13,13396,1.9,58.5
Kosovo,510,0,12,0,93,0,405,0,0,2.4,18.2
Channel Islands,488,0,24,3,73,0,391,0,3320,4.9,15.0
Honduras,477,5,46,0,25,10,406,10,2535,9.6,5.2
San Marino,462,1,39,0,61,1,362,4,1726,8.4,13.2
West Bank and Gaza,449,12,3,0,71,0,375,0,0,0.7,15.8
Palestine,449,12,3,0,71,0,375,0,17329,0.7,15.8
Malta,431,4,3,0,126,8,302,2,24919,0.7,29.2
