Country,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
USA,"466,546","37,505","16,607","1,914","25,316","3,002","424,623","10,011 (2%)","424,623",4%,"2,352,533","152,303"
USA,"153,222","5,002","15,447",655,"52,165","4,144","85,610","7,371 (9%)","85,610",10%,"355,000",0
USA,"143,626","4,204","18,279",610,"28,470","1,979","96,877","3,605 (4%)","96,877",13%,"853,369","46,244"
USA,"118,235","4,939","2,607",258,"52,407","6,107","63,221","4,895 (8%)","63,221",2%,"1,317,887",0
USA,"117,749","4,799","12,210","1,341","23,206","1,952","82,333","7,066 (9%)","82,333",10%,"333,807","109,553"
USA,"82,864",74,"3,339",2,"77,660",112,"1,865",176 (9%),"1,865",4%,0,0
USA,"66,220","1,634","4,110",117,"32,309","2,497","29,801","3,918 (13%)","29,801",6%,"231,393","20,257"
USA,"65,844","4,398","7,992",882,358,14,"57,494","1,559 (3%)","57,494",12%,"298,169","16,095"
USA,"42,282","4,056",908,96,"2,142",296,"39,232","1,552 (4%)","39,232",2%,"276,338","28,570"
USA,"24,983","1,580","2,523",283,"5,164",483,"17,296","1,285 (7%)","17,296",10%,"84,248",0
USA,"24,051",771,948,53,"10,600",800,"12,503",386 (3%),"12,503",4%,"178,500","6,562"
USA,"21,887","1,221","2,402",148,271,6,"19,214","1,424 (7%)","19,214",11%,"101,534",0
USA,"20,765","1,327",509,82,"5,311",763,"14,945",518 (3%),"14,945",2%,"370,315","8,346"
USA,"18,145","1,957",954,134,173,46,"17,018",296 (2%),"17,018",5%,"62,985","8,161"
USA,"13,956",815,409,29,205,9,"13,342",241 (2%),"13,342",3%,"140,368","11,584"
USA,"13,244",302,295,22,"5,240",728,"7,709",266 (3%),"7,709",2%,"126,287","5,532"
USA,"10,423",39,204,4,"6,973",197,"3,246",55 (2%),"3,246",2%,"477,304",0
USA,"10,131","1,459",76,13,698,118,"9,357",8 (0%),"9,357",1%,"1,004,719","94,498"
USA,"9,968",564,86,13,"1,011",210,"8,871",166 (2%),"8,871",1%,"117,339",0
USA,"9,141",722,793,106,205,0,"8,143",719 (9%),"8,143",9%,"54,700",0
USA,"6,725",809,226,48,620,114,"5,879",0 (0%),"5,879",3%,"177,584","10,349"
USA,"6,574",500,263,28,25,0,"6,286",165 (3%),"6,286",4%,"53,000","10,516"
USA,"6,219",177,108,7,32,0,"6,079",78 (1%),"6,079",2%,"121,034","7,138"
USA,"6,152",100,51,1,"2,987",174,"3,114",81 (3%),"3,114",1%,"330,134","10,350"
USA,"5,972",426,57,9,"1,274",159,"4,641",360 (8%),"4,641",1%,"68,353","7,962"
USA,"5,819",233,237,19,"1,872",120,"3,710",120 (3%),"3,710",4%,"64,002",0
USA,"5,575",370,174,15,284,62,"5,117",160 (3%),"5,117",3%,"107,597","8,313"
USA,"5,569",257,112,13,301,68,"5,156",96 (2%),"5,156",2%,"106,845","8,164"
USA,"5,256",914,138,17,"1,438",105,"3,680",124 (3%),"3,680",3%,"48,465","8,866"
USA,"5,202",441,248,28,647,119,"4,307",178 (4%),"4,307",5%,"51,802","4,595"
USA,"4,965",515,272,30,339,199,"4,354",139 (3%),"4,354",5%,"19,102","4,696"
USA,"4,667",410,94,1,632,10,"3,941",99 (3%),"3,941",2%,"61,498","6,187"
USA,"4,489",226,65,4,572,105,"3,852",31 (1%),"3,852",1%,"44,896","2,737"
USA,"4,228",109,67,2,"1,608",121,"2,553",72 (3%),"2,553",2%,"63,367","5,127"
USA,"4,076",206,203,21,124,28,"3,749",1 (0%),"3,749",5%,"24,500",0
USA,"3,293",337,280,40,252,30,"2,761",0 (0%),"2,761",9%,"14,354",0
USA,"3,287",355,44,3,666,35,"2,577",41 (2%),"2,577",1%,"115,585","115,585"
USA,"3,181",396,174,33,633,0,"2,374",89 (4%),"2,374",5%,"25,410",0
USA,"3,115",81,52,6,500,0,"2,563",30 (1%),"2,563",2%,"27,521",948
USA,"2,990",331,14,2,268,29,"2,708",1 (0%),"2,708",0%,"593,095",0
USA,"2,867",201,66,1,118,0,"2,683",127 (5%),"2,683",2%,"12,347","1,586"
USA,"2,752",224,66,3,16,0,"2,670",107 (4%),"2,670",2%,"11,776",0
USA,"2,605",118,42,2,300,0,"2,263",82 (4%),"2,263",2%,"39,000","2,500"
USA,"2,423",54,32,2,940,52,"1,451",61 (4%),"1,451",1%,"71,860",0
USA,"2,376",166,6,0,206,28,"2,164",37 (2%),"2,164",0%,"43,144","1,326"
USA,"2,349",238,118,10,80,30,"2,151",147 (7%),"2,151",5%,"7,151","2,609"
USA,"2,223",169,69,14,174,51,"1,980",85 (4%),"1,980",3%,"33,575",0
USA,"1,955",71,87,4,269,0,"1,599",79 (5%),"1,599",4%,"33,634","1,106"
USA,"1,934",89,18,0,95,0,"1,821",7 (0%),"1,821",1%,"68,874","5,098"
USA,"1,910",287,7,1,460,54,"1,443",29 (2%),"1,443",0%,"65,000",0
USA,"1,894",99,79,14,365,7,"1,450",96 (7%),"1,450",4%,"14,850","1,520"
USA,"1,892",224,57,5,45,10,"1,790",33 (2%),"1,790",3%,"20,608","13,403"
USA,"1,699",139,118,15,348,43,"1,233",0 (0%),"1,233",7%,"25,000",0
USA,"1,666",94,235,30,347,110,"1,084",46 (4%),"1,084",14%,"3,359",0
USA,"1,648",32,6,0,688,55,954,11 (1%),954,0%,"32,663","1,716"
