countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1322164,1310,78616,39,223749,587,1019799,16978,8638846,5.9,16.9
Spain,260117,0,26299,0,168408,0,65410,2075,1932455,10.1,64.7
Italy,217185,0,30201,0,99023,0,87961,1168,2445063,13.9,45.6
United Kingdom,212502,0,31312,1,921,2,180269,1559,1631561,14.7,0.4
Russia,198676,10817,1827,104,31916,5308,164933,2300,5221964,0.9,16.1
France,176079,0,26230,0,55782,0,94067,2868,1384633,14.9,31.7
Germany,170588,0,7510,0,143300,1600,19778,1712,2755770,4.4,84.0
Brazil,146894,1002,10017,25,59297,3947,77580,8318,339552,6.8,40.4
Turkey,135569,0,3689,0,86396,0,45484,1219,1298806,2.7,63.7
Iran,104691,0,6541,0,83837,0,14313,2711,558899,6.2,80.1
China,83761,0,4634,0,78842,56,285,15,0,5.5,94.1
Canada,67617,48,4696,3,30406,0,32515,502,1032088,6.9,45.0
Peru,61847,0,1714,0,19012,0,41121,730,473190,2.8,30.7
India,59765,72,1986,1,17897,10,39882,0,1523213,3.3,29.9
Belgium,52596,585,8581,60,13411,210,30604,502,540643,16.3,25.5
Netherlands,42093,0,5359,0,0,0,36734,564,249655,12.7,0.0
Saudi Arabia,35432,0,229,0,9120,0,26083,141,418722,0.6,25.7
Mexico,31522,1906,3160,199,20314,2533,8048,378,123446,10.0,64.4
Switzerland,30207,0,1823,0,26100,0,2284,101,301675,6.0,86.4
Ecuador,28818,-1480,1704,0,3433,0,23681,156,82312,5.9,11.9
Pakistan,27474,1039,618,19,7756,226,19100,111,270025,2.2,28.2
Portugal,27268,0,1114,0,2422,0,23732,127,501718,4.1,8.9
Chile,25972,0,294,0,12160,0,13518,508,255961,1.1,46.8
Sweden,25265,0,3175,0,4971,0,17119,425,148500,12.6,19.7
Ireland,22541,0,1429,0,17110,0,4002,76,214761,6.3,75.9
Singapore,22460,753,20,0,2040,0,20400,22,175604,0.1,9.1
Belarus,21101,0,121,0,5484,0,15496,92,240146,0.6,26.0
