countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,1059992,24596,61508,2262,145904,3953,852580,18819,6122727,5.8,13.8
Spain,236899,4771,24275,453,132929,9026,79695,7764,1414477,10.2,56.1
Italy,203591,2086,27682,323,71252,2311,104657,1795,1910761,13.6,35.0
France,166420,509,24087,427,48228,1342,94105,4207,463662,14.5,29.0
United Kingdom,166323,4088,26162,4421,823,44,139338,1559,818539,15.7,0.5
Germany,161197,1285,6405,91,120400,3000,34392,2415,2547052,4.0,74.7
Turkey,117589,2936,3081,89,44040,5231,70468,1574,991613,2.6,37.5
Russia,99399,5841,972,105,10286,1830,88141,2300,3303717,1.0,10.3
Iran,93657,1073,5957,80,73791,1352,13909,2965,453386,6.4,78.8
China,83801,2,4637,0,78327,50,837,50,0,5.5,93.5
Brazil,79361,6462,5511,448,34132,1588,39718,8318,339552,6.9,43.0
Canada,52775,1685,3151,171,20327,1137,29297,557,754800,6.0,38.5
Belgium,47859,525,7501,170,11283,340,29075,797,226724,15.7,23.6
Netherlands,38902,386,4713,145,73,0,34116,804,213372,12.1,0.2
Peru,33931,2741,943,89,10037,858,22951,623,296262,2.8,29.6
India,33062,1702,1079,71,8437,690,23546,0,770764,3.3,25.5
Switzerland,29407,143,1716,17,22600,0,5091,185,260500,5.8,76.9
Portugal,24505,183,973,25,1470,81,22062,169,379551,4.0,6.0
Ecuador,24258,0,871,0,1557,0,21830,146,61529,3.6,6.4
Saudi Arabia,21402,1325,157,5,2953,169,18292,125,200000,0.7,13.8
Sweden,20302,681,2462,107,1005,0,16835,479,119500,12.1,5.0
Ireland,20253,376,1190,31,13386,4153,5677,129,153954,5.9,66.1
Mexico,16752,1223,1569,135,11423,2337,3760,378,77005,9.4,68.2
Israel,15834,106,215,5,8233,487,7386,115,364467,1.4,52.0
Singapore,15641,690,14,0,1188,60,14439,22,143919,0.1,7.6
Pakistan,15525,913,343,31,3425,192,11757,111,165911,2.2,22.1
Austria,15402,45,580,11,12779,199,2043,131,247754,3.8,83.0
Chile,14885,520,216,9,8057,347,6612,377,172619,1.5,54.1
Japan,13736,122,394,9,1899,0,11443,300,160546,2.9,13.8
Belarus,13181,973,84,5,2072,79,11025,92,168986,0.6,15.7
Poland,12640,422,624,28,3025,370,8991,160,324527,4.9,23.9
Qatar,12564,643,10,0,1243,109,11311,72,91415,0.1,9.9
Romania,11978,362,693,30,3569,165,7716,247,166993,5.8,29.8
United Arab Emirates,11929,549,98,9,2329,148,9502,1,1122000,0.8,19.5
South Korea,10761,9,246,2,8922,68,1593,55,614197,2.3,82.9
Ukraine,9866,456,250,11,1103,111,8513,129,104544,2.5,11.2
Indonesia,9771,260,784,11,1391,137,7596,0,86985,8.0,14.2
Denmark,9195,157,443,9,6547,245,2205,66,180062,4.8,71.2
Serbia,8724,227,173,5,1292,32,7259,78,78942,2.0,14.8
Philippines,8212,254,558,28,1023,48,6631,31,98941,6.8,12.5
Norway,7710,50,207,1,32,0,7471,40,169124,2.7,0.4
Czechia,7579,75,227,0,3108,160,4244,71,234985,3.0,41.0
Bangladesh,7103,641,163,8,150,11,6790,1,59701,2.3,2.1
Australia,6746,8,91,3,5679,49,976,38,544410,1.3,84.2
