countries,infected,infected_today,deaths,deaths_today,recovered,recovered_today,active,critical,tests,death_rate,recovery_rate
United States,611745,31137,25975,2365,38675,2457,547095,13473,3065019,4.2,6.3
Spain,172541,2442,18056,300,67504,2777,86981,7371,600000,10.5,39.1
Italy,162488,2972,21067,602,37130,1695,104291,3186,1073689,13.0,22.9
France,143303,6524,15729,762,28805,1087,98769,6730,333807,11.0,20.1
Germany,132210,2138,3495,301,68200,3900,60515,4288,1317887,2.6,51.6
United Kingdom,94807,5269,12128,782,318,19,82361,1559,382650,12.8,0.3
China,83287,93,3345,0,78181,161,1761,116,0,4.0,93.9
Iran,74877,1574,4683,98,48129,2146,22065,3691,287359,6.3,64.3
Turkey,65111,4062,1403,107,4799,842,58909,1809,443626,2.2,7.4
Belgium,31119,530,4157,254,6868,161,20094,1223,102151,13.4,22.1
Netherlands,27563,870,2954,122,287,0,24322,1358,134972,10.7,1.0
Canada,26897,1217,898,118,8172,416,17827,557,437475,3.3,30.4
Switzerland,25936,248,1174,36,13700,0,11062,386,199000,4.5,52.8
Brazil,25262,1832,1532,204,3046,2873,20684,296,62985,6.1,12.1
Russia,21102,2774,170,22,1694,224,19238,8,1400000,0.8,8.0
Portugal,17448,514,567,32,347,70,16534,218,191680,3.2,2.0
Austria,14226,185,384,16,7633,290,6209,243,151796,2.7,53.7
Israel,12046,460,123,7,2195,340,9728,175,117339,1.0,18.2
India,11487,1034,393,35,1359,178,9735,0,244893,3.4,11.8
Ireland,11479,832,406,41,25,0,11048,194,90646,3.5,0.2
Sweden,11445,497,1033,114,381,0,10031,915,54700,9.0,3.3
South Korea,10564,27,222,5,7534,87,2808,55,527438,2.1,71.3
Peru,10303,519,230,14,2869,227,7204,132,102216,2.2,27.8
Chile,7917,392,92,10,2646,279,5179,387,87794,1.2,33.4
Japan,7645,27,143,0,799,0,6703,135,78702,1.9,10.5
Ecuador,7603,74,369,14,696,99,6538,129,25347,4.9,9.2
Poland,7202,268,263,18,618,131,6321,160,148321,3.7,8.6
Romania,6879,246,351,20,1051,137,5477,241,70097,5.1,15.3
Denmark,6695,193,299,14,2678,286,3718,100,74210,4.5,40.0
Norway,6623,20,139,5,32,0,6452,59,128569,2.1,0.5
Australia,6400,41,62,1,3598,104,2740,80,366493,1.0,56.2
Czechia,6111,52,161,18,642,123,5308,92,131542,2.6,10.5
Pakistan,5837,341,96,3,1378,283,4363,46,69928,1.6,23.6
Saudi Arabia,5369,435,73,8,889,84,4407,59,150000,1.4,16.6
Philippines,5223,291,335,20,295,53,4593,1,43500,6.4,5.6
Mexico,5014,353,332,36,1964,121,2718,207,37395,6.6,39.2
Malaysia,4987,170,82,5,2478,202,2427,60,84791,1.6,49.7
United Arab Emirates,4933,412,28,3,933,81,3972,1,648195,0.6,18.9
Indonesia,4839,282,459,60,426,46,3954,0,31628,9.5,8.8
Serbia,4465,411,94,9,400,0,3971,131,23398,2.1,9.0
Panama,3472,0,94,0,61,0,3317,106,15567,2.7,1.8
Qatar,3428,197,7,0,373,39,3048,37,52622,0.2,10.9
Ukraine,3372,270,98,5,119,22,3155,45,35153,2.9,3.5
Luxembourg,3307,15,67,-2,500,0,2740,30,29523,2.0,15.1
Dominican Republic,3286,119,183,6,162,10,2941,143,9275,5.6,4.9
Belarus,3281,362,33,4,203,0,3045,57,71875,1.0,6.2
Singapore,3252,334,10,1,611,25,2631,29,72680,0.3,18.8
Finland,3161,97,64,5,300,0,2797,74,47290,2.0,9.5
Colombia,2979,127,127,15,354,35,2498,106,43053,4.3,11.9
Thailand,2613,34,41,1,1405,117,1167,61,100498,1.6,53.8
South Africa,2415,143,27,0,410,0,1978,7,87022,1.1,17.0
Egypt,2350,160,178,14,589,0,1583,0,25000,7.6,25.1
Argentina,2277,0,102,4,559,44,1616,83,22805,4.5,24.5
Greece,2170,25,101,2,269,0,1800,76,48798,4.7,12.4
Algeria,2070,87,326,13,691,90,1053,60,3359,15.7,33.4
Moldova,1934,222,40,5,134,27,1760,80,6271,2.1,6.9
Morocco,1888,125,126,0,217,14,1545,1,9609,6.7,11.5
Iceland,1720,9,8,0,989,56,723,8,36339,0.5,57.5
Croatia,1704,54,31,6,415,15,1258,34,18359,1.8,24.4
Bahrain,1528,167,7,1,645,54,876,3,69359,0.5,42.2
Hungary,1512,54,122,13,122,2,1268,58,35825,8.1,8.1
Iraq,1400,22,78,0,766,49,556,0,45437,5.6,54.7
Estonia,1373,41,31,3,115,13,1227,11,32263,2.3,8.4
New Zealand,1366,17,9,4,628,82,729,4,64399,0.7,46.0
Kuwait,1355,55,3,1,176,26,1176,26,0,0.2,13.0
Kazakhstan,1232,141,14,2,203,65,1015,21,76904,1.1,16.5
Slovenia,1220,8,56,1,152,0,1012,35,35946,4.6,12.5
Azerbaijan,1197,49,13,1,351,62,833,25,71736,1.1,29.3
Uzbekistan,1165,167,4,0,99,14,1062,8,70000,0.3,8.5
Bosnia and Herzegovina,1083,46,40,1,236,30,807,4,12407,3.7,21.8
Lithuania,1070,8,29,5,101,0,940,14,42690,2.7,9.4
Armenia,1067,28,16,2,265,54,786,30,8316,1.5,24.8
Hong Kong,1013,3,4,0,434,37,575,13,96709,0.4,42.8
Bangladesh,1012,209,46,7,42,0,924,1,13128,4.5,4.2
North Macedonia,908,54,44,6,86,42,778,15,9262,4.8,9.5
Cameroon,848,0,14,2,130,32,704,0,0,1.7,15.3
Slovakia,835,66,2,0,113,6,720,5,30052,0.2,13.5
Oman,813,86,4,0,130,6,679,3,0,0.5,16.0
Cuba,766,40,21,0,132,11,613,9,18634,2.7,17.2
Tunisia,747,21,34,0,43,0,670,89,12415,4.6,5.8
Afghanistan,714,49,23,2,40,8,651,0,0,3.2,5.6
Bulgaria,713,28,35,3,81,10,597,29,18502,4.9,11.4
Cruise Ship,712,0,12,1,639,20,61,7,0,1.7,89.7
Cyprus,695,33,12,0,65,0,618,8,17923,1.7,9.4
Andorra,659,13,31,2,128,0,500,17,1673,4.7,19.4
Latvia,657,2,5,0,16,0,636,3,29018,0.8,2.4
Lebanon,641,9,21,1,80,0,540,33,16319,3.3,12.5
Ivory Coast,638,12,6,0,114,25,518,0,0,0.9,17.9
Ghana,636,70,8,0,17,13,611,2,44421,1.3,2.7
Costa Rica,618,6,3,0,66,4,549,14,8703,0.5,10.7
Niger,570,22,14,1,90,4,466,0,4427,2.5,15.8
Burkina Faso,528,13,30,3,177,16,321,0,0,5.7,33.5
Uruguay,483,0,8,0,248,0,227,15,9236,1.7,51.3
Albania,475,8,24,1,248,16,203,5,4306,5.1,52.2
Channel Islands,440,4,13,4,48,0,379,0,3320,3.0,10.9
Kyrgyzstan,430,11,5,0,71,4,354,5,26147,1.2,16.5
Honduras,407,10,26,1,7,0,374,10,1600,6.4,1.7
Jordan,397,6,7,0,235,20,155,5,20500,1.8,59.2
Malta,393,9,3,0,44,0,346,4,19121,0.8,11.2
Taiwan,393,0,6,0,124,10,263,0,48549,1.5,31.6
Réunion,391,0,0,0,40,0,351,3,0,0.0,10.2
Nigeria,373,30,11,1,99,8,263,2,5000,2.9,26.5
San Marino,371,0,36,0,53,0,282,15,846,9.7,14.3
Djibouti,363,65,2,0,53,12,308,0,5356,0.6,14.6
Guinea,363,44,0,0,31,14,332,0,0,0.0,8.5
Bolivia,354,24,28,1,6,4,320,3,2185,7.9,1.7
Mauritius,324,0,9,0,51,9,264,3,8279,2.8,15.7
West Bank and Gaza,308,0,2,0,62,4,244,0,0,0.6,20.1
Palestine,308,0,2,0,62,4,244,0,17329,0.6,20.1
Georgia,300,28,3,0,69,1,228,6,5027,1.0,23.0
Senegal,299,8,2,0,183,5,114,1,0,0.7,61.2
Kosovo,283,0,7,0,58,0,218,0,0,2.5,20.5
Montenegro,283,9,4,1,46,41,233,7,2869,1.4,16.3
Vietnam,266,1,0,0,169,23,97,8,121821,0.0,63.5
Isle of Man,254,12,2,0,141,10,111,13,2122,0.8,55.5
Congo (Kinshasa),241,6,20,0,20,3,201,0,0,8.3,8.3
Sri Lanka,233,16,7,0,61,5,165,1,4768,3.0,26.2
Mayotte,217,10,3,0,69,10,145,3,1500,1.4,31.8
Kenya,216,8,9,0,41,1,166,2,8123,4.2,19.0
Venezuela,189,0,9,0,110,0,70,6,203108,4.8,58.2
Faroe Islands,184,0,0,0,163,6,21,0,5602,0.0,88.6
Guatemala,167,11,5,0,19,0,143,3,1134,3.0,11.4
Paraguay,159,12,7,1,22,0,130,1,3394,4.4,13.8
Martinique,157,0,6,0,50,0,101,19,0,3.8,31.8
El Salvador,149,12,6,0,25,3,118,2,7230,4.0,16.8
Guadeloupe,145,0,8,0,67,0,70,13,0,5.5,46.2
Mali,144,21,13,3,34,8,97,0,0,9.0,23.6
Brunei,136,0,1,0,107,0,28,2,10350,0.7,78.7
Rwanda,134,7,0,0,49,7,85,0,6237,0.0,36.6
Gibraltar,129,0,0,0,93,0,36,1,1649,0.0,72.1
Cambodia,122,0,0,0,91,14,31,1,5768,0.0,74.6
Trinidad and Tobago,113,0,8,0,17,1,88,0,1152,7.1,15.0
Madagascar,108,2,0,0,23,2,85,1,0,0.0,21.3
Monaco,93,0,1,0,6,0,86,5,0,1.1,6.5
Aruba,92,0,0,0,32,0,60,1,1154,0.0,34.8
French Guiana,86,0,0,0,51,0,35,1,0,0.0,59.3
Ethiopia,82,8,3,0,14,0,65,0,4557,3.7,17.1
Liechtenstein,79,0,1,0,55,0,23,0,900,1.3,69.6
Togo,77,0,3,0,32,3,42,0,2806,3.9,41.6
Congo (Brazzaville),74,14,5,0,10,5,59,0,0,6.8,13.5
Barbados,73,1,5,1,15,2,53,4,864,6.8,20.5
Jamaica,73,0,4,0,19,0,50,0,1199,5.5,26.0
Burma,63,1,4,0,2,0,57,0,0,6.3,3.2
Myanmar,63,1,4,0,2,0,57,0,2443,6.3,3.2
Somalia,60,0,2,0,2,0,56,2,0,3.3,3.3
Liberia,59,0,6,0,4,0,49,0,0,10.2,6.8
Bermuda,57,0,5,0,30,0,22,3,416,8.8,52.6
Gabon,57,0,1,0,1,0,55,0,0,1.8,1.8
Uganda,55,1,0,0,8,1,47,0,6661,0.0,14.5
Cayman Islands,54,0,1,0,6,0,47,3,580,1.9,11.1
Tanzania,53,4,3,0,7,0,43,0,0,5.7,13.2
Sint Maarten,52,2,9,0,5,0,38,2,134,17.3,9.6
Bahamas,49,2,8,0,6,0,35,1,0,16.3,12.2
Guyana,47,2,6,0,8,0,33,5,213,12.8,17.0
Macau,45,0,0,0,10,0,35,1,0,0.0,22.2
Zambia,45,0,2,0,30,0,13,1,1696,4.4,66.7
Equatorial Guinea,41,20,0,0,4,0,37,0,854,0.0,9.8
Haiti,40,0,3,0,0,0,37,0,365,7.5,0.0
Guinea-Bissau,38,0,0,0,0,0,38,0,1500,0.0,0.0
Benin,35,0,1,0,18,13,16,0,0,2.9,51.4
Eritrea,35,1,0,0,0,0,35,0,0,0.0,0.0
Libya,35,9,1,0,9,0,25,0,570,2.9,25.7
Saint Martin,32,0,2,0,11,0,19,5,0,6.2,34.4
Sudan,32,3,5,1,4,0,23,0,0,15.6,12.5
Mongolia,30,13,0,0,5,1,25,0,1000,0.0,16.7
Syria,29,4,2,0,5,0,22,0,0,6.9,17.2
Mozambique,28,7,0,0,2,0,26,0,762,0.0,7.1
Chad,23,0,0,0,2,0,21,0,0,0.0,8.7
Antigua and Barbuda,23,0,2,0,3,3,18,1,73,8.7,13.0
Maldives,20,0,0,0,16,2,4,0,2899,0.0,80.0
Laos,19,0,0,0,1,1,18,0,1235,0.0,5.3
Angola,19,0,2,0,5,1,12,0,0,10.5,26.3
New Caledonia,18,0,0,0,1,0,17,0,2608,0.0,5.6
Belize,18,0,2,0,0,0,16,1,567,11.1,0.0
Zimbabwe,17,0,3,0,0,0,14,0,604,17.6,0.0
Fiji,16,0,0,0,0,0,16,0,0,0.0,0.0
Nepal,16,2,0,0,1,0,15,0,6299,0.0,6.2
